player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Hunt,2015/2016,1,24,0,Hamburger SV,Center Attacking Midfield,170,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Adam Hloušek,2015/2016,0,1,0,VfB Stuttgart,Left Center Back,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Adam Hložek,2023/2024,2,19,0,Bayer Leverkusen,Right Attacking Midfield,195,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Adelino André Vieira Freitas,2015/2016,1,28,0,Wolfsburg,Right Back,190,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Admir Mehmedi,2015/2016,2,26,0,Bayer Leverkusen,Left Midfield,230,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Adnan Januzaj,2015/2016,1,8,0,Borussia Dortmund,Right Wing,90,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alassane Pléa,2023/2024,0,1,0,Borussia Mönchengladbach,Left Wing,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Albin Ekdal,2015/2016,0,6,0,Hamburger SV,Right Defensive Midfield,30,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alejandro Grimaldo García,2023/2024,10,71,0,Bayer Leverkusen,Left Wing Back,855,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Alejandro Gálvez Jimena,2015/2016,1,5,0,Werder Bremen,Left Defensive Midfield,75,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Aleksandar Ignjovski,2015/2016,0,9,0,Eintracht Frankfurt,Right Back,45,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alessandro Schöpf,2015/2016,3,14,0,Schalke 04,Right Wing,220,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alex Král,2023/2024,0,2,0,Union Berlin,Left Center Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Alexander Baumjohann,2015/2016,1,8,0,Hertha Berlin,Center Attacking Midfield,90,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alexander Esswein,2015/2016,3,47,0,Augsburg,Right Wing,385,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alexander Hack,2015/2016,0,2,0,FSV Mainz 05,Left Center Back,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alexander Meier,2015/2016,12,50,0,Eintracht Frankfurt,Center Attacking Midfield,850,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alexander Milosevic,2015/2016,0,6,0,Hannover 96,Right Center Back,30,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alexandru Iulian Maxim,2015/2016,1,29,0,VfB Stuttgart,Right Center Midfield,195,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alfredo Morales,2015/2016,1,31,0,Ingolstadt,Left Center Midfield,205,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Alfreð Finnbogason,2015/2016,7,33,0,Augsburg,Center Forward,515,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Allan Saint-Maximin,2015/2016,1,6,0,Hannover 96,Left Defensive Midfield,80,0,0,1. Bundesliga,2015/2016,2015/2016,2015
