player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Anderson Luís de Souza,2003/2004,1,2,0,FC Porto,Center Attacking Midfield,60,0,0,Champions League,2003/2004,2003/2004,2003
Antonis Antoniadis,1970/1971,0,5,0,Panathinaikos,Center Forward,25,0,0,Champions League,1970/1971,1970/1971,1970
Arie Haan,1970/1971,1,2,0,Ajax,Right Attacking Midfield,60,0,0,Champions League,1970/1971,1970/1971,1970
Arie Haan,1971/1972,0,6,0,Ajax,Right Center Midfield,30,0,0,Champions League,1971/1972,1971/1972,1971
Arie Haan,1972/1973,0,3,0,Ajax,Center Defensive Midfield,15,0,0,Champions League,1972/1973,1972/1973,1972
Aristidis Kamaras,1970/1971,0,3,0,Panathinaikos,Center Defensive Midfield,15,0,0,Champions League,1970/1971,1970/1971,1970
Barry Hulshoff,1972/1973,0,3,0,Ajax,Right Center Back,15,0,0,Champions League,1972/1973,1972/1973,1972
Carlos Alberto Gomes de Jesus,2003/2004,1,1,0,FC Porto,Left Center Forward,55,0,0,Champions League,2003/2004,2003/2004,2003
Dirk Wouter Johannes van Dijk,1970/1971,1,4,0,Ajax,Center Forward,70,0,0,Champions League,1970/1971,1970/1971,1970
Dmitriy Alenichev,2003/2004,1,1,0,FC Porto,Left Center Forward,55,0,0,Champions League,2003/2004,2003/2004,2003
Georgios Vlachos,1970/1971,0,1,0,Panathinaikos,Left Back,5,0,0,Champions League,1970/1971,1970/1971,1970
Gerrie Mühren,1970/1971,0,3,0,Ajax,Left Defensive Midfield,15,0,0,Champions League,1970/1971,1970/1971,1970
Gerrie Mühren,1971/1972,0,6,0,Ajax,Left Center Midfield,30,0,0,Champions League,1971/1972,1971/1972,1971
Gerrie Mühren,1972/1973,0,5,0,Ajax,Left Center Midfield,25,0,0,Champions League,1972/1973,1972/1973,1972
Johan Cruyff,1970/1971,0,4,0,Ajax,Left Wing,20,0,0,Champions League,1970/1971,1970/1971,1970
Johan Cruyff,1971/1972,2,4,0,Ajax,Center Forward,120,0,0,Champions League,1971/1972,1971/1972,1971
Johan Cruyff,1972/1973,0,5,0,Ajax,Center Forward,25,0,0,Champions League,1972/1973,1972/1973,1972
Johan Neeskens,1970/1971,0,1,0,Ajax,Right Back,5,0,0,Champions League,1970/1971,1970/1971,1970
Johan Neeskens,1971/1972,0,2,0,Ajax,Center Defensive Midfield,10,0,0,Champions League,1971/1972,1971/1972,1971
Johan Neeskens,1972/1973,0,5,0,Ajax,Right Center Midfield,25,0,0,Champions League,1972/1973,1972/1973,1972
Johnny Rep,1972/1973,1,5,0,Ajax,Right Wing,75,0,0,Champions League,1972/1973,1972/1973,1972
Konstantinos Eleftherakis,1970/1971,0,2,0,Panathinaikos,Left Center Midfield,10,0,0,Champions League,1970/1971,1970/1971,1970
Piet Keizer,1970/1971,0,2,0,Ajax,Center Attacking Midfield,10,0,0,Champions League,1970/1971,1970/1971,1970
Piet Keizer,1971/1972,0,1,0,Ajax,Left Wing,5,0,0,Champions League,1971/1972,1971/1972,1971
Piet Keizer,1972/1973,0,2,0,Ajax,Left Wing,10,0,0,Champions League,1972/1973,1972/1973,1972
Ruud Krol,1972/1973,0,2,0,Ajax,Left Back,10,0,0,Champions League,1972/1973,1972/1973,1972
Sjaak Swart,1970/1971,0,2,0,Ajax,Right Wing,10,0,0,Champions League,1970/1971,1970/1971,1970
Sjaak Swart,1971/1972,0,5,0,Ajax,Right Wing,25,0,0,Champions League,1971/1972,1971/1972,1971
Totis Fylakouris,1970/1971,0,2,0,Panathinaikos,Left Wing,10,0,0,Champions League,1970/1971,1970/1971,1970
Velibor Vasović,1970/1971,0,1,0,Ajax,Left Center Back,5,0,0,Champions League,1970/1971,1970/1971,1970
Wim Suurbier,1970/1971,0,1,0,Ajax,Left Back,5,0,0,Champions League,1970/1971,1970/1971,1970
Wim Suurbier,1971/1972,0,1,0,Ajax,Right Back,5,0,0,Champions League,1971/1972,1971/1972,1971
Wim Suurbier,1972/1973,0,1,0,Ajax,Right Back,5,0,0,Champions League,1972/1973,1972/1973,1972
Yiannis Tomaras,1970/1971,0,1,0,Panathinaikos,Right Back,5,0,0,Champions League,1970/1971,1970/1971,1970
