player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abdiel Armando Ayarza Cocanegra,2024,0,3,0,Panama,Right Defensive Midfield,15,0,0,Copa America,2024,2024,2024
Adalberto Eliécer Carrasquilla Alcázar,2024,0,2,0,Panama,Left Defensive Midfield,10,0,0,Copa America,2024,2024,2024
Alan Steve Minda García,2024,1,2,0,Ecuador,Right Wing,60,0,0,Copa America,2024,2024,2024
Alan Steven Franco Palma,2024,0,3,0,Ecuador,Left Defensive Midfield,15,0,0,Copa America,2024,2024,2024
Alex Adrián Arce Barrios,2024,0,5,0,Paraguay,Center Forward,25,0,0,Copa America,2024,2024,2024
Alex Marshall,2024,0,1,0,Jamaica,Left Attacking Midfield,5,0,0,Copa America,2024,2024,2024
Alexis Alejandro Sánchez Sánchez,2024,0,4,0,Chile,Center Attacking Midfield,20,0,0,Copa America,2024,2024,2024
Ali Ahmed,2024,0,1,0,Canada,Right Wing,5,0,0,Copa America,2024,2024,2024
Alistair Johnston,2022,0,2,0,Canada,Right Back,10,0,0,Copa America,2022,2022,2022
Alistair Johnston,2024,0,1,0,Canada,Right Back,5,0,0,Copa America,2024,2024,2024
Alphonso Davies,2022,1,4,0,Canada,Left Midfield,70,0,0,Copa America,2022,2022,2022
Alphonso Davies,2024,1,8,0,Canada,Left Back,90,0,0,Copa America,2024,2024,2024
Andrés Mateus Uribe Villa,2018,0,3,0,Colombia,Left Center Midfield,15,0,0,Copa America,2018,2018,2018
Andrés Mateus Uribe Villa,2024,0,3,0,Colombia,Right Midfield,15,0,0,Copa America,2024,2024,2024
Angelo Smit Preciado Quiñónez,2022,0,4,0,Ecuador,Right Wing Back,20,0,0,Copa America,2022,2022,2022
Angelo Smit Preciado Quiñónez,2024,0,5,0,Ecuador,Right Back,25,0,0,Copa America,2024,2024,2024
Aníbal Cesis Godoy,2018,0,2,0,Panama,Left Center Midfield,10,0,0,Copa America,2018,2018,2018
Armando Enrique Cooper Whitaker,2018,0,1,0,Panama,Right Center Midfield,5,0,0,Copa America,2018,2018,2018
Atiba Hutchinson,2022,0,2,0,Canada,Left Defensive Midfield,10,0,0,Copa America,2022,2022,2022
Ben Brereton Díaz,2024,0,2,0,Chile,Center Forward,10,0,0,Copa America,2024,2024,2024
Blas Antonio Miguel Pérez Ortega,2018,0,1,0,Panama,Center Forward,5,0,0,Copa America,2018,2018,2018
Bobby Armani De Cordova-Reid,2024,0,2,0,Jamaica,Left Wing,10,0,0,Copa America,2024,2024,2024
Bruno Miranda Villagomez,2024,1,1,0,Bolivia,Right Wing Back,55,0,0,Copa America,2024,2024,2024
Carlos Arturo Bacca Ahumada,2018,0,3,0,Colombia,Left Center Midfield,15,0,0,Copa America,2018,2018,2018
Carlos Eccehomo Cuesta Figueroa,2024,0,3,0,Colombia,Left Center Back,15,0,0,Copa America,2024,2024,2024
Carmelo Algarañaz Añez,2024,0,2,0,Bolivia,Center Forward,10,0,0,Copa America,2024,2024,2024
