player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abbey-Leigh Stringer,2018/2019,0,3,0,Everton LFC,Left Attacking Midfield,15,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Abbey-Leigh Stringer,2020/2021,0,8,0,Everton LFC,Center Defensive Midfield,40,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Abbi Grant,2019/2020,2,23,0,Birmingham City WFC,Left Wing,215,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Abbi Grant,2020/2021,0,1,0,Birmingham City WFC,Left Midfield,5,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Abbie McManus,2018/2019,0,4,0,Manchester City WFC,Right Back,20,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Abbie McManus,2019/2020,0,1,0,Manchester United,Right Center Back,5,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Abby Dahlkemper,2020/2021,0,2,0,Manchester City WFC,Left Center Back,10,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Abigail Harrison,2018/2019,0,11,0,Bristol City WFC,Center Forward,55,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Abigail Harrison,2019/2020,1,5,0,Bristol City WFC,Center Forward,75,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Abigail Harrison,2020/2021,2,12,0,Bristol City WFC,Center Forward,160,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Adelina Engman,2018/2019,1,4,0,Chelsea FCW,Right Wing,70,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Adelina Engman,2019/2020,1,3,0,Chelsea FCW,Right Wing,65,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Adriana Kristina Leon,2018/2019,1,9,0,West Ham United LFC,Center Forward,95,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Adriana Kristina Leon,2019/2020,5,19,0,West Ham United LFC,Left Wing,345,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Adriana Kristina Leon,2020/2021,1,25,0,West Ham United LFC,Left Wing,175,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Adrienne Jordan,2019/2020,0,2,0,Birmingham City WFC,Left Back,10,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Aileen Whelan,2018/2019,1,28,0,Brighton & Hove Albion WFC,Left Wing,190,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Aileen Whelan,2019/2020,5,32,0,Brighton & Hove Albion WFC,Left Center Midfield,410,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Aileen Whelan,2020/2021,4,31,0,Brighton & Hove Albion WFC,Center Attacking Midfield,355,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Aimee Palmer,2020/2021,0,7,0,Bristol City WFC,Right Center Midfield,35,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Alanna Stephanie Kennedy,2020/2021,1,33,0,Tottenham Hotspur Women,Right Defensive Midfield,215,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Alessia Russo,2020/2021,3,14,0,Manchester United,Center Forward,220,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Alex Greenwood,2020/2021,0,11,0,Manchester City WFC,Left Back,55,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Alexandra Morgan Carrasco,2020/2021,2,6,0,Tottenham Hotspur Women,Center Forward,130,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Alexandra Riley,2018/2019,0,1,0,Chelsea FCW,Left Wing,5,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Ali Johnson,2018/2019,0,1,0,Bristol City WFC,Left Center Back,5,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Alisha Lehmann,2018/2019,6,36,0,West Ham United LFC,Right Wing,480,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Alisha Lehmann,2019/2020,3,16,0,West Ham United LFC,Right Wing,230,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Alisha Lehmann,2020/2021,1,14,0,West Ham United LFC,Right Wing,120,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Amalie Vevle Eikeland,2019/2020,2,23,0,Reading WFC,Left Center Forward,215,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Amalie Vevle Eikeland,2020/2021,2,32,0,Reading WFC,Right Midfield,260,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Amanda Nildén,2018/2019,1,1,0,Brighton & Hove Albion WFC,Right Center Forward,55,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Amanda Nildén,2019/2020,0,3,0,Brighton & Hove Albion WFC,Left Midfield,15,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Amber Gaylor,2018/2019,1,9,0,Yeovil Town LFC,Left Wing,95,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Amelia Hazard,2018/2019,0,1,0,Arsenal WFC,Left Back,5,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Amy Goddard,2018/2019,0,4,0,Yeovil Town LFC,Right Back,20,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Amy Rodgers,2018/2019,0,3,0,Liverpool WFC,Left Center Midfield,15,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Amy Rodgers,2019/2020,0,2,0,Liverpool WFC,Right Center Midfield,10,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Amy Turner,2019/2020,0,8,0,Manchester United,Right Back,40,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Amy Turner,2020/2021,0,8,0,Manchester United,Right Center Back,40,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Ander Herrera Agüera,2015/2016,3,24,0,Manchester United,Center Attacking Midfield,270,0,0,FA Women's Super League,2015/2016,2015/2016,2015
Angela Addison,2019/2020,1,3,0,Tottenham Hotspur Women,Left Wing,65,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Angela Addison,2020/2021,2,18,0,Tottenham Hotspur Women,Left Wing,190,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Angharad James,2018/2019,0,15,0,Everton LFC,Right Center Midfield,75,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Angharad James,2019/2020,1,8,0,Reading WFC,Right Defensive Midfield,90,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Angharad James,2020/2021,1,32,0,Reading WFC,Right Center Midfield,210,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Anna Filbey,2019/2020,0,1,0,Tottenham Hotspur Women,Left Center Back,5,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Anna Filbey,2020/2021,1,1,0,Tottenham Hotspur Women,Center Attacking Midfield,55,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Anne-Marie Heatherson,2018/2019,2,18,0,Yeovil Town LFC,Right Wing,190,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Anthony Martial,2015/2016,11,58,0,Manchester United,Left Wing,840,0,0,FA Women's Super League,2015/2016,2015/2016,2015
Aoife Mannion,2018/2019,1,2,0,Birmingham City WFC,Center Back,60,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Aoife Mannion,2019/2020,0,1,0,Manchester City WFC,Right Back,5,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Ashleigh Neville,2019/2020,0,4,0,Tottenham Hotspur Women,Right Back,20,0,0,FA Women's Super League,2019/2020,2019/2020,2019
