player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aleksandr Polukarov,1979,0,2,0,Soviet Union U20,Left Back,10,0,0,FIFA U20 World Cup,1979,1979,1979
Alfredo Torres,1979,0,1,0,Argentina U20,Center Attacking Midfield,5,0,0,FIFA U20 World Cup,1979,1979,1979
Diego Armando Maradona,1979,1,6,0,Argentina U20,Left Wing,80,0,0,FIFA U20 World Cup,1979,1979,1979
Gabriel Humberto Calderón,1979,0,2,0,Argentina U20,Right Wing,10,0,0,FIFA U20 World Cup,1979,1979,1979
Hugo Alvez,1979,1,3,0,Argentina U20,Left Back,65,0,0,FIFA U20 World Cup,1979,1979,1979
Igor Gurinovich,1979,0,1,0,Soviet Union U20,Center Forward,5,0,0,FIFA U20 World Cup,1979,1979,1979
Igor Ponomarev,1979,1,3,0,Soviet Union U20,Left Center Midfield,65,0,0,FIFA U20 World Cup,1979,1979,1979
Juan Alberto Barbas Martínez,1979,0,1,0,Argentina U20,Right Defensive Midfield,5,0,0,FIFA U20 World Cup,1979,1979,1979
Juan José Meza,1979,0,1,0,Argentina U20,Left Defensive Midfield,5,0,0,FIFA U20 World Cup,1979,1979,1979
Mykhaylo Olefirenko,1979,0,1,0,Soviet Union U20,Right Back,5,0,0,FIFA U20 World Cup,1979,1979,1979
Ramón Ángel Díaz,1979,1,5,0,Argentina U20,Center Forward,75,0,0,FIFA U20 World Cup,1979,1979,1979
Vladimir Mikhalevsky,1979,0,1,0,Soviet Union U20,Right Center Midfield,5,0,0,FIFA U20 World Cup,1979,1979,1979
Yaroslav Dumanskiy,1979,0,3,0,Soviet Union U20,Right Center Midfield,15,0,0,FIFA U20 World Cup,1979,1979,1979
