player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Mooy,2018,0,3,0,Australia,Right Center Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Aaron Mooy,2022,0,1,0,Australia,Left Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Abdelhamid Sabiri,2022,1,4,0,Morocco,Left Center Midfield,70,0,0,FIFA World Cup,2022,2022,2022
Abdelkarim Hassan Al Haj Fadlalla,2022,0,6,0,Qatar,Left Center Back,30,0,0,FIFA World Cup,2022,2022,2022
Abderrazak Hamdallah,2022,0,2,0,Morocco,Center Forward,10,0,0,FIFA World Cup,2022,2022,2022
Abdessamad Ezzalzouli,2022,0,1,0,Morocco,Left Center Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Abdessamad Ezzalzouli,2023,0,4,0,Morocco,Left Midfield,20,0,0,FIFA World Cup,2023,2023,2023
Abdou Diallo,2022,0,1,0,Senegal,Left Center Back,5,0,0,FIFA World Cup,2022,2022,2022
Abdou Diallo,2023,0,2,0,Senegal,Center Back,10,0,0,FIFA World Cup,2023,2023,2023
Abdoulaye Seck,2023,1,5,0,Senegal,Right Center Back,75,0,0,FIFA World Cup,2023,2023,2023
Abdulaziz Hatem Mohammed Abdullah,2022,0,1,0,Qatar,Left Center Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Abdulelah Al Amri,2022,0,1,0,Saudi Arabia,Right Center Back,5,0,0,FIFA World Cup,2022,2022,2022
Abdulelah Saad Hameed Al-Malki,2022,0,2,0,Saudi Arabia,Left Defensive Midfield,10,0,0,FIFA World Cup,2022,2022,2022
Abdullah Ibrahim Otayf,2018,0,2,0,Saudi Arabia,Center Defensive Midfield,10,0,0,FIFA World Cup,2018,2018,2018
Abdulrahman Al-Obood,2022,0,1,0,Saudi Arabia,Left Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Achraf Dari,2022,1,1,0,Morocco,Left Center Back,55,0,0,FIFA World Cup,2022,2022,2022
Achraf Hakimi Mouh,2018,0,1,0,Morocco,Left Back,5,0,0,FIFA World Cup,2018,2018,2018
Achraf Hakimi Mouh,2022,1,5,0,Morocco,Right Back,75,0,0,FIFA World Cup,2022,2022,2022
Achraf Hakimi Mouh,2023,1,6,0,Morocco,Right Back,80,0,0,FIFA World Cup,2023,2023,2023
Adem Ljajić,2018,0,1,0,Serbia,Left Wing,5,0,0,FIFA World Cup,2018,2018,2018
Adnan Januzaj,2018,1,3,0,Belgium,Left Wing,65,0,0,FIFA World Cup,2018,2018,2018
Adrien Rabiot,2020,0,3,0,France,Left Wing Back,15,0,0,FIFA World Cup,2020,2020,2020
Adrien Rabiot,2022,1,9,0,France,Left Defensive Midfield,95,0,0,FIFA World Cup,2022,2022,2022
Adrien Rabiot,2024,0,3,0,France,Left Center Midfield,15,0,0,FIFA World Cup,2024,2024,2024
