player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Adil Khan,2021/2022,0,2,0,East Bengal,Right Center Back,10,0,0,Indian Super league,2021/2022,2021/2022,2021
Adrián Nicolás Luna Retamar,2021/2022,6,30,0,Kerala Blasters,Left Midfield,450,0,0,Indian Super league,2021/2022,2021/2022,2021
Ahmed Jahouh,2021/2022,3,23,0,Mumbai City,Left Defensive Midfield,265,0,0,Indian Super league,2021/2022,2021/2022,2021
Aibanbha Kupar Dohling,2021/2022,1,12,0,Goa,Left Center Back,110,0,0,Indian Super league,2021/2022,2021/2022,2021
Airam López Cabrera,2021/2022,6,25,0,Goa,Center Forward,425,0,0,Indian Super league,2021/2022,2021/2022,2021
Ajay Chhetri,2021/2022,0,1,0,Bengaluru,Center Defensive Midfield,5,0,0,Indian Super league,2021/2022,2021/2022,2021
Akash Mishra,2021/2022,2,12,0,Hyderabad,Left Back,160,0,0,Indian Super league,2021/2022,2021/2022,2021
Akshunna Tyagi,2021/2022,0,1,0,Odisha,Center Forward,5,0,0,Indian Super league,2021/2022,2021/2022,2021
Alan Henrique Costa,2021/2022,2,11,0,Bengaluru,Left Center Back,155,0,0,Indian Super league,2021/2022,2021/2022,2021
Alberto Noguera Ripoll,2021/2022,3,22,0,Goa,Center Attacking Midfield,260,0,0,Indian Super league,2021/2022,2021/2022,2021
Alexander Romario Jesuraj,2021/2022,2,14,0,Goa,Right Wing,170,0,0,Indian Super league,2021/2022,2021/2022,2021
Alexandre Monteiro de Lima,2021/2022,1,15,0,Jamshedpur,Left Defensive Midfield,125,0,0,Indian Super league,2021/2022,2021/2022,2021
Amarjit Singh Kiyam Singh,2021/2022,0,5,0,East Bengal,Right Midfield,25,0,0,Indian Super league,2021/2022,2021/2022,2021
Amey Ganesh Ranawade,2021/2022,0,3,0,Mumbai City,Right Back,15,0,0,Indian Super league,2021/2022,2021/2022,2021
Amir Derviševič,2021/2022,2,8,0,East Bengal,Left Center Midfield,140,0,0,Indian Super league,2021/2022,2021/2022,2021
Anas Edathodika,2021/2022,0,1,0,Jamshedpur,Left Midfield,5,0,0,Indian Super league,2021/2022,2021/2022,2021
Aniket Anil Jadhav,2021/2022,2,37,0,Hyderabad,Left Wing,285,0,0,Indian Super league,2021/2022,2021/2022,2021
Anirudh Thapa,2021/2022,1,13,0,Chennaiyin,Right Center Midfield,115,0,0,Indian Super league,2021/2022,2021/2022,2021
Anisa Anwar Ali,2021/2022,0,11,0,Goa,Center Back,55,0,0,Indian Super league,2021/2022,2021/2022,2021
Antonio Perošević,2021/2022,4,51,0,East Bengal,Right Center Forward,455,0,0,Indian Super league,2021/2022,2021/2022,2021
Ariday Cabrera Suárez,2021/2022,5,37,0,Odisha,Left Wing,435,0,0,Indian Super league,2021/2022,2021/2022,2021
Ariel Borysiuk,2021/2022,1,22,0,Chennaiyin,Center Defensive Midfield,160,0,0,Indian Super league,2021/2022,2021/2022,2021
Ashutosh Mehta,2021/2022,0,7,0,ATK Mohun Bagan,Right Back,35,0,0,Indian Super league,2021/2022,2021/2022,2021
Asish Rai,2021/2022,0,10,0,Hyderabad,Right Back,50,0,0,Indian Super league,2021/2022,2021/2022,2021
Ayush Adhikari,2021/2022,1,10,0,Kerala Blasters,Right Defensive Midfield,100,0,0,Indian Super league,2021/2022,2021/2022,2021
Balwant Singh,2021/2022,0,2,0,East Bengal,Center Forward,10,0,0,Indian Super league,2021/2022,2021/2022,2021
Bartholomew Owogbalor Ogbeche,2021/2022,18,66,0,Hyderabad,Center Forward,1230,0,0,Indian Super league,2021/2022,2021/2022,2021
Bijoy Varghese,2021/2022,0,6,0,Kerala Blasters,Left Center Back,30,0,0,Indian Super league,2021/2022,2021/2022,2021
Bikash Jairu,2021/2022,0,1,0,East Bengal,Left Midfield,5,0,0,Indian Super league,2021/2022,2021/2022,2021
Bipin Singh Thounajam,2021/2022,6,35,0,Mumbai City,Left Wing,475,0,0,Indian Super league,2021/2022,2021/2022,2021
Boris Singh Thangjam,2021/2022,2,20,0,Jamshedpur,Left Midfield,200,0,0,Indian Super league,2021/2022,2021/2022,2021
Bradden Inman,2021/2022,0,4,0,Mumbai City,Center Attacking Midfield,20,0,0,Indian Super league,2021/2022,2021/2022,2021
Brandon Fernandes,2021/2022,0,12,0,Goa,Left Wing,60,0,0,Indian Super league,2021/2022,2021/2022,2021
Brison Deuben Fernandes,2021/2022,0,2,0,Goa,Left Center Midfield,10,0,0,Indian Super league,2021/2022,2021/2022,2021
Bruno Edgar Silva Almeida,2021/2022,0,19,0,Bengaluru,Center Defensive Midfield,95,0,0,Indian Super league,2021/2022,2021/2022,2021
