player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abdelaziz Barrada,2012/2013,0,1,0,Getafe,Center Attacking Midfield,5,0,0,La Liga,2012/2013,2012/2013,2012
Abdelkader Mohamed Ghezzal,2011/2012,0,1,0,Levante UD,Left Wing,5,0,0,La Liga,2011/2012,2011/2012,2011
Abdoul Karim Yoda,2015/2016,0,8,0,Getafe,Left Back,40,0,0,La Liga,2015/2016,2015/2016,2015
Abdoulaye Ba,2014/2015,0,1,0,Rayo Vallecano,Right Center Back,5,0,0,La Liga,2014/2015,2014/2015,2014
Abdón Prats Bastidas,2019/2020,0,1,0,Mallorca,Left Center Forward,5,0,0,La Liga,2019/2020,2019/2020,2019
Abel Gómez Moreno,2007/2008,1,2,0,Real Murcia CF,Right Midfield,60,0,0,La Liga,2007/2008,2007/2008,2007
Abel Ruiz Ortega,2018/2019,0,1,0,Barcelona,Left Wing,5,0,0,La Liga,2018/2019,2018/2019,2018
Abraham González Casanova,2015/2016,1,16,0,Espanyol,Left Center Midfield,130,0,0,La Liga,2015/2016,2015/2016,2015
Abraham Paz Cruz,2010/2011,0,1,0,Hércules,Right Center Back,5,0,0,La Liga,2010/2011,2010/2011,2010
Achille Emaná Edzimbi,2008/2009,0,4,0,Real Betis,Center Attacking Midfield,20,0,0,La Liga,2008/2009,2008/2009,2008
Adalberto Peñaranda Maestre,2015/2016,5,22,0,Granada,Center Forward,360,0,0,La Liga,2015/2016,2015/2016,2015
Adalberto Peñaranda Maestre,2017/2018,0,1,0,Málaga,Center Attacking Midfield,5,0,0,La Liga,2017/2018,2017/2018,2017
Aderllan Leandro de Jesus Santos,2015/2016,0,8,0,Valencia,Left Center Back,40,0,0,La Liga,2015/2016,2015/2016,2015
Adil Rami,2012/2013,0,3,0,Valencia,Right Center Back,15,0,0,La Liga,2012/2013,2012/2013,2012
Adil Rami,2013/2014,0,1,0,Valencia,Right Center Back,5,0,0,La Liga,2013/2014,2013/2014,2013
Adil Rami,2015/2016,0,16,0,Sevilla,Right Center Back,80,0,0,La Liga,2015/2016,2015/2016,2015
Adnan Januzaj,2017/2018,0,1,0,Real Sociedad,Right Midfield,5,0,0,La Liga,2017/2018,2017/2018,2017
Adnan Januzaj,2019/2020,0,1,0,Real Sociedad,Right Midfield,5,0,0,La Liga,2019/2020,2019/2020,2019
Adnan Januzaj,2020/2021,0,4,0,Real Sociedad,Right Wing,20,0,0,La Liga,2020/2021,2020/2021,2020
Adnane Tighadouini,2015/2016,1,15,0,Málaga,Center Attacking Midfield,125,0,0,La Liga,2015/2016,2015/2016,2015
Adriano Correia Claro,2005/2006,0,1,0,Sevilla,Left Midfield,5,0,0,La Liga,2005/2006,2005/2006,2005
Adriano Correia Claro,2006/2007,0,2,0,Sevilla,Left Midfield,10,0,0,La Liga,2006/2007,2006/2007,2006
Adriano Correia Claro,2010/2011,0,9,0,Barcelona,Right Back,45,0,0,La Liga,2010/2011,2010/2011,2010
Adriano Correia Claro,2011/2012,1,22,0,Barcelona,Left Back,160,0,0,La Liga,2011/2012,2011/2012,2011
Adriano Correia Claro,2012/2013,5,16,0,Barcelona,Left Back,330,0,0,La Liga,2012/2013,2012/2013,2012
Adriano Correia Claro,2013/2014,2,26,0,Barcelona,Left Back,230,0,0,La Liga,2013/2014,2013/2014,2013
Adriano Correia Claro,2014/2015,0,8,0,Barcelona,Left Back,40,0,0,La Liga,2014/2015,2014/2015,2014
Adriano Correia Claro,2015/2016,0,1,0,Barcelona,Left Back,5,0,0,La Liga,2015/2016,2015/2016,2015
Adrián Colunga Pérez,2008/2009,0,1,0,Recreativo Huelva,Left Center Forward,5,0,0,La Liga,2008/2009,2008/2009,2008
Adrián Colunga Pérez,2009/2010,2,3,0,Real Zaragoza,Right Midfield,115,0,0,La Liga,2009/2010,2009/2010,2009
Adrián Colunga Pérez,2012/2013,0,1,0,Getafe,Center Forward,5,0,0,La Liga,2012/2013,2012/2013,2012
Adrián Embarba Blázquez,2013/2014,0,1,0,Rayo Vallecano,Right Wing,5,0,0,La Liga,2013/2014,2013/2014,2013
Adrián Embarba Blázquez,2015/2016,2,40,0,Rayo Vallecano,Left Wing,300,0,0,La Liga,2015/2016,2015/2016,2015
Adrián Embarba Blázquez,2019/2020,0,2,0,Espanyol,Right Center Forward,10,0,0,La Liga,2019/2020,2019/2020,2019
Adrián González Morales,2009/2010,0,2,0,Getafe,Center Attacking Midfield,10,0,0,La Liga,2009/2010,2009/2010,2009
Adrián González Morales,2010/2011,0,5,0,Racing Santander,Center Attacking Midfield,25,0,0,La Liga,2010/2011,2010/2011,2010
Adrián González Morales,2012/2013,0,1,0,Rayo Vallecano,Right Defensive Midfield,5,0,0,La Liga,2012/2013,2012/2013,2012
Adrián González Morales,2014/2015,0,1,0,Elche,Right Center Midfield,5,0,0,La Liga,2014/2015,2014/2015,2014
Adrián González Morales,2015/2016,5,47,0,Eibar,Center Attacking Midfield,485,0,0,La Liga,2015/2016,2015/2016,2015
Adrián González Morales,2016/2017,0,2,0,Eibar,Center Attacking Midfield,10,0,0,La Liga,2016/2017,2016/2017,2016
Adrián López Álvarez,2006/2007,1,3,0,RC Deportivo La Coruña,Center Forward,65,0,0,La Liga,2006/2007,2006/2007,2006
Adrián López Álvarez,2008/2009,0,1,0,Málaga,Center Forward,5,0,0,La Liga,2008/2009,2008/2009,2008
Adrián López Álvarez,2009/2010,1,1,0,RC Deportivo La Coruña,Right Wing,55,0,0,La Liga,2009/2010,2009/2010,2009
Adrián López Álvarez,2010/2011,0,2,0,RC Deportivo La Coruña,Center Forward,10,0,0,La Liga,2010/2011,2010/2011,2010
Adrián López Álvarez,2011/2012,0,1,0,Atlético Madrid,Right Center Midfield,5,0,0,La Liga,2011/2012,2011/2012,2011
Adrián López Álvarez,2012/2013,0,1,0,Atlético Madrid,Right Wing,5,0,0,La Liga,2012/2013,2012/2013,2012
Adrián López Álvarez,2013/2014,0,3,0,Atlético Madrid,Right Center Forward,15,0,0,La Liga,2013/2014,2013/2014,2013
Adrián López Álvarez,2015/2016,4,8,0,Villarreal,Left Center Forward,240,0,0,La Liga,2015/2016,2015/2016,2015
Adrián López Álvarez,2020/2021,0,1,0,Osasuna,Left Midfield,5,0,0,La Liga,2020/2021,2020/2021,2020
Adrián Marín Gómez,2015/2016,0,1,0,Villarreal,Left Back,5,0,0,La Liga,2015/2016,2015/2016,2015
Adrián Marín Gómez,2018/2019,0,1,0,Deportivo Alavés,Center Defensive Midfield,5,0,0,La Liga,2018/2019,2018/2019,2018
Ager Aketxe Barrutia,2015/2016,0,4,0,Athletic Club,Center Attacking Midfield,20,0,0,La Liga,2015/2016,2015/2016,2015
Aitor Ocio Carrión,2005/2006,0,1,0,Sevilla,Right Center Back,5,0,0,La Liga,2005/2006,2005/2006,2005
Aitor Ocio Carrión,2007/2008,0,1,0,Athletic Club,Left Center Back,5,0,0,La Liga,2007/2008,2007/2008,2007
Aitor Ramos Leniz,2007/2008,0,1,0,Athletic Club,Center Forward,5,0,0,La Liga,2007/2008,2007/2008,2007
Aitor Tornavaca Fernández,2006/2007,0,2,0,Recreativo Huelva,Left Midfield,10,0,0,La Liga,2006/2007,2006/2007,2006
Akihiro Ienaga,2010/2011,0,1,0,Mallorca,Left Wing,5,0,0,La Liga,2010/2011,2010/2011,2010
Albert Crusat Domene,2007/2008,0,1,0,Almería,Left Wing,5,0,0,La Liga,2007/2008,2007/2008,2007
Albert Crusat Domene,2008/2009,0,2,0,Almería,Left Center Forward,10,0,0,La Liga,2008/2009,2008/2009,2008
Albert Luque Martos,2008/2009,0,3,0,Málaga,Right Wing,15,0,0,La Liga,2008/2009,2008/2009,2008
Albert Riera Ortega,2007/2008,0,1,0,Espanyol,Left Midfield,5,0,0,La Liga,2007/2008,2007/2008,2007
Alberto Botía Rabasco,2012/2013,1,1,0,Sevilla,Right Center Back,55,0,0,La Liga,2012/2013,2012/2013,2012
Alberto Bueno Calvo,2013/2014,0,3,0,Rayo Vallecano,Center Forward,15,0,0,La Liga,2013/2014,2013/2014,2013
Alberto Bueno Calvo,2014/2015,1,6,0,Rayo Vallecano,Center Attacking Midfield,80,0,0,La Liga,2014/2015,2014/2015,2014
Alberto De La Bella Madureño,2012/2013,0,1,0,Real Sociedad,Left Back,5,0,0,La Liga,2012/2013,2012/2013,2012
Alberto De La Bella Madureño,2013/2014,1,1,0,Real Sociedad,Left Back,55,0,0,La Liga,2013/2014,2013/2014,2013
Alberto De La Bella Madureño,2014/2015,0,1,0,Real Sociedad,Left Back,5,0,0,La Liga,2014/2015,2014/2015,2014
Alberto De La Bella Madureño,2015/2016,0,4,0,Real Sociedad,Left Back,20,0,0,La Liga,2015/2016,2015/2016,2015
Alberto Facundo Costa,2010/2011,0,1,0,Valencia,Right Center Midfield,5,0,0,La Liga,2010/2011,2010/2011,2010
Alberto Facundo Costa,2012/2013,0,4,0,Valencia,Center Attacking Midfield,20,0,0,La Liga,2012/2013,2012/2013,2012
Alberto Lopo García,2006/2007,0,1,0,RC Deportivo La Coruña,Right Center Back,5,0,0,La Liga,2006/2007,2006/2007,2006
Alberto Lopo García,2015/2016,0,4,0,RC Deportivo La Coruña,Right Center Back,20,0,0,La Liga,2015/2016,2015/2016,2015
Alberto Lora Ramos,2015/2016,0,6,0,Sporting Gijón,Right Back,30,0,0,La Liga,2015/2016,2015/2016,2015
Alberto Mateus Contreiras Gonçalves,2009/2010,0,2,0,Real Valladolid,Center Forward,10,0,0,La Liga,2009/2010,2009/2010,2009
Alberto Mateus Contreiras Gonçalves,2014/2015,0,3,0,Rayo Vallecano,Right Center Back,15,0,0,La Liga,2014/2015,2014/2015,2014
Alberto Mateus Contreiras Gonçalves,2015/2016,4,25,0,Rayo Vallecano,Center Forward,325,0,0,La Liga,2015/2016,2015/2016,2015
Alberto Moreno Pérez,2013/2014,1,2,0,Sevilla,Left Back,60,0,0,La Liga,2013/2014,2013/2014,2013
Alberto Moreno Pérez,2019/2020,0,1,0,Villarreal,Left Back,5,0,0,La Liga,2019/2020,2019/2020,2019
Alberto Perea Correoso,2013/2014,0,2,0,Rayo Vallecano,Right Wing,10,0,0,La Liga,2013/2014,2013/2014,2013
Alberto Perea Correoso,2020/2021,0,2,0,Cádiz,Left Midfield,10,0,0,La Liga,2020/2021,2020/2021,2020
Alberto Rivera Pizarro,2005/2006,0,1,0,Real Betis,Left Defensive Midfield,5,0,0,La Liga,2005/2006,2005/2006,2005
Alberto Rivera Pizarro,2007/2008,0,2,0,Real Betis,Center Attacking Midfield,10,0,0,La Liga,2007/2008,2007/2008,2007
Alberto Rivera Pizarro,2011/2012,0,1,0,Sporting Gijón,Right Center Midfield,5,0,0,La Liga,2011/2012,2011/2012,2011
Alberto Zapater Arjol,2006/2007,0,1,0,Real Zaragoza,Right Center Midfield,5,0,0,La Liga,2006/2007,2006/2007,2006
Alberto Zapater Arjol,2007/2008,1,1,0,Real Zaragoza,Right Center Midfield,55,0,0,La Liga,2007/2008,2007/2008,2007
Aldo Pedro Duscher,2007/2008,0,2,0,Racing Santander,Left Center Midfield,10,0,0,La Liga,2007/2008,2007/2008,2007
Aleix García Serrano,2017/2018,0,2,0,Girona,Left Wing,10,0,0,La Liga,2017/2018,2017/2018,2017
Aleix García Serrano,2018/2019,0,1,0,Girona,Right Center Midfield,5,0,0,La Liga,2018/2019,2018/2019,2018
Aleix Vidal Parreu,2013/2014,0,3,0,Almería,Left Wing,15,0,0,La Liga,2013/2014,2013/2014,2013
Aleix Vidal Parreu,2015/2016,0,1,0,Barcelona,Right Back,5,0,0,La Liga,2015/2016,2015/2016,2015
Aleix Vidal Parreu,2016/2017,2,9,0,Barcelona,Right Back,145,0,0,La Liga,2016/2017,2016/2017,2016
Aleix Vidal Parreu,2017/2018,1,8,0,Barcelona,Left Midfield,90,0,0,La Liga,2017/2018,2017/2018,2017
Aleix Vidal Parreu,2019/2020,0,1,0,Deportivo Alavés,Right Midfield,5,0,0,La Liga,2019/2020,2019/2020,2019
Alejandro Alfaro Ligero,2009/2010,0,6,0,Tenerife,Center Attacking Midfield,30,0,0,La Liga,2009/2010,2009/2010,2009
Alejandro Alfaro Ligero,2012/2013,0,1,0,Mallorca,Left Center Forward,5,0,0,La Liga,2012/2013,2012/2013,2012
