player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Carlos Córdoba,1981,0,1,0,Boca Juniors,Left Back,5,0,0,Liga Profesional,1981,1981,1981
Celso Rafael Ayala Gavilán,1997/1998,0,2,0,River Plate,Right Center Back,10,0,0,Liga Profesional,1997/1998,1997/1998,1997
Claudio Paul Caniggia,1997/1998,0,2,0,Boca Juniors,Right Center Back,10,0,0,Liga Profesional,1997/1998,1997/1998,1997
Daniel Alberto Passarella,1981,0,5,0,River Plate,Left Center Back,25,0,0,Liga Profesional,1981,1981,1981
Diego Armando Maradona,1981,1,3,0,Boca Juniors,Center Attacking Midfield,65,0,0,Liga Profesional,1981,1981,1981
Diego Armando Maradona,1997/1998,0,1,0,Boca Juniors,Center Attacking Midfield,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Diego Fernando Latorre,1997/1998,0,2,0,Boca Juniors,Left Center Forward,10,0,0,Liga Profesional,1997/1998,1997/1998,1997
Hernán Edgardo Díaz,1997/1998,0,1,0,River Plate,Right Back,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Hugo Perotti,1981,0,1,0,Boca Juniors,Left Center Forward,5,0,0,Liga Profesional,1981,1981,1981
Jorge Benítez,1981,0,1,0,Boca Juniors,Left Center Midfield,5,0,0,Liga Profesional,1981,1981,1981
José Luis Pavoni,1981,0,1,0,River Plate,Right Center Back,5,0,0,Liga Profesional,1981,1981,1981
José Marcelo Salas Melinao,1997/1998,0,4,0,River Plate,Left Center Forward,20,0,0,Liga Profesional,1997/1998,1997/1998,1997
Juan José López,1981,0,4,0,River Plate,Right Defensive Midfield,20,0,0,Liga Profesional,1981,1981,1981
Julio César Toresani,1997/1998,1,1,0,Boca Juniors,Right Wing Back,55,0,0,Liga Profesional,1997/1998,1997/1998,1997
Leonardo Rubén Astrada,1997/1998,0,1,0,River Plate,Center Defensive Midfield,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Marcelo Daniel Gallardo,1997/1998,0,8,0,River Plate,Center Attacking Midfield,40,0,0,Liga Profesional,1997/1998,1997/1998,1997
Mario Alberto Kempes Chiodi,1981,0,1,0,River Plate,Center Forward,5,0,0,Liga Profesional,1981,1981,1981
Martín Alejandro Cardetti,1997/1998,0,1,0,River Plate,Right Back,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Martín Palermo,1997/1998,1,2,0,Boca Juniors,Right Center Forward,60,0,0,Liga Profesional,1997/1998,1997/1998,1997
Miguel Ángel Brindisi de Marco,1981,2,5,0,Boca Juniors,Right Center Midfield,125,0,0,Liga Profesional,1981,1981,1981
Nolberto Albino Solano Todco,1997/1998,0,2,0,Boca Juniors,Right Defensive Midfield,10,0,0,Liga Profesional,1997/1998,1997/1998,1997
Ramón Ángel Díaz,1981,0,1,0,River Plate,Right Wing,5,0,0,Liga Profesional,1981,1981,1981
Roberto Carlos Montserrat,1997/1998,0,1,0,River Plate,Right Center Midfield,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Rodolfo Martín Arruabarrena,1997/1998,0,1,0,Boca Juniors,Left Wing Back,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Sebastián Pascual Rambert,1997/1998,0,1,0,River Plate,Right Center Forward,5,0,0,Liga Profesional,1997/1998,1997/1998,1997
Sergio Ángel Berti Pizzani,1997/1998,1,2,0,River Plate,Left Center Midfield,60,0,0,Liga Profesional,1997/1998,1997/1998,1997
Vicente Alberto Pernía,1981,0,1,0,Boca Juniors,Right Back,5,0,0,Liga Profesional,1981,1981,1981
