player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abdallah Dipo Sima,2022/2023,0,2,0,Angers,Left Center Forward,10,0,0,Ligue 1,2022/2023,2022/2023,2022
Abdelaziz Barrada,2015/2016,1,26,0,Marseille,Left Center Midfield,180,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdelhamid El Kaoutari,2015/2016,1,3,0,Stade de Reims,Left Center Back,65,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdou Diallo,2021/2022,0,2,0,Paris Saint-Germain,Left Back,10,0,0,Ligue 1,2021/2022,2021/2022,2021
Abdou Kader Mangane,2015/2016,1,15,0,Gazélec Ajaccio,Right Center Back,125,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoul Razzagui Camara,2015/2016,2,29,0,Angers,Left Wing,245,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Doucouré,2015/2016,2,30,0,Rennes,Center Attacking Midfield,250,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Sadio Diallo,2015/2016,2,16,0,Bastia,Center Attacking Midfield,180,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Touré,2015/2016,0,2,0,Nantes,Left Defensive Midfield,10,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Traoré,2015/2016,0,2,0,Bordeaux,Center Defensive Midfield,10,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdul Majeed Waris,2015/2016,11,55,0,Lorient,Left Center Forward,825,0,0,Ligue 1,2015/2016,2015/2016,2015
Achraf Hakimi Mouh,2021/2022,1,9,0,Paris Saint-Germain,Right Back,95,0,0,Ligue 1,2021/2022,2021/2022,2021
Achraf Hakimi Mouh,2022/2023,5,16,0,Paris Saint-Germain,Right Wing Back,330,0,0,Ligue 1,2022/2023,2022/2023,2022
Adam Ounas,2015/2016,5,44,0,Bordeaux,Right Wing,470,0,0,Ligue 1,2015/2016,2015/2016,2015
Adama Traoré,2015/2016,0,5,0,AS Monaco,Left Defensive Midfield,25,0,0,Ligue 1,2015/2016,2015/2016,2015
Adil Aouchiche,2021/2022,0,2,0,Saint-Étienne,Left Midfield,10,0,0,Ligue 1,2021/2022,2021/2022,2021
