player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Long,2023,0,1,0,LAFC,Right Center Back,5,0,0,Major League Soccer,2023,2023,2023
Aaron Salem Boupendza Pozzi,2023,0,3,0,Cincinnati,Right Center Forward,15,0,0,Major League Soccer,2023,2023,2023
Alex Muyl,2023,0,1,0,Nashville SC,Right Midfield,5,0,0,Major League Soccer,2023,2023,2023
Andrew Privett,2023,0,1,0,Charlotte,Left Center Back,5,0,0,Major League Soccer,2023,2023,2023
Andrés Felipe Reyes Ambuila,2023,0,2,0,New York Red Bulls,Right Center Back,10,0,0,Major League Soccer,2023,2023,2023
Benjamin Cremaschi,2023,1,5,0,Inter Miami,Left Center Midfield,75,0,0,Major League Soccer,2023,2023,2023
Brandon Vázquez Toledo,2023,0,2,0,Cincinnati,Right Center Forward,10,0,0,Major League Soccer,2023,2023,2023
Brandt Bronico,2023,0,1,0,Charlotte,Left Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Carlos Alberto Vela Garrido,2023,0,4,0,LAFC,Right Wing,20,0,0,Major League Soccer,2023,2023,2023
Daniel Edelman,2023,0,1,0,New York Red Bulls,Center Defensive Midfield,5,0,0,Major League Soccer,2023,2023,2023
David Ruiz,2023,0,2,0,Inter Miami,Right Center Midfield,10,0,0,Major League Soccer,2023,2023,2023
DeAndre Yedlin,2023,0,1,0,Inter Miami,Right Wing Back,5,0,0,Major League Soccer,2023,2023,2023
Deandre Kerr,2023,0,2,0,Toronto FC,Center Forward,10,0,0,Major League Soccer,2023,2023,2023
Denis Bouanga,2023,0,7,0,LAFC,Left Wing,35,0,0,Major League Soccer,2023,2023,2023
Diego Alexander Gómez Amarilla,2023,1,4,0,Inter Miami,Left Wing,70,0,0,Major League Soccer,2023,2023,2023
Dixon Jair Arroyo Espinoza,2023,0,1,0,Inter Miami,Left Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Dru Yearwood,2023,0,1,0,New York Red Bulls,Right Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Enzo Nahuel Copetti,2023,0,1,0,Charlotte,Center Forward,5,0,0,Major League Soccer,2023,2023,2023
Facundo Farías,2023,2,10,0,Inter Miami,Left Center Forward,150,0,0,Major League Soccer,2023,2023,2023
Federico Bernardeschi,2023,0,2,0,Toronto FC,Right Wing,10,0,0,Major League Soccer,2023,2023,2023
Filip Yavorov Krastev,2023,0,1,0,LAFC,Center Defensive Midfield,5,0,0,Major League Soccer,2023,2023,2023
Frankie Amaya,2023,0,1,0,New York Red Bulls,Left Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Hany Mukhtar,2023,0,2,0,Nashville SC,Right Center Forward,10,0,0,Major League Soccer,2023,2023,2023
Jack Maher,2023,0,1,0,Nashville SC,Left Center Back,5,0,0,Major League Soccer,2023,2023,2023
Jacob Shaffelburg,2023,0,1,0,Nashville SC,Left Midfield,5,0,0,Major League Soccer,2023,2023,2023
Jean Mota Oliveira de Sousa,2023,0,1,0,Inter Miami,Right Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Jere Juhani Uronen,2023,0,1,0,Charlotte,Left Back,5,0,0,Major League Soccer,2023,2023,2023
Jesús David Murillo Largacha,2023,0,2,0,LAFC,Left Center Back,10,0,0,Major League Soccer,2023,2023,2023
John Tolkin,2023,0,1,0,New York Red Bulls,Left Back,5,0,0,Major League Soccer,2023,2023,2023
Jordi Alba Ramos,2023,1,1,0,Inter Miami,Left Wing Back,55,0,0,Major League Soccer,2023,2023,2023
Josef Alexander Martínez Mencia,2023,0,5,0,Inter Miami,Center Forward,25,0,0,Major League Soccer,2023,2023,2023
Justin Meram,2023,0,1,0,Charlotte,Left Midfield,5,0,0,Major League Soccer,2023,2023,2023
Júnior Leonardo Moreno Borrero,2023,0,1,0,Cincinnati,Left Defensive Midfield,5,0,0,Major League Soccer,2023,2023,2023
Karol Świderski,2023,0,2,0,Charlotte,Right Center Midfield,10,0,0,Major League Soccer,2023,2023,2023
Kerwin Calderón Vargas,2023,1,3,0,Charlotte,Left Midfield,65,0,0,Major League Soccer,2023,2023,2023
Leonardo Campana Romero,2023,1,7,0,Inter Miami,Center Forward,85,0,0,Major League Soccer,2023,2023,2023
Lionel Andrés Messi Cuccittini,2023,1,20,0,Inter Miami,Right Center Forward,150,0,0,Major League Soccer,2023,2023,2023
Lorenzo Insigne,2023,0,4,0,Toronto FC,Left Wing,20,0,0,Major League Soccer,2023,2023,2023
Lucas Lima Linhares,2023,0,2,0,New York Red Bulls,Left Midfield,10,0,0,Major League Soccer,2023,2023,2023
Luciano Federico Acosta,2023,0,1,0,Cincinnati,Center Attacking Midfield,5,0,0,Major League Soccer,2023,2023,2023
Mario González Gutiérrez,2023,0,1,0,LAFC,Center Forward,5,0,0,Major League Soccer,2023,2023,2023
Mateusz Bogusz,2023,0,2,0,LAFC,Left Center Midfield,10,0,0,Major League Soccer,2023,2023,2023
Matt Miazga,2023,0,2,0,Cincinnati,Center Back,10,0,0,Major League Soccer,2023,2023,2023
Noah Allen,2023,0,2,0,Inter Miami,Left Wing Back,10,0,0,Major League Soccer,2023,2023,2023
Omir Guadalupe Fernandez Mosso,2023,0,3,0,New York Red Bulls,Right Midfield,15,0,0,Major League Soccer,2023,2023,2023
Robbie Robinson Belmar,2023,0,1,0,Inter Miami,Right Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Robert Taylor,2023,2,5,0,Inter Miami,Left Center Midfield,125,0,0,Major League Soccer,2023,2023,2023
Ryan Hollingshead,2023,1,3,0,LAFC,Left Back,65,0,0,Major League Soccer,2023,2023,2023
Santiago Arias Naranjo,2023,0,1,0,Cincinnati,Right Wing Back,5,0,0,Major League Soccer,2023,2023,2023
Scott Arfield,2023,0,1,0,Charlotte,Right Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Sean Nealis,2023,0,1,0,New York Red Bulls,Left Center Back,5,0,0,Major League Soccer,2023,2023,2023
Sergio Busquets i Burgos,2023,0,1,0,Inter Miami,Center Defensive Midfield,5,0,0,Major League Soccer,2023,2023,2023
Sergio Henrique Santos Gomes,2023,0,2,0,Cincinnati,Left Center Forward,10,0,0,Major League Soccer,2023,2023,2023
Teal Alexander Bunbury,2023,0,2,0,Nashville SC,Right Center Forward,10,0,0,Major League Soccer,2023,2023,2023
Timothy Tillman,2023,0,1,0,LAFC,Right Center Midfield,5,0,0,Major League Soccer,2023,2023,2023
Tom Barlow,2023,0,1,0,New York Red Bulls,Center Forward,5,0,0,Major League Soccer,2023,2023,2023
Tomás Agustín Avilés Mancilla,2023,0,4,0,Inter Miami,Right Center Back,20,0,0,Major League Soccer,2023,2023,2023
Yuya Kubo,2023,0,1,0,Cincinnati,Right Defensive Midfield,5,0,0,Major League Soccer,2023,2023,2023
Álvaro Martín Barreal,2023,1,2,0,Cincinnati,Left Wing Back,60,0,0,Major League Soccer,2023,2023,2023
