player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Dave Gillett,1977,0,2,0,Seattle Sounders,Right Center Back,10,0,0,North American League,1977,1977,1977
David Joan Butler,1977,0,1,0,Seattle Sounders,Left Center Midfield,5,0,0,North American League,1977,1977,1977
Franz Beckenbauer,1977,0,2,0,NY Cosmos,Left Defensive Midfield,10,0,0,North American League,1977,1977,1977
Giorgio Chinaglia,1977,1,3,0,NY Cosmos,Center Forward,65,0,0,North American League,1977,1977,1977
Harold Michael ''Mike' England,1977,0,2,0,Seattle Sounders,Left Center Back,10,0,0,North American League,1977,1977,1977
James Gillen Robertson,1977,1,3,0,Seattle Sounders,Right Wing,65,0,0,North American League,1977,1977,1977
Jimmy McAlister,1977,0,1,0,Seattle Sounders,Left Back,5,0,0,North American League,1977,1977,1977
Jocky Scott,1977,0,4,0,Seattle Sounders,Right Center Midfield,20,0,0,North American League,1977,1977,1977
Micky Cave,1977,0,4,0,Seattle Sounders,Left Center Midfield,20,0,0,North American League,1977,1977,1977
Nelsi Morais,1977,0,1,0,NY Cosmos,Left Back,5,0,0,North American League,1977,1977,1977
Robert Alfred ''Bobby' Smith,1977,0,1,0,NY Cosmos,Right Back,5,0,0,North American League,1977,1977,1977
Stephen Kenneth Hunt,1977,1,10,0,NY Cosmos,Left Wing,100,0,0,North American League,1977,1977,1977
Steve Buttle,1977,0,3,0,Seattle Sounders,Left Wing,15,0,0,North American League,1977,1977,1977
Terry Graham Garbett,1977,0,1,0,NY Cosmos,Right Defensive Midfield,5,0,0,North American League,1977,1977,1977
Tommy Ord,1977,0,4,0,Seattle Sounders,Center Forward,20,0,0,North American League,1977,1977,1977
Tony Field,1977,0,1,0,NY Cosmos,Right Wing,5,0,0,North American League,1977,1977,1977
Édson Arantes do Nascimento,1977,0,7,0,NY Cosmos,Center Attacking Midfield,35,0,0,North American League,1977,1977,1977
