player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abby Erceg,2018,2,15,0,North Carolina Courage,Left Center Back,175,0,0,NWSL,2018,2018,2018
Adriana Kristina Leon,2018,0,2,0,OL Reign,Right Wing,10,0,0,NWSL,2018,2018,2018
Alanna Stephanie Kennedy,2018,1,12,0,Orlando Pride,Right Center Midfield,110,0,0,NWSL,2018,2018,2018
Alexandra Morgan Carrasco,2018,1,16,0,Orlando Pride,Right Center Forward,130,0,0,NWSL,2018,2018,2018
Ali Krieger,2018,0,2,0,Orlando Pride,Right Back,10,0,0,NWSL,2018,2018,2018
Allie Long,2018,1,9,0,OL Reign,Right Center Midfield,95,0,0,NWSL,2018,2018,2018
Alyssa Kleiner,2018,0,1,0,OL Reign,Left Back,5,0,0,NWSL,2018,2018,2018
Alyssa Mautz,2018,0,7,0,Chicago Red Stars,Right Midfield,35,0,0,NWSL,2018,2018,2018
Amanda Frisbie,2018,0,1,0,NJ/NY Gotham FC,Left Back,5,0,0,NWSL,2018,2018,2018
Amber Brooks,2018,1,2,0,Houston Dash,Left Center Back,60,0,0,NWSL,2018,2018,2018
Amy Rodriguez,2018,1,12,0,Utah Royals,Center Forward,110,0,0,NWSL,2018,2018,2018
Ana-Maria Crnogorčević,2018,3,15,0,Portland Thorns,Center Forward,225,0,0,NWSL,2018,2018,2018
Andi Sullivan,2018,0,10,0,Washington Spirit,Center Defensive Midfield,50,0,0,NWSL,2018,2018,2018
Andressa Cavalari Machry,2018,0,2,0,Portland Thorns,Right Attacking Midfield,10,0,0,NWSL,2018,2018,2018
Ashley Hatch,2018,1,35,0,Washington Spirit,Center Forward,225,0,0,NWSL,2018,2018,2018
Aubrey Renee Kingsbury,2018,0,1,0,Washington Spirit,Goalkeeper,5,0,0,NWSL,2018,2018,2018
Beverly Yanez,2018,1,13,0,OL Reign,Center Midfield,115,0,0,NWSL,2018,2018,2018
Brooke Elby,2018,0,3,0,Chicago Red Stars,Right Back,15,0,0,NWSL,2018,2018,2018
Caitlin Jade Foord,2018,0,2,0,Portland Thorns,Center Forward,10,0,0,NWSL,2018,2018,2018
Cali Farquharson,2018,0,1,0,Washington Spirit,Left Back,5,0,0,NWSL,2018,2018,2018
Camila Martins Pereira,2018,0,9,0,Orlando Pride,Left Center Midfield,45,0,0,NWSL,2018,2018,2018
Caprice Dydasco,2018,0,4,0,Washington Spirit,Left Back,20,0,0,NWSL,2018,2018,2018
Carli Anne Hollins,2018,2,15,0,NJ/NY Gotham FC,Left Center Forward,175,0,0,NWSL,2018,2018,2018
Carson Pickett,2018,0,1,0,Orlando Pride,Left Back,5,0,0,NWSL,2018,2018,2018
Casey Marie Krueger,2018,1,2,0,Chicago Red Stars,Left Back,60,0,0,NWSL,2018,2018,2018
Chioma Ubogagu,2018,1,12,0,Orlando Pride,Left Wing,110,0,0,NWSL,2018,2018,2018
Christen Annemarie Press,2018,2,17,0,Utah Royals,Left Wing,185,0,0,NWSL,2018,2018,2018
Christen Westphal,2018,0,1,0,OL Reign,Left Back,5,0,0,NWSL,2018,2018,2018
Christine Margaret Sinclair,2018,0,12,0,Portland Thorns,Center Attacking Midfield,60,0,0,NWSL,2018,2018,2018
Christine Nairn,2018,0,2,0,Orlando Pride,Left Center Midfield,10,0,0,NWSL,2018,2018,2018
Clare Elizabeth Polkinghorne,2018,0,5,0,Houston Dash,Left Defensive Midfield,25,0,0,NWSL,2018,2018,2018
Crystal Alyssia Dunn Soubrier,2018,3,38,0,North Carolina Courage,Left Center Forward,340,0,0,NWSL,2018,2018,2018
Dani Weatherholt,2018,1,12,0,Orlando Pride,Center Defensive Midfield,110,0,0,NWSL,2018,2018,2018
Danica Evans,2018,0,1,0,Orlando Pride,Left Wing,5,0,0,NWSL,2018,2018,2018
Danielle Colaprico,2018,0,2,0,Chicago Red Stars,Right Defensive Midfield,10,0,0,NWSL,2018,2018,2018
Darian Jenkins,2018,0,3,0,North Carolina Courage,Left Center Forward,15,0,0,NWSL,2018,2018,2018
Denise O'Sullivan,2018,0,18,0,North Carolina Courage,Right Center Midfield,90,0,0,NWSL,2018,2018,2018
Desiree Rose Marie Scott,2018,0,1,0,Utah Royals,Left Defensive Midfield,5,0,0,NWSL,2018,2018,2018
Diana Matheson,2018,2,5,0,Utah Royals,Right Attacking Midfield,125,0,0,NWSL,2018,2018,2018
Dominique Richardson,2018,0,2,0,NJ/NY Gotham FC,Left Back,10,0,0,NWSL,2018,2018,2018
Débora Cristiane de Oliveira,2018,6,37,0,North Carolina Courage,Right Midfield,485,0,0,NWSL,2018,2018,2018
Elizabeth Addo,2018,0,3,0,OL Reign,Right Wing,15,0,0,NWSL,2018,2018,2018
Ellie Madison Carpenter,2018,0,2,0,Portland Thorns,Right Back,10,0,0,NWSL,2018,2018,2018
Emily Ann Sonnett,2018,1,1,0,Portland Thorns,Center Back,55,0,0,NWSL,2018,2018,2018
Emily Louise van Egmond,2018,0,11,0,Orlando Pride,Right Center Midfield,55,0,0,NWSL,2018,2018,2018
Erika Tymrak,2018,0,4,0,Utah Royals,Left Wing,20,0,0,NWSL,2018,2018,2018
Estefanía Romina Banini Ruiz,2018,0,4,0,Washington Spirit,Left Center Midfield,20,0,0,NWSL,2018,2018,2018
Estelle Johnson,2018,0,3,0,Washington Spirit,Left Center Back,15,0,0,NWSL,2018,2018,2018
Francisca Ordega,2018,1,6,0,Washington Spirit,Left Wing,80,0,0,NWSL,2018,2018,2018
Frannie Crouse,2018,1,2,0,North Carolina Courage,Left Wing,60,0,0,NWSL,2018,2018,2018
Gunnhildur Yrsa Jónsdóttir,2018,0,7,0,Utah Royals,Right Defensive Midfield,35,0,0,NWSL,2018,2018,2018
Haley Jean McCutcheon,2018,0,1,0,Houston Dash,Right Back,5,0,0,NWSL,2018,2018,2018
Havana Solaun,2018,0,5,0,Washington Spirit,Left Wing,25,0,0,NWSL,2018,2018,2018
Hayley Emma Raso,2018,2,15,0,Portland Thorns,Right Wing,175,0,0,NWSL,2018,2018,2018
Heather O''Reilly,2018,0,1,0,North Carolina Courage,Left Wing,5,0,0,NWSL,2018,2018,2018
Ifeoma Onumonu,2018,0,1,0,Portland Thorns,Right Attacking Midfield,5,0,0,NWSL,2018,2018,2018
Imani Dorsey,2018,3,12,0,NJ/NY Gotham FC,Left Midfield,210,0,0,NWSL,2018,2018,2018
Jaelene McKenzie Daniels,2018,0,3,0,North Carolina Courage,Left Back,15,0,0,NWSL,2018,2018,2018
Janine Elizabeth Beckie,2018,0,9,0,NJ/NY Gotham FC,Center Attacking Midfield,45,0,0,NWSL,2018,2018,2018
Jasmyne Spencer,2018,1,8,0,OL Reign,Right Attacking Midfield,90,0,0,NWSL,2018,2018,2018
Jessica Fishlock,2018,0,11,0,OL Reign,Center Midfield,55,0,0,NWSL,2018,2018,2018
Jessica McDonald,2018,3,39,0,North Carolina Courage,Right Center Forward,345,0,0,NWSL,2018,2018,2018
Joanna Lohman,2018,0,2,0,Washington Spirit,Right Center Midfield,10,0,0,NWSL,2018,2018,2018
Jodie Taylor,2018,4,19,0,OL Reign,Center Forward,295,0,0,NWSL,2018,2018,2018
Julie Beth Ertz,2018,0,3,0,Chicago Red Stars,Right Center Midfield,15,0,0,NWSL,2018,2018,2018
Katherine Reynolds,2018,1,2,0,Portland Thorns,Right Center Back,60,0,0,NWSL,2018,2018,2018
Katie Bowen,2018,0,5,0,Utah Royals,Right Back,25,0,0,NWSL,2018,2018,2018
Katie Stengel,2018,4,14,0,Utah Royals,Center Forward,270,0,0,NWSL,2018,2018,2018
Katlyn Alicia Johnson Carreón,2018,0,2,0,NJ/NY Gotham FC,Center Forward,10,0,0,NWSL,2018,2018,2018
