player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Cresswell,2015/2016,2,27,0,West Ham United,Left Back,235,0,0,Premier League,2015/2016,2015/2016,2015
Aaron Lennon,2015/2016,5,18,0,Everton,Right Wing,340,0,0,Premier League,2015/2016,2015/2016,2015
Aaron Ramsey,2015/2016,5,67,0,Arsenal,Right Wing,585,0,0,Premier League,2015/2016,2015/2016,2015
Abdul Rahman Baba,2015/2016,0,6,0,Chelsea,Left Back,30,0,0,Premier League,2015/2016,2015/2016,2015
Adam David Lallana,2015/2016,4,42,0,Liverpool,Center Attacking Midfield,410,0,0,Premier League,2015/2016,2015/2016,2015
Adam David Lallana,2017/2018,0,1,0,Liverpool,Right Wing,5,0,0,Premier League,2017/2018,2017/2018,2017
Adam Johnson,2015/2016,2,16,0,Sunderland,Right Wing,180,0,0,Premier League,2015/2016,2015/2016,2015
Adam Smith,2015/2016,2,15,0,AFC Bournemouth,Right Back,175,0,0,Premier League,2015/2016,2015/2016,2015
Adama Traoré Diarra,2015/2016,0,2,0,Aston Villa,Left Wing,10,0,0,Premier League,2015/2016,2015/2016,2015
Adlène Guédioura,2015/2016,0,13,0,Watford,Right Midfield,65,0,0,Premier League,2015/2016,2015/2016,2015
Adrian Mutu,2003/2004,0,1,0,Chelsea,Left Center Forward,5,0,0,Premier League,2003/2004,2003/2004,2003
Alan Hutton,2015/2016,0,11,0,Aston Villa,Right Back,55,0,0,Premier League,2015/2016,2015/2016,2015
Alan Shearer,2003/2004,0,2,0,Newcastle United,Left Center Forward,10,0,0,Premier League,2003/2004,2003/2004,2003
Alan Smith,2003/2004,1,5,0,Leeds United,Right Center Forward,75,0,0,Premier League,2003/2004,2003/2004,2003
Alan Stubbs,2003/2004,0,3,0,Everton,Right Center Back,15,0,0,Premier League,2003/2004,2003/2004,2003
Alberto Moreno Pérez,2015/2016,1,34,0,Liverpool,Left Back,220,0,0,Premier League,2015/2016,2015/2016,2015
Aleksandar Kolarov,2015/2016,3,41,0,Manchester City,Left Back,355,0,0,Premier League,2015/2016,2015/2016,2015
Aleksandar Mitrović,2015/2016,9,80,0,Newcastle United,Center Forward,850,0,0,Premier League,2015/2016,2015/2016,2015
Alex Iwobi,2015/2016,2,15,0,Arsenal,Left Wing,175,0,0,Premier League,2015/2016,2015/2016,2015
Alex Oxlade-Chamberlain,2015/2016,1,23,0,Arsenal,Right Wing,165,0,0,Premier League,2015/2016,2015/2016,2015
Alex Pritchard,2015/2016,0,2,0,West Bromwich Albion,Right Midfield,10,0,0,Premier League,2015/2016,2015/2016,2015
Alex Rae,2003/2004,0,1,0,Wolverhampton Wanderers,Right Defensive Midfield,5,0,0,Premier League,2003/2004,2003/2004,2003
Alexander Banor Tettey,2015/2016,2,20,0,Norwich City,Right Defensive Midfield,200,0,0,Premier League,2015/2016,2015/2016,2015
Alexandre Dimitri Song-Billong,2015/2016,0,6,0,West Ham United,Center Defensive Midfield,30,0,0,Premier League,2015/2016,2015/2016,2015
Alexandre Rodrigues da Silva,2015/2016,1,4,0,Chelsea,Center Forward,70,0,0,Premier League,2015/2016,2015/2016,2015
Alexis Alejandro Sánchez Sánchez,2015/2016,13,111,0,Arsenal,Left Wing,1205,0,0,Premier League,2015/2016,2015/2016,2015
Allan Romeo Nyom,2015/2016,0,7,0,Watford,Right Back,35,0,0,Premier League,2015/2016,2015/2016,2015
Almen Abdi,2015/2016,2,39,0,Watford,Right Midfield,295,0,0,Premier League,2015/2016,2015/2016,2015
Aly Cissokho,2015/2016,0,4,0,Aston Villa,Left Back,20,0,0,Premier League,2015/2016,2015/2016,2015
Amdy Moustapha Faye,2003/2004,0,1,0,Portsmouth,Right Defensive Midfield,5,0,0,Premier League,2003/2004,2003/2004,2003
Andre Green,2015/2016,0,1,0,Aston Villa,Center Attacking Midfield,5,0,0,Premier League,2015/2016,2015/2016,2015
Andre Wisdom,2015/2016,0,2,0,Norwich City,Right Back,10,0,0,Premier League,2015/2016,2015/2016,2015
Andrew Philip King,2015/2016,2,19,0,Leicester City,Left Center Midfield,195,0,0,Premier League,2015/2016,2015/2016,2015
Andrew Robertson,2018/2019,0,1,0,Liverpool,Left Back,5,0,0,Premier League,2018/2019,2018/2019,2018
Andrew Surman,2015/2016,0,16,0,AFC Bournemouth,Left Center Midfield,80,0,0,Premier League,2015/2016,2015/2016,2015
Andros Townsend,2015/2016,4,29,0,Newcastle United,Right Wing,345,0,0,Premier League,2015/2016,2015/2016,2015
André Ayew Pelé,2015/2016,12,69,0,Swansea City,Right Wing,945,0,0,Premier League,2015/2016,2015/2016,2015
