player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abdoulay Konko,2015/2016,0,13,0,Lazio,Right Back,65,0,0,Serie A,2015/2016,2015/2016,2015
Abel Eduardo Balbo,1999/2000,1,3,0,Fiorentina,Right Center Forward,65,0,0,Serie A,1999/2000,1999/2000,1999
Achraf Lazaar,2015/2016,1,29,0,Palermo,Left Back,195,0,0,Serie A,2015/2016,2015/2016,2015
Adam Masina,2015/2016,2,13,0,Bologna,Left Back,165,0,0,Serie A,2015/2016,2015/2016,2015
Adem Ljajić,2015/2016,3,39,0,Inter Milan,Right Wing,345,0,0,Serie A,2015/2016,2015/2016,2015
Adriano Russo,2015/2016,1,1,0,Frosinone,Right Center Back,55,0,0,Serie A,2015/2016,2015/2016,2015
Afriyie Acquah,2015/2016,2,24,0,Torino,Right Center Midfield,220,0,0,Serie A,2015/2016,2015/2016,2015
Alberto Facundo Costa,2015/2016,0,19,0,Genoa,Left Defensive Midfield,95,0,0,Serie A,2015/2016,2015/2016,2015
Alberto Gilardino,2015/2016,10,49,0,Palermo,Center Forward,745,0,0,Serie A,2015/2016,2015/2016,2015
Alberto Grassi,2015/2016,0,16,0,Atalanta,Right Center Midfield,80,0,0,Serie A,2015/2016,2015/2016,2015
Alberto Paloschi,2015/2016,10,56,0,Chievo,Right Center Forward,780,0,0,Serie A,2015/2016,2015/2016,2015
Aldo Serena,1986/1987,0,1,0,Juventus,Right Center Forward,5,0,0,Serie A,1986/1987,1986/1987,1986
Aleandro Rosi,2015/2016,0,15,0,Frosinone,Right Back,75,0,0,Serie A,2015/2016,2015/2016,2015
Alejandro Darío Gómez,2015/2016,7,87,0,Atalanta,Left Wing,785,0,0,Serie A,2015/2016,2015/2016,2015
Aleksandar Tonev,2015/2016,0,32,0,Frosinone,Right Wing,160,0,0,Serie A,2015/2016,2015/2016,2015
Aleksandar Trajkovski,2015/2016,3,39,0,Palermo,Left Attacking Midfield,345,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Altobelli,1988/1989,0,3,0,Juventus,Center Forward,15,0,0,Serie A,1988/1989,1988/1989,1988
Alessandro Diamanti,2015/2016,1,25,0,Atalanta,Right Wing,175,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Florenzi,2015/2016,7,48,0,AS Roma,Right Back,590,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Frara,2015/2016,2,12,0,Frosinone,Left Center Midfield,160,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Gamberini,2015/2016,0,4,0,Chievo,Right Center Back,20,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Gazzi,2015/2016,0,2,0,Torino,Center Defensive Midfield,10,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Longhi,2015/2016,0,1,0,Sassuolo,Left Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Matri,2015/2016,4,12,0,Lazio,Center Forward,260,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Nesta,2004/2005,0,1,0,AC Milan,Left Center Back,5,0,0,Serie A,2004/2005,2004/2005,2004
Alessandro Piu,2015/2016,0,3,0,Empoli,Left Center Forward,15,0,0,Serie A,2015/2016,2015/2016,2015
Alessandro Renica,1986/1987,0,4,0,Napoli,Center Back,20,0,0,Serie A,1986/1987,1986/1987,1986
Alessandro Renica,1988/1989,1,5,0,Napoli,Center Back,75,0,0,Serie A,1988/1989,1988/1989,1988
Alessio Cerci,2015/2016,4,39,0,Genoa,Right Wing,395,0,0,Serie A,2015/2016,2015/2016,2015
Alessio Romagnoli,2015/2016,0,6,0,AC Milan,Left Center Back,30,0,0,Serie A,2015/2016,2015/2016,2015
Alex Ferrari,2015/2016,0,8,0,Bologna,Right Back,40,0,0,Serie A,2015/2016,2015/2016,2015
Alex Nicolao Telles,2015/2016,0,13,0,Inter Milan,Left Back,65,0,0,Serie A,2015/2016,2015/2016,2015
Alex Rodrigo Dias da Costa,2015/2016,3,23,0,AC Milan,Right Center Back,265,0,0,Serie A,2015/2016,2015/2016,2015
Alex Sandro Lobo Silva,2015/2016,2,18,0,Juventus,Left Wing Back,190,0,0,Serie A,2015/2016,2015/2016,2015
Alex Sandro Lobo Silva,2016/2017,0,1,0,Juventus,Left Back,5,0,0,Serie A,2016/2017,2016/2017,2016
Alexander Farnerud,2015/2016,0,2,0,Torino,Left Center Midfield,10,0,0,Serie A,2015/2016,2015/2016,2015
Alexander Merkel,2015/2016,0,1,0,Udinese,Right Center Midfield,5,0,0,Serie A,2015/2016,2015/2016,2015
Ali Adnan Kadhim Al Tameemi,2015/2016,1,23,0,Udinese,Left Wing Back,165,0,0,Serie A,2015/2016,2015/2016,2015
Aljaž Struna,2015/2016,1,7,0,Palermo,Right Center Back,85,0,0,Serie A,2015/2016,2015/2016,2015
Allan Marques Loureiro,2015/2016,3,29,0,Napoli,Right Center Midfield,295,0,0,Serie A,2015/2016,2015/2016,2015
Amadou Diawara,2015/2016,0,20,0,Bologna,Center Defensive Midfield,100,0,0,Serie A,2015/2016,2015/2016,2015
Anderson Hernanes de Carvalho Andrade,2015/2016,1,33,0,Juventus,Center Defensive Midfield,215,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Barzagli,2015/2016,1,4,0,Juventus,Right Center Back,70,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Belotti,2015/2016,12,73,0,Torino,Right Center Forward,965,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Bertolacci,2015/2016,1,18,0,AC Milan,Left Defensive Midfield,140,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Carnevale,1988/1989,2,11,0,Napoli,Left Center Forward,155,0,0,Serie A,1988/1989,1988/1989,1988
Andrea Conti,2015/2016,2,5,0,Atalanta,Right Wing Back,125,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Costa,2015/2016,1,7,0,Empoli,Left Center Back,85,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Lazzari,2015/2016,1,10,0,Carpi,Center Attacking Midfield,100,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Masiello,2015/2016,0,4,0,Atalanta,Right Back,20,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Pirlo,2004/2005,0,3,0,AC Milan,Center Defensive Midfield,15,0,0,Serie A,2004/2005,2004/2005,2004
Andrea Pirlo,2006/2007,0,2,0,AC Milan,Center Defensive Midfield,10,0,0,Serie A,2006/2007,2006/2007,2006
Andrea Poli,2015/2016,0,5,0,AC Milan,Right Defensive Midfield,25,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Ranocchia,2015/2016,0,9,0,Sampdoria,Center Back,45,0,0,Serie A,2015/2016,2015/2016,2015
Andrea Rispoli,2015/2016,0,12,0,Palermo,Right Wing Back,60,0,0,Serie A,2015/2016,2015/2016,2015
Andriy Shevchenko,2004/2005,0,6,0,AC Milan,Right Center Forward,30,0,0,Serie A,2004/2005,2004/2005,2004
Angelo Di Livio,1999/2000,0,2,0,Fiorentina,Right Midfield,10,0,0,Serie A,1999/2000,1999/2000,1999
Angelo Palombo,2015/2016,0,1,0,Sampdoria,Right Center Midfield,5,0,0,Serie A,2015/2016,2015/2016,2015
Ante Rebić,2015/2016,1,17,0,Hellas Verona,Left Midfield,135,0,0,Serie A,2015/2016,2015/2016,2015
Anthony Mounier,2015/2016,4,23,0,Bologna,Right Wing,315,0,0,Serie A,2015/2016,2015/2016,2015
Antonino La Gumina,2015/2016,0,3,0,Palermo,Right Midfield,15,0,0,Serie A,2015/2016,2015/2016,2015
Antonio Cabrini,1986/1987,0,2,0,Juventus,Left Wing Back,10,0,0,Serie A,1986/1987,1986/1987,1986
Antonio Candreva,2015/2016,10,90,0,Lazio,Right Wing,950,0,0,Serie A,2015/2016,2015/2016,2015
Antonio Cassano,2015/2016,2,18,0,Sampdoria,Center Forward,190,0,0,Serie A,2015/2016,2015/2016,2015
Antonio Di Gaudio,2015/2016,3,36,0,Carpi,Left Midfield,330,0,0,Serie A,2015/2016,2015/2016,2015
Antonio Di Natale,2015/2016,2,33,0,Udinese,Left Center Forward,265,0,0,Serie A,2015/2016,2015/2016,2015
Antonio Floro Flores,2015/2016,4,59,0,Sassuolo,Left Wing,495,0,0,Serie A,2015/2016,2015/2016,2015
Antonio Rüdiger,2015/2016,2,18,0,AS Roma,Left Center Back,190,0,0,Serie A,2015/2016,2015/2016,2015
Antônio de Oliveira Filho,1988/1989,2,11,0,Napoli,Right Center Forward,155,0,0,Serie A,1988/1989,1988/1989,1988
Archimede Morleo,2015/2016,0,4,0,Bologna,Left Back,20,0,0,Serie A,2015/2016,2015/2016,2015
Arlind Afrim Ajeti,2015/2016,1,9,0,Frosinone,Right Center Back,95,0,0,Serie A,2015/2016,2015/2016,2015
Armando Izzo,2015/2016,0,15,0,Genoa,Left Center Back,75,0,0,Serie A,2015/2016,2015/2016,2015
Artur Ioniţă,2015/2016,4,40,0,Hellas Verona,Right Defensive Midfield,400,0,0,Serie A,2015/2016,2015/2016,2015
Arturo Erasmo Vidal Pardo,2014/2015,0,2,0,Juventus,Secondary Striker,10,0,0,Serie A,2014/2015,2014/2015,2014
Assane Demoya Gnoukouri,2015/2016,0,2,0,Inter Milan,Center Defensive Midfield,10,0,0,Serie A,2015/2016,2015/2016,2015
Assane Dioussé El Hadji,2015/2016,0,5,0,Empoli,Center Defensive Midfield,25,0,0,Serie A,2015/2016,2015/2016,2015
Berat Djimsiti,2015/2016,0,1,0,Atalanta,Left Center Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Blerim Džemaili,2015/2016,3,37,0,Genoa,Left Defensive Midfield,335,0,0,Serie A,2015/2016,2015/2016,2015
Borja Valero Iglesias,2015/2016,4,36,0,Fiorentina,Left Defensive Midfield,380,0,0,Serie A,2015/2016,2015/2016,2015
Boukary Dramé,2015/2016,0,18,0,Atalanta,Left Back,90,0,0,Serie A,2015/2016,2015/2016,2015
Boško Janković,2015/2016,1,15,0,Hellas Verona,Right Wing,125,0,0,Serie A,2015/2016,2015/2016,2015
Boštjan Cesar,2015/2016,1,15,0,Chievo,Left Center Back,125,0,0,Serie A,2015/2016,2015/2016,2015
Bruno Giordano,1986/1987,1,6,0,Napoli,Center Forward,80,0,0,Serie A,1986/1987,1986/1987,1986
Bruno Miguel Borges Fernandes,2015/2016,3,53,0,Udinese,Left Center Midfield,415,0,0,Serie A,2015/2016,2015/2016,2015
Bruno da Silva Peres,2015/2016,3,40,0,Torino,Right Wing Back,350,0,0,Serie A,2015/2016,2015/2016,2015
Bryan Cristante,2015/2016,0,2,0,Palermo,Left Defensive Midfield,10,0,0,Serie A,2015/2016,2015/2016,2015
Carlos Alberto Tevez,2014/2015,0,4,0,Juventus,Right Center Forward,20,0,0,Serie A,2014/2015,2014/2015,2014
Carlos Arturo Bacca Ahumada,2015/2016,18,81,0,AC Milan,Left Center Forward,1305,0,0,Serie A,2015/2016,2015/2016,2015
Carlos Emilio Carmona Tello,2015/2016,0,1,0,Atalanta,Right Center Midfield,5,0,0,Serie A,2015/2016,2015/2016,2015
Carlos Joaquín Correa,2015/2016,3,35,0,Sampdoria,Left Attacking Midfield,325,0,0,Serie A,2015/2016,2015/2016,2015
Carlos Mario Carbonero Mancilla,2015/2016,0,6,0,Sampdoria,Left Midfield,30,0,0,Serie A,2015/2016,2015/2016,2015
Cesare Bovo,2015/2016,2,10,0,Torino,Right Center Back,150,0,0,Serie A,2015/2016,2015/2016,2015
Christian Maggio,2015/2016,0,1,0,Napoli,Right Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Ciro Ferrara,1988/1989,0,1,0,Napoli,Center Defensive Midfield,5,0,0,Serie A,1988/1989,1988/1989,1988
Ciro Immobile,2015/2016,7,51,0,Torino,Left Center Forward,605,0,0,Serie A,2015/2016,2015/2016,2015
Clarence Seedorf,2004/2005,0,1,0,AC Milan,Left Center Midfield,5,0,0,Serie A,2004/2005,2004/2005,2004
Clarence Seedorf,2006/2007,0,1,0,AC Milan,Left Attacking Midfield,5,0,0,Serie A,2006/2007,2006/2007,2006
Claudio Marchisio,2014/2015,0,3,0,Juventus,Right Center Midfield,15,0,0,Serie A,2014/2015,2014/2015,2014
Claudio Marchisio,2015/2016,0,26,0,Juventus,Center Defensive Midfield,130,0,0,Serie A,2015/2016,2015/2016,2015
Claudio Santos,2004/2005,0,1,0,AC Milan,Left Center Midfield,5,0,0,Serie A,2004/2005,2004/2005,2004
Cristian Daniel Ansaldi,2015/2016,0,13,0,Genoa,Right Wing Back,65,0,0,Serie A,2015/2016,2015/2016,2015
Cristian Eduardo Zapata Valencia,2015/2016,1,3,0,AC Milan,Right Center Back,65,0,0,Serie A,2015/2016,2015/2016,2015
Cristian Molinaro,2015/2016,1,13,0,Torino,Left Wing Back,115,0,0,Serie A,2015/2016,2015/2016,2015
Cristian Raimondi,2015/2016,0,6,0,Atalanta,Right Back,30,0,0,Serie A,2015/2016,2015/2016,2015
Cristian Tello Herrera,2015/2016,2,22,0,Fiorentina,Right Wing,210,0,0,Serie A,2015/2016,2015/2016,2015
Cristian Zaccardo,2015/2016,1,18,0,Carpi,Right Back,140,0,0,Serie A,2015/2016,2015/2016,2015
Cyril Théréau,2015/2016,11,76,0,Udinese,Left Center Forward,930,0,0,Serie A,2015/2016,2015/2016,2015
Daniel Ciofani,2015/2016,9,77,0,Frosinone,Right Center Forward,835,0,0,Serie A,2015/2016,2015/2016,2015
Daniel Pavlovic,2015/2016,0,12,0,Frosinone,Left Back,60,0,0,Serie A,2015/2016,2015/2016,2015
Daniele Baselli,2015/2016,4,33,0,Torino,Left Center Midfield,365,0,0,Serie A,2015/2016,2015/2016,2015
Daniele Croce,2015/2016,0,12,0,Empoli,Left Center Midfield,60,0,0,Serie A,2015/2016,2015/2016,2015
Daniele De Rossi,2015/2016,1,11,0,AS Roma,Left Center Back,105,0,0,Serie A,2015/2016,2015/2016,2015
Daniele Gastaldello,2015/2016,1,8,0,Bologna,Right Center Back,90,0,0,Serie A,2015/2016,2015/2016,2015
Daniele Rugani,2015/2016,0,3,0,Juventus,Left Center Back,15,0,0,Serie A,2015/2016,2015/2016,2015
Daniele Verde,2015/2016,0,10,0,Frosinone,Center Attacking Midfield,50,0,0,Serie A,2015/2016,2015/2016,2015
Danilo Cataldi,2015/2016,1,29,0,Lazio,Center Defensive Midfield,195,0,0,Serie A,2015/2016,2015/2016,2015
Danilo D''Ambrosio,2015/2016,2,8,0,Inter Milan,Right Back,140,0,0,Serie A,2015/2016,2015/2016,2015
