player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Ramsey,2020,1,7,0,Wales,Left Center Midfield,85,0,0,UEFA Euro,2020,2020,2020
Aaron Ramsey,2022,0,1,0,Wales,Right Center Midfield,5,0,0,UEFA Euro,2022,2022,2022
Abdülkerim Bardakcı,2024,0,2,0,Turkey,Left Center Back,10,0,0,UEFA Euro,2024,2024,2024
Adam Buksa,2024,1,3,0,Poland,Right Center Forward,65,0,0,UEFA Euro,2024,2024,2024
Adam Gnezda Čerin,2024,0,4,0,Slovenia,Right Defensive Midfield,20,0,0,UEFA Euro,2024,2024,2024
Adam Hložek,2020,0,1,0,Czech Republic,Right Wing,5,0,0,UEFA Euro,2020,2020,2020
Adam Hložek,2024,0,4,0,Czech Republic,Left Attacking Midfield,20,0,0,UEFA Euro,2024,2024,2024
Admir Mehmedi,2020,1,3,0,Switzerland,Left Center Back,65,0,0,UEFA Euro,2020,2020,2020
Adrien Sebastian Perruchet Silva,2018,0,2,0,Portugal,Right Center Midfield,10,0,0,UEFA Euro,2018,2018,2018
Alejandro Balde Martínez,2022,0,1,0,Spain,Left Back,5,0,0,UEFA Euro,2022,2022,2022
Aleksandar Dragović,2020,0,1,0,Austria,Right Center Back,5,0,0,UEFA Euro,2020,2020,2020
Aleksandar Trajkovski,2020,0,6,0,North Macedonia,Right Wing Back,30,0,0,UEFA Euro,2020,2020,2020
Alessandro Bastoni,2024,1,3,0,Italy,Center Back,65,0,0,UEFA Euro,2024,2024,2024
Alessandro Schöpf,2020,0,1,0,Austria,Left Wing,5,0,0,UEFA Euro,2020,2020,2020
Alex Král,2020,0,1,0,Czech Republic,Center Attacking Midfield,5,0,0,UEFA Euro,2020,2020,2020
Alexander Hartmann Bah,2022,0,2,0,Denmark,Right Back,10,0,0,UEFA Euro,2022,2022,2022
Alexander Hartmann Bah,2024,0,2,0,Denmark,Right Wing Back,10,0,0,UEFA Euro,2024,2024,2024
Alexandru Neagu,1970,0,3,0,Romania,Right Center Forward,15,0,0,UEFA Euro,1970,1970,1970
Andraž Šporar,2024,0,8,0,Slovenia,Right Center Forward,40,0,0,UEFA Euro,2024,2024,2024
Andrea Belotti,2020,1,11,0,Italy,Center Forward,105,0,0,UEFA Euro,2020,2020,2020
Andreas Christensen,2020,1,3,0,Denmark,Right Center Back,65,0,0,UEFA Euro,2020,2020,2020
Andreas Christensen,2022,1,2,0,Denmark,Center Back,60,0,0,UEFA Euro,2022,2022,2022
Andreas Christensen,2024,0,4,0,Denmark,Center Back,20,0,0,UEFA Euro,2024,2024,2024
Andreas Evald Cornelius,2018,0,1,0,Denmark,Center Forward,5,0,0,UEFA Euro,2018,2018,2018
Andreas Evald Cornelius,2020,0,4,0,Denmark,Center Forward,20,0,0,UEFA Euro,2020,2020,2020
Andreas Evald Cornelius,2022,0,5,0,Denmark,Center Forward,25,0,0,UEFA Euro,2022,2022,2022
Andreas Skov Olsen,2022,0,4,0,Denmark,Right Wing,20,0,0,UEFA Euro,2022,2022,2022
Andreas Skov Olsen,2024,0,1,0,Denmark,Right Attacking Midfield,5,0,0,UEFA Euro,2024,2024,2024
Andrei Burcă Andonie,2024,0,1,0,Romania,Left Center Back,5,0,0,UEFA Euro,2024,2024,2024
Andrei Florin Ratiu,2024,0,3,0,Romania,Right Back,15,0,0,UEFA Euro,2024,2024,2024
Andrew Robertson,2020,0,1,0,Scotland,Left Wing Back,5,0,0,UEFA Euro,2020,2020,2020
Andriy Yarmolenko,2020,2,10,0,Ukraine,Right Wing,150,0,0,UEFA Euro,2020,2020,2020
Andriy Yarmolenko,2024,0,4,0,Ukraine,Right Midfield,20,0,0,UEFA Euro,2024,2024,2024
András Schäfer,2020,1,2,0,Hungary,Left Center Midfield,60,0,0,UEFA Euro,2020,2020,2020
András Schäfer,2024,0,2,0,Hungary,Right Defensive Midfield,10,0,0,UEFA Euro,2024,2024,2024
André Miguel Valente Silva,2018,0,2,0,Portugal,Right Center Forward,10,0,0,UEFA Euro,2018,2018,2018
André Miguel Valente Silva,2020,0,3,0,Portugal,Left Wing,15,0,0,UEFA Euro,2020,2020,2020
Andrés Iniesta Luján,2018,1,6,0,Spain,Center Attacking Midfield,80,0,0,UEFA Euro,2018,2018,2018
Angelo Domenghini,1970,0,9,0,Italy,Right Wing Back,45,0,0,UEFA Euro,1970,1970,1970
Angharad James,2025,0,2,0,Wales,Left Defensive Midfield,10,0,0,UEFA Euro,2025,2025,2025
Antonio Juliano,1970,0,1,0,Italy,Center Defensive Midfield,5,0,0,UEFA Euro,1970,1970,1970
Antonín Barák,2020,0,3,0,Czech Republic,Center Attacking Midfield,15,0,0,UEFA Euro,2020,2020,2020
António João Pereira Albuquerque Tavares Silva,2024,0,1,0,Portugal,Right Center Back,5,0,0,UEFA Euro,2024,2024,2024
Anzor Mekvabishvili,2024,0,2,0,Georgia,Center Defensive Midfield,10,0,0,UEFA Euro,2024,2024,2024
Arbër Hoxha,2024,0,2,0,Albania,Center Defensive Midfield,10,0,0,UEFA Euro,2024,2024,2024
Arda Güler,2024,1,9,0,Turkey,Right Wing,95,0,0,UEFA Euro,2024,2024,2024
Arijan Ademi,2020,0,1,0,North Macedonia,Right Center Midfield,5,0,0,UEFA Euro,2020,2020,2020
Arkadiusz Milik,2018,0,1,0,Poland,Center Attacking Midfield,5,0,0,UEFA Euro,2018,2018,2018
Arkadiusz Milik,2022,0,1,0,Poland,Right Center Forward,5,0,0,UEFA Euro,2022,2022,2022
Armando Broja,2024,0,2,0,Albania,Center Forward,10,0,0,UEFA Euro,2024,2024,2024
Artem Dovbyk,2020,1,2,0,Ukraine,Right Center Forward,60,0,0,UEFA Euro,2020,2020,2020
Artem Dovbyk,2024,0,6,0,Ukraine,Center Forward,30,0,0,UEFA Euro,2024,2024,2024
Artur Jędrzejczyk,2018,0,1,0,Poland,Left Back,5,0,0,UEFA Euro,2018,2018,2018
