player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Adelina Engman,2022,0,1,0,WNT Finland,Right Midfield,5,0,0,UEFA Women's Euro,2022,2022,2022
Adriana Achcińska,2025,0,1,0,Poland Women's,Right Defensive Midfield,5,0,0,UEFA Women's Euro,2025,2025,2025
Agla María Albertsdóttir,2022,0,1,0,Iceland Women's,Left Midfield,5,0,0,UEFA Women's Euro,2022,2022,2022
Agla María Albertsdóttir,2025,0,2,0,Iceland Women's,Right Midfield,10,0,0,UEFA Women's Euro,2025,2025,2025
Agnes Beever-Jones,2025,1,2,0,England Women's,Center Forward,60,0,0,UEFA Women's Euro,2025,2025,2025
Agnese Bonfantini,2022,0,3,0,Italy Women's,Right Wing,15,0,0,UEFA Women's Euro,2022,2022,2022
Alayah Pilgrim,2025,1,7,0,Switzerland Women's,Left Wing Back,85,0,0,UEFA Women's Euro,2025,2025,2025
Alessia Russo,2022,4,12,0,England Women's,Center Forward,260,0,0,UEFA Women's Euro,2022,2022,2022
Alessia Russo,2023,3,22,0,England Women's,Right Center Forward,260,0,0,UEFA Women's Euro,2023,2023,2023
Alessia Russo,2025,3,16,0,England Women's,Center Forward,230,0,0,UEFA Women's Euro,2025,2025,2025
Alex Greenwood,2019,1,3,0,England Women's,Left Back,65,0,0,UEFA Women's Euro,2019,2019,2019
Alex Greenwood,2022,0,2,0,England Women's,Left Back,10,0,0,UEFA Women's Euro,2022,2022,2022
Alex Greenwood,2023,1,1,0,England Women's,Left Center Back,55,0,0,UEFA Women's Euro,2023,2023,2023
Alex Greenwood,2025,1,5,0,England Women's,Left Back,75,0,0,UEFA Women's Euro,2025,2025,2025
Alexandra Jóhannsdóttir,2022,0,2,0,Iceland Women's,Left Defensive Midfield,10,0,0,UEFA Women's Euro,2022,2022,2022
Alexandra Jóhannsdóttir,2025,0,3,0,Iceland Women's,Right Defensive Midfield,15,0,0,UEFA Women's Euro,2025,2025,2025
Alexandra Popp,2019,2,15,0,Germany Women's,Right Center Forward,175,0,0,UEFA Women's Euro,2019,2019,2019
Alexandra Popp,2022,6,16,0,Germany Women's,Center Forward,380,0,0,UEFA Women's Euro,2022,2022,2022
Alexandra Popp,2023,4,15,0,Germany Women's,Center Forward,275,0,0,UEFA Women's Euro,2023,2023,2023
Alia Guagni,2019,0,1,0,Italy Women's,Left Back,5,0,0,UEFA Women's Euro,2019,2019,2019
Alisha Lehmann,2023,0,1,0,Switzerland Women's,Left Wing,5,0,0,UEFA Women's Euro,2023,2023,2023
Alisha Lehmann,2025,0,2,0,Switzerland Women's,Right Midfield,10,0,0,UEFA Women's Euro,2025,2025,2025
Amalie Jørgensen Vangsgaard,2023,1,5,0,Denmark Women's,Center Forward,75,0,0,UEFA Women's Euro,2023,2023,2023
Amalie Jørgensen Vangsgaard,2025,1,2,0,Denmark Women's,Right Center Forward,60,0,0,UEFA Women's Euro,2025,2025,2025
Amber Tysiak,2025,0,1,0,Belgium Women's,Right Center Back,5,0,0,UEFA Women's Euro,2025,2025,2025
Ana Ines Palma Capeta,2023,0,1,0,Portugal Women's,Center Attacking Midfield,5,0,0,UEFA Women's Euro,2023,2023,2023
Ana Ines Palma Capeta,2025,0,4,0,Portugal Women's,Center Forward,20,0,0,UEFA Women's Euro,2025,2025,2025
Ana Rute Santos Marques Rodrigues,2023,0,1,0,Portugal Women's,Left Defensive Midfield,5,0,0,UEFA Women's Euro,2023,2023,2023
Ana-Maria Crnogorčević,2022,0,3,0,Switzerland Women's,Right Midfield,15,0,0,UEFA Women's Euro,2022,2022,2022
