player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Abbie Larkin,2023,0,2,0,Republic of Ireland Women's,Right Wing,10,0,0,Women's World Cup,2023,2023,2023
Abby Erceg,2019,0,2,0,New Zealand Women's,Center Back,10,0,0,Women's World Cup,2019,2019,2019
Ada Stolsmo Hegerberg,2022,0,8,0,Norway Women's,Center Forward,40,0,0,Women's World Cup,2022,2022,2022
Ada Stolsmo Hegerberg,2023,0,5,0,Norway Women's,Center Forward,25,0,0,Women's World Cup,2023,2023,2023
Ada Stolsmo Hegerberg,2025,2,9,0,Norway Women's,Center Forward,145,0,0,Women's World Cup,2025,2025,2025
Adriana Kristina Leon,2019,0,3,0,Canada Women's,Right Midfield,15,0,0,Women's World Cup,2019,2019,2019
Adriana Kristina Leon,2023,1,5,0,Canada Women's,Right Wing,75,0,0,Women's World Cup,2023,2023,2023
Adriana Leal da Silva,2023,0,8,0,Brazil Women's,Left Midfield,40,0,0,Women's World Cup,2023,2023,2023
Aitana Bonmati Conca,2019,0,1,0,Spain Women's,Left Wing,5,0,0,Women's World Cup,2019,2019,2019
Aitana Bonmati Conca,2022,1,11,0,Spain Women's,Right Center Midfield,105,0,0,Women's World Cup,2022,2022,2022
Aitana Bonmati Conca,2023,3,19,0,Spain Women's,Right Center Midfield,245,0,0,Women's World Cup,2023,2023,2023
Aitana Bonmati Conca,2025,1,17,0,Spain Women's,Right Center Midfield,135,0,0,Women's World Cup,2025,2025,2025
Ajara Nchout,2019,2,5,0,Cameroon Women's,Left Center Midfield,125,0,0,Women's World Cup,2019,2019,2019
Alanna Stephanie Kennedy,2019,0,5,0,Australia Women's,Right Center Back,25,0,0,Women's World Cup,2019,2019,2019
Alanna Stephanie Kennedy,2023,1,7,0,Australia Women's,Left Center Back,85,0,0,Women's World Cup,2023,2023,2023
Alba María Redondo Ferrer,2023,3,17,0,Spain Women's,Right Wing,235,0,0,Women's World Cup,2023,2023,2023
Aldrith Ivana Quintero Humphries,2023,0,1,0,Panama Women's,Left Defensive Midfield,5,0,0,Women's World Cup,2023,2023,2023
Alexandra Chidiac,2023,0,3,0,Australia Women's,Right Midfield,15,0,0,Women's World Cup,2023,2023,2023
Alexandra Morgan Carrasco,2019,6,20,0,United States Women's,Center Forward,400,0,0,Women's World Cup,2019,2019,2019
Alexandra Morgan Carrasco,2023,0,17,0,United States Women's,Center Forward,85,0,0,Women's World Cup,2023,2023,2023
Alexandra Takounda Engolo,2019,0,3,0,Cameroon Women's,Center Forward,15,0,0,Women's World Cup,2019,2019,2019
Alexia Putellas Segura,2019,0,7,0,Spain Women's,Right Center Midfield,35,0,0,Women's World Cup,2019,2019,2019
Alexia Putellas Segura,2023,0,5,0,Spain Women's,Left Center Midfield,25,0,0,Women's World Cup,2023,2023,2023
Alexia Putellas Segura,2025,3,18,0,Spain Women's,Left Center Midfield,240,0,0,Women's World Cup,2025,2025,2025
Alice Ogebe,2019,0,1,0,Nigeria Women's,Left Center Forward,5,0,0,Women's World Cup,2019,2019,2019
Alice Sombath,2025,0,1,0,France Women's,Right Center Back,5,0,0,Women's World Cup,2025,2025,2025
Allie Long,2019,0,1,0,United States Women's,Right Center Midfield,5,0,0,Women's World Cup,2019,2019,2019
Allyson Swaby,2019,0,2,0,Jamaica Women's,Right Center Back,10,0,0,Women's World Cup,2019,2019,2019
