player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Cresswell,2015/2016,2,27,0,West Ham United,Left Back,235,0,0,Premier League,2015/2016,2015/2016,2015
Aaron Hunt,2015/2016,1,24,0,Hamburger SV,Center Attacking Midfield,170,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Aaron Lennon,2015/2016,5,18,0,Everton,Right Wing,340,0,0,Premier League,2015/2016,2015/2016,2015
Aaron Long,2023,0,1,0,LAFC,Right Center Back,5,0,0,Major League Soccer,2023,2023,2023
Aaron Mooy,2018,0,3,0,Australia,Right Center Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Aaron Mooy,2022,0,1,0,Australia,Left Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Aaron Ramsey,2015/2016,5,67,0,Arsenal,Right Wing,585,0,0,Premier League,2015/2016,2015/2016,2015
Aaron Ramsey,2020,1,7,0,Wales,Left Center Midfield,85,0,0,UEFA Euro,2020,2020,2020
Aaron Ramsey,2022,0,1,0,Wales,Right Center Midfield,5,0,0,UEFA Euro,2022,2022,2022
Aaron Salem Boupendza Pozzi,2023,0,3,0,Cincinnati,Right Center Forward,15,0,0,Major League Soccer,2023,2023,2023
Aaron Tshibola,2023,1,1,0,Congo DR,Right Defensive Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Abbey-Leigh Stringer,2018/2019,0,3,0,Everton LFC,Left Attacking Midfield,15,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Abbey-Leigh Stringer,2020/2021,0,8,0,Everton LFC,Center Defensive Midfield,40,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Abbi Grant,2019/2020,2,23,0,Birmingham City WFC,Left Wing,215,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Abbi Grant,2020/2021,0,1,0,Birmingham City WFC,Left Midfield,5,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Abbie Larkin,2023,0,2,0,Republic of Ireland Women's,Right Wing,10,0,0,Women's World Cup,2023,2023,2023
Abbie McManus,2018/2019,0,4,0,Manchester City WFC,Right Back,20,0,0,FA Women's Super League,2018/2019,2018/2019,2018
Abbie McManus,2019/2020,0,1,0,Manchester United,Right Center Back,5,0,0,FA Women's Super League,2019/2020,2019/2020,2019
Abby Dahlkemper,2020/2021,0,2,0,Manchester City WFC,Left Center Back,10,0,0,FA Women's Super League,2020/2021,2020/2021,2020
Abby Erceg,2018,2,15,0,North Carolina Courage,Left Center Back,175,0,0,NWSL,2018,2018,2018
Abby Erceg,2019,0,2,0,New Zealand Women's,Center Back,10,0,0,Women's World Cup,2019,2019,2019
Abdalla Mahmoud El Said Bekhit,2018,0,2,0,Egypt,Center Attacking Midfield,10,0,0,African Cup of Nations,2018,2018,2018
Abdallah Dipo Sima,2022/2023,0,2,0,Angers,Left Center Forward,10,0,0,Ligue 1,2022/2023,2022/2023,2022
Abdelaziz Barrada,2012/2013,0,1,0,Getafe,Center Attacking Midfield,5,0,0,La Liga,2012/2013,2012/2013,2012
Abdelaziz Barrada,2015/2016,1,26,0,Marseille,Left Center Midfield,180,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdelhamid El Kaoutari,2015/2016,1,3,0,Stade de Reims,Left Center Back,65,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdelhamid Sabiri,2022,1,4,0,Morocco,Left Center Midfield,70,0,0,FIFA World Cup,2022,2022,2022
Abdelkader Mohamed Ghezzal,2011/2012,0,1,0,Levante UD,Left Wing,5,0,0,La Liga,2011/2012,2011/2012,2011
Abdelkarim Hassan Al Haj Fadlalla,2022,0,6,0,Qatar,Left Center Back,30,0,0,FIFA World Cup,2022,2022,2022
Abderrazak Hamdallah,2022,0,2,0,Morocco,Center Forward,10,0,0,FIFA World Cup,2022,2022,2022
Abdessamad Ezzalzouli,2022,0,1,0,Morocco,Left Center Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Abdessamad Ezzalzouli,2023,0,4,0,Morocco,Left Midfield,20,0,0,FIFA World Cup,2023,2023,2023
Abdiel Armando Ayarza Cocanegra,2024,0,3,0,Panama,Right Defensive Midfield,15,0,0,Copa America,2024,2024,2024
Abdou Diallo,2021/2022,0,2,0,Paris Saint-Germain,Left Back,10,0,0,Ligue 1,2021/2022,2021/2022,2021
Abdou Diallo,2022,0,1,0,Senegal,Left Center Back,5,0,0,FIFA World Cup,2022,2022,2022
Abdou Diallo,2023,0,2,0,Senegal,Center Back,10,0,0,FIFA World Cup,2023,2023,2023
Abdou Kader Mangane,2015/2016,1,15,0,Gazélec Ajaccio,Right Center Back,125,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoul Fessal Tapsoba,2023,0,1,0,Burkina Faso,Left Wing,5,0,0,African Cup of Nations,2023,2023,2023
Abdoul Karim Yoda,2015/2016,0,8,0,Getafe,Left Back,40,0,0,La Liga,2015/2016,2015/2016,2015
Abdoul Razack Guiebre,2023,0,2,0,Burkina Faso,Left Back,10,0,0,African Cup of Nations,2023,2023,2023
Abdoul Razzagui Camara,2015/2016,2,29,0,Angers,Left Wing,245,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulay Konko,2015/2016,0,13,0,Lazio,Right Back,65,0,0,Serie A,2015/2016,2015/2016,2015
Abdoulaye Ba,2014/2015,0,1,0,Rayo Vallecano,Right Center Back,5,0,0,La Liga,2014/2015,2014/2015,2014
Abdoulaye Doucouré,2015/2016,2,30,0,Rennes,Center Attacking Midfield,250,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Sadio Diallo,2015/2016,2,16,0,Bastia,Center Attacking Midfield,180,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Seck,2023,1,5,0,Senegal,Right Center Back,75,0,0,FIFA World Cup,2023,2023,2023
Abdoulaye Touré,2015/2016,0,2,0,Nantes,Left Defensive Midfield,10,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdoulaye Traoré,2015/2016,0,2,0,Bordeaux,Center Defensive Midfield,10,0,0,Ligue 1,2015/2016,2015/2016,2015
Abdul Majeed Waris,2015/2016,11,55,0,Lorient,Left Center Forward,825,0,0,Ligue 1,2015/2016,2015/2016,2015
