player_name,actual_goals,xg,attempts,overperf
Robert Lewandowski,30,20.01024255310504,152,9.98975744689496
Javier Hernández Balcázar,17,9.815907863221376,64,7.184092136778624
Salomon Armand Magloire Kalou,14,7.790396703121286,55,6.209603296878714
Raffael Caetano de Araújo,13,7.356487245106307,71,5.643512754893693
Julian Brandt,9,3.513825270272305,32,5.486174729727695
Pierre-Emerick Aubameyang,25,19.52215260501709,117,5.477847394982909
Shinji Kagawa,9,4.162113065179431,31,4.837886934820569
Nicolai Müller,9,4.249983605704528,37,4.750016394295472
Alejandro Grimaldo García,10,5.497049903545442,71,4.502950096454558
André Hahn,8,3.777362544017496,26,4.222637455982504
Marco Reus,12,7.810745278370913,64,4.189254721629087
Alexander Meier,12,7.906877582458726,50,4.093122417541274
Claudio Miguel Pizarro Bossio,14,9.915335530701293,46,4.084664469298707
Ja-Cheol Koo,8,4.000866791161393,40,3.9991332088386073
Florian Wirtz,11,7.244690443669078,71,3.7553095563309222
Fin Bartels,8,4.408800565518822,43,3.5911994344811777
Gustavo Adrián Ramos Vásquez,9,5.425079139489209,38,3.574920860510791
Thomas Müller,21,17.700225471228755,103,3.2997745287712448
Jairo Samperio Bustara,7,3.712782802871667,39,3.287217197128333
Fabian Johnson,6,2.721450646265751,26,3.278549353734249
André Schürrle,9,5.722708054517293,68,3.277291945482707
Mark Uth,8,4.7261364309794995,33,3.2738635690205005
Yunus Mallı,11,7.943576770890752,63,3.0564232291092477
Henrikh Mkhitaryan,11,8.008336350572991,78,2.991663649427009
Simon Zoller,6,3.1341679642471094,28,2.8658320357528906
Jeremie Frimpong,9,6.182127669869194,56,2.8178723301308057
Aytac Sulu,7,4.267550070134819,21,2.732449929865181
Artur Sobiech,7,4.306127070062298,30,2.6938729299377018
Marcel Heller,6,3.365768308689379,32,2.634231691310621
Daniel Didavi,13,10.374754494897331,93,2.6252455051026686
Vedad Ibišević,10,7.604238199362075,61,2.395761800637925
Moritz Hartmann,12,9.680998834100626,53,2.3190011658993743
Alfreð Finnbogason,7,4.7157054226958985,33,2.2842945773041015
Håvard Nordtveit,4,1.736495885199328,22,2.2635041148006723
Jonathan Schmid,4,1.8950601628183092,20,2.104939837181691
Mahmoud Dahoud,5,2.9480774413497177,40,2.0519225586502823
Julian Draxler,6,3.970171229353598,44,2.029828770646402
Leroy Sané,8,6.044516748039475,71,1.9554832519605254
Robert Andrich,4,2.0947874519750287,23,1.9052125480249713
Alessandro Schöpf,3,1.1302862085734853,14,1.8697137914265147
Josip Stanišić,3,1.194496794140703,10,1.805503205859297
Lukas Hinterseer,6,4.279076347784178,30,1.7209236522158218
Nathan Tella,5,3.3279178515627903,21,1.6720821484372097
Vladimír Darida,5,3.3310626113031585,41,1.6689373886968415
Christian Clemens,5,3.346712326304213,43,1.6532876736957869
Anthony Ujah,11,9.353374378642052,64,1.6466256213579484
Luc Castaignos,4,2.377101375472729,17,1.622898624527271
Jean-Eric Maxim Choupo-Moting,6,4.397101299159404,50,1.602898700840596
Gonzalo Castro Randon,3,1.4049115570462765,19,1.5950884429537235
Klaas-Jan Huntelaar,12,10.462162836410188,73,1.5378371635898116
Exequiel Alejandro Palacios,4,2.5124874754838387,21,1.4875125245161613
Victor Okoh Boniface,14,12.534200351289202,81,1.4657996487107976
Hiroshi Kiyotake,5,3.5548865057637826,28,1.4451134942362174
Chris Führich,2,0.5965916107716447,6,1.4034083892283553
Amine Adli,4,2.721631342685119,27,1.2783686573148811
Bas Dost,8,6.781690796375476,41,1.218309203624524
Oscar Wendt,3,1.789951389136851,21,1.210048610863149
Matthias Ginter,3,1.7978922005120592,17,1.2021077994879408
Ikoma Loïs Openda,2,0.8745480972833921,6,1.1254519027166079
Yoshinori Muto,7,5.889956004622534,32,1.110043995377466
Kevin Kampl,3,1.894524374047889,27,1.105475625952111
Patrik Schick,7,5.89581815582101,40,1.1041818441789903
Georg Niedermeier,3,1.9300650265231725,10,1.0699349734768275
Paul Verhaegh,6,4.946688820985225,10,1.0533111790147753
Sebastian Rudy,2,0.9738170465200426,14,1.0261829534799574
Charles Mariano Aránguiz Sandoval,2,0.9895311977684268,12,1.010468802231573
Johan Danon Djourou-Gbadjere,2,1.0105834790870878,8,0.9894165209129122
Marvin Plattenhardt,2,1.0484432520110953,14,0.9515567479889047
Maurizio Gaudino,1,0.05470948282126418,1,0.9452905171787358
Jhon Andrés Córdoba Copete,5,4.073770936201877,30,0.9262290637981234
Eren Sami Dinkçi,1,0.08907741185891514,1,0.9109225881410848
Ritsu Doan,1,0.0936799116603263,1,0.9063200883396737
Filip Kostić,5,4.0943229119645315,47,0.9056770880354685
Nadiem Amiri,4,3.0948654315252777,41,0.9051345684747223
Mert Kömür,1,0.10008916583416849,1,0.8999108341658315
Jérôme Gondorf,3,2.104045219601831,22,0.8959547803981689
Maxence Lacroix,1,0.10626268204321533,1,0.8937373179567847
Mario Götze,3,2.1102685610667966,19,0.8897314389332034
Federico Barba,1,0.11335187909841615,1,0.8866481209015838
Younès Belhanda,2,1.1340061927563476,13,0.8659938072436524
Xavi Simons,1,0.14611506791950138,1,0.8538849320804986
Kingsley Coman,4,3.147020504749853,36,0.852979495250147
Patrick Herrmann,3,2.147458203270551,13,0.8525417967294491
Maximilian Arnold,3,2.1598106189362047,28,0.8401893810637953
Julian Ryerson,1,0.18896964628154694,2,0.8110303537184531
Anton Stach,1,0.19625719660384172,2,0.8037428033961582
Dominique Heintz,2,1.2058086447594396,10,0.7941913552405604
Christian Pulisic,2,1.2092722194446073,8,0.7907277805553927
Julian Baumgartlinger,2,1.211493553678706,13,0.7885064463212941
Daniel Ginczek,3,2.2279884218367223,18,0.7720115781632777
Ivan Perišić,1,0.23238640166874394,3,0.7676135983312561
Pablo Ezequiel De Blasis,4,3.233793244078216,30,0.7662067559217842
Jan Kliment,1,0.23422079128225604,3,0.765779208717744
Daniel Olmo Carvajal,1,0.25471202005463167,2,0.7452879799453683
Dušan Švento,1,0.2615880898230687,3,0.7384119101769313
Hugo Ekitike,1,0.2630090777415036,3,0.7369909222584964
Yannik Keitel,1,0.28139535756949396,2,0.718604642430506
Robert Bauer,1,0.28401006587335387,5,0.7159899341266461
Tobias Levels,1,0.28996222527439497,4,0.710037774725605
Lewis Harry Holtby,3,2.314031568797656,32,0.685968431202344
Christian Schulz,2,1.3161585571416023,8,0.6838414428583977
Lukas Rupp,5,4.355425273391737,39,0.6445747266082629
Vladlen Yurchenko,1,0.35696668205983884,5,0.6430333179401612
Wout Weghorst,1,0.35703748604544805,3,0.642962513954552
Alejandro Gálvez Jimena,1,0.37934723064484543,5,0.6206527693551546
Allan Saint-Maximin,1,0.38638759179801513,6,0.6136124082019849
Jiloan Hamad,1,0.3987167460265403,4,0.6012832539734597
Steven Zuber,2,1.401741726181328,17,0.5982582738186719
Niclas Füllkrug,1,0.41075919555399343,3,0.5892408044460066
Christian Gentner,5,4.413910258567495,48,0.586089741432505
Andreas Christensen,3,2.4234916876183243,14,0.5765083123816757
Makoto Hasebe,1,0.43592328617207926,7,0.5640767138279208
Pierre-Michel Lasogga,8,7.44691661446049,52,0.5530833855395096
Julian Korb,1,0.4485743069517111,5,0.5514256930482889
Odilon Kossonou,1,0.47562203127868413,5,0.5243779687213159
Franck Bilal Ribéry,2,1.493646353583042,18,0.506353646416958
Max Meyer,5,4.512573109280377,46,0.48742689071962264
Maximilian Beier,1,0.5128868847892936,6,0.48711311521070644
Jeremy Toljan,1,0.5199608036868647,6,0.4800391963131353
Miloš Jojić,2,1.5449543466074607,17,0.45504565339253933
Charlison Benschop,1,0.5493599707195459,7,0.4506400292804541
Gaëtan Bussmann,1,0.5597526458387457,7,0.44024735416125427
Waldemar Anton,1,0.581893868425216,7,0.41810613157478405
Jan Morávek,1,0.5838636186281375,6,0.4161363813718625
Konstantinos Stafylidis,1,0.5890360464351729,10,0.41096395356482707
Slobodan Rajković,1,0.6049892137365243,5,0.39501078626347574
Harry Kane,1,0.6052170875207731,3,0.3947829124792269
Timm Klose,1,0.6060497579126702,6,0.39395024208732976
Tim Kleindienst,1,0.6201733551968006,3,0.3798266448031994
Mario Vrančić,2,1.6244973419790558,14,0.3755026580209442
Uffe Manich Bech,1,0.645733376645155,9,0.35426662335484504
Manuel Neuer,1,0.6505073820475247,1,0.3494926179524753
Philipp Lahm,2,1.6575571055553715,11,0.3424428944446285
Slobodan Medojević,1,0.6720308306320104,2,0.3279691693679896
Kevin Volland,8,7.677719674131637,63,0.32228032586836264
Marco Sailer,1,0.6784217485329205,6,0.3215782514670795
Sebastian Boenisch,1,0.7029292967874974,8,0.2970707032125026
Sebastian Rode,1,0.7058549664426467,7,0.29414503355735333
Marcel Risse,3,2.724520592463667,45,0.27547940753633293
Anthony Modeste,15,14.731988593153371,111,0.26801140684662883
Jan-Ingwer Callsen-Bracker,1,0.7335787847454578,5,0.2664212152545422
Manuel Schmiedebach,1,0.7546408733789202,11,0.24535912662107984
Artoms Rudņevs,2,1.7549593384462185,15,0.24504066155378146
Nicklas Bendtner,2,1.7648212911374876,9,0.23517870886251235
Stefan Lex,2,1.805917446826511,21,0.1940825531734891
Gojko Kačar,1,0.8348165729622804,8,0.1651834270377196
Manuel Gulde,1,0.850314677650323,2,0.14968532234967702
Jeong-Ho Hong,2,1.870156290870156,15,0.1298437091298441
Deniz Undav,1,0.8771803282396222,9,0.12281967176037778
Stefan Reinartz,1,0.8779378303824926,8,0.12206216961750738
Erik Durm,1,0.907588165199225,12,0.09241183480077497
Marcel Schäfer,1,0.9084337075158154,12,0.09156629248418457
Karim Bellarabi,6,5.926524588194677,72,0.07347541180532335
Sereso Geoffroy Gonzaroua Dié,1,0.9373870118825648,15,0.06261298811743521
Sead Kolašinac,1,0.9448050518650747,11,0.055194948134925315
Marco Russ,3,2.950430253973606,22,0.04956974602639397
Markus Feulner,1,0.9527645706354906,13,0.04723542936450942
Granit Xhaka,6,5.979560509060701,77,0.020439490939298643
Aron Jóhannsson,2,1.990139310496575,13,0.009860689503425002
Robin Knoche,1,0.9915603757373059,3,0.008439624262694068
Daniel Brosinski,1,1.0054075330777852,15,-0.005407533077785187
Toni Šunjić,1,1.006217564099024,7,-0.0062175640990240755
Hiroki Sakai,1,1.0330253262457703,11,-0.03302532624577026
Fabian Lustenberger,1,1.0384944613857856,10,-0.038494461385785606
Niklas Stark,2,2.0385382826914755,14,-0.03853828269147552
Ruben Vargas,0,0.0518720770605447,1,-0.0518720770605447
Florian Pick,0,0.05204695653212186,1,-0.05204695653212186
Alassane Pléa,0,0.05213233570570613,1,-0.05213233570570613
Christoph Moritz,0,0.05218255689691114,1,-0.05218255689691114
Joseph Scally,0,0.052218277316695615,1,-0.052218277316695615
Kouadio Emmanuel Koné,0,0.05227586402976805,1,-0.05227586402976805
Florian Kohls,0,0.05238385683919361,1,-0.05238385683919361
Norbert Nachtweih,0,0.05241441833165376,1,-0.05241441833165376
Lovro Majer,0,0.052434836097639485,1,-0.052434836097639485
Gerrit Holtmann,0,0.052707784312305904,1,-0.052707784312305904
Leonidas Stergiou,0,0.05297415810518444,1,-0.05297415810518444
Matthias Zimmermann,0,0.05317359011969633,1,-0.05317359011969633
Hans Dorfner,0,0.05349759531600228,1,-0.05349759531600228
Finn Ole Becker,0,0.05387016687310303,1,-0.05387016687310303
Xaver Schlager,0,0.05389572464256759,1,-0.05389572464256759
Brajan Gruda,0,0.05409482806973762,1,-0.05409482806973762
Danilo Teodoro Soares,0,0.05470373312177443,1,-0.05470373312177443
Omar Haktab Traorè,0,0.054704522530095445,1,-0.054704522530095445
Julián Malatini,0,0.05501100184474316,1,-0.05501100184474316
Noussair Mazraoui,0,0.055339587695781046,1,-0.055339587695781046
Roy Beerens,0,0.056500264978488514,1,-0.056500264978488514
Aïssa Bilal Laïdouni,0,0.05658277945559657,1,-0.05658277945559657
Rani Khedira,0,0.05725859302955689,1,-0.05725859302955689
András Schäfer,0,0.05735658288030474,1,-0.05735658288030474
Michael Schröder,0,0.057773751568591804,1,-0.057773751568591804
