player_name,actual_goals,xg,attempts,overperf
Jacinto Muondo Dala,4,1.1678150461814754,9,2.8321849538185244
Emilio Nsue López,5,2.6049235178375243,9,2.3950764821624757
Ademola Lookman,3,1.0694799175324141,8,1.9305200824675859
Mostafa Mohamed Ahmed Abdallah,4,2.283524149153141,15,1.7164758508468592
Lassine Sinayoko,3,1.4061770158988995,9,1.5938229841011005
Mohamed Bayo,3,1.6787395308942028,9,1.3212604691057972
Ahmed Musa,2,0.7387942139218562,4,1.2612057860781438
Vincent Paté Aboubakar,2,0.7412960630329368,6,1.2587039369670632
Themba Zwane,2,0.8261273852421428,3,1.1738726147578573
William Troost-Ekong,4,2.88117650360213,8,1.1188234963978698
Mohamed Salah,3,1.8916184699603928,10,1.1083815300396072
Baghdad Bounedjah,3,1.9111335313393134,9,1.0888664686606866
Jean-Charles Castelletto,2,0.9477918647560286,3,1.0522081352439714
Bryan Silva Teixera,2,1.0361947041559105,3,0.9638052958440895
Bertrand Isidore Traoré,3,2.0577307410530215,11,0.9422692589469785
Clésio Bauque,1,0.06314899553499091,1,0.9368510044650091
Ryan Isaac Mendes da Graça,2,1.0670609558425115,6,0.9329390441574885
Sébastien Haller,3,2.08113722204179,11,0.9188627779582101
Jannick Buyla Sam,1,0.08562080644066407,1,0.914379193559336
Ibán Salvador Edu,1,0.11572474434898708,2,0.884275255651013
Nene Dorgeles,1,0.162858369597103,3,0.837141630402897
Jamiro Gregory Monteiro Alvarenga,1,0.16985336094744513,3,0.8301466390525549
Mothobi Mvala,2,1.191586257190158,2,0.8084137428098419
José Antonio Miranda Boacho,1,0.23309215799673244,3,0.7669078420032676
José Correia,1,0.2363252149655402,4,0.7636747850344598
Silas Katompa Mvumpa,2,1.2534315795037545,5,0.7465684204962455
Simon Happygod Msuva,1,0.26187318241699536,4,0.7381268175830047
Cristóvão Paciência Mabululo,3,2.2797565764026015,14,0.7202434235973985
Oumar Diakité,1,0.2875644106423918,3,0.7124355893576082
Ebrima Colley,1,0.31258416798939187,1,0.6874158320106081
Thapelo Maseko,1,0.32040671471670334,2,0.6795932852832967
Franck Yannick Kessié,3,2.3246813579651264,11,0.6753186420348736
Pablo Ganet Cómitre,1,0.33760013056788213,4,0.6623998694321178
Mohamed Dellahi Yali,1,0.35879475219629453,2,0.6412052478037055
Kings Kangwa,1,0.40248091548019416,3,0.5975190845198058
Hamari Traoré,1,0.4048832084638391,3,0.5951167915361609
Jean-Eric Maxim Choupo-Moting,1,0.4290739550986641,3,0.5709260449013359
Christopher Wooh,1,0.4303066752521484,3,0.5696933247478516
Omar Marmoush,2,1.4327774886262827,9,0.5672225113737173
Ablie Jallow,1,0.4767276783092944,5,0.5232723216907056
Sidi Bouna Sidi Amar,1,0.48809471308961305,7,0.511905286910387
Witiness Chimoio João Quembo,1,0.4919427847932898,4,0.5080572152067102
Deon Hotto Kavendji,1,0.5174131085082637,4,0.4825868914917363
Reinildo Isnard Mandava,1,0.5211320737591032,2,0.4788679262408968
Aguibou Camara,1,0.5360754570431916,5,0.4639245429568084
Garry Mendes Rodrigues,1,0.5614242380843227,9,0.43857576191567726
Victor Moses,1,0.5628233033248756,7,0.4371766966751244
Patson Daka,1,0.5695518728118143,5,0.4304481271881857
Gilson Benchimol Tavares,1,0.5863785034914155,6,0.4136214965085845
Kevin Lenini Gonçalves Pereira de Pina,1,0.6066041370925441,5,0.3933958629074559
Simon Adingra,1,0.6455942102238043,6,0.35440578977619575
Thabang Amod Monare,1,0.6672086505684978,1,0.33279134943150224
Joris Kayembe Ditu,1,0.6672086505684978,1,0.33279134943150224
Aaron Tshibola,1,0.6672086505684978,1,0.33279134943150224
Terem Igobor Moffi,1,0.6672086505684978,1,0.33279134943150224
Omar Kamal Abdel Wahed,1,0.6672086505684978,1,0.33279134943150224
Oswin Reagan Appollis,1,0.6672086505684978,1,0.33279134943150224
Lionel Mpasi-Nzau,1,0.6672086505684978,1,0.33279134943150224
Mahmoud Hamada,1,0.6672086505684978,1,0.33279134943150224
Nkosinathi Sibisi,1,0.6672086505684978,1,0.33279134943150224
Omenuke Mfulu,1,0.6672086505684978,1,0.33279134943150224
Geny Cipriano Catamo,1,0.6953445036900845,4,0.3046554963099155
Jean-Philippe Krasso,1,0.6999796233268339,7,0.30002037667316606
Deivi Miguel Vieira,1,0.7185132146660527,6,0.28148678533394733
Mostafa Fathi,1,0.7201747199053492,2,0.2798252800946508
Serge Aurier,1,0.72051218346561,2,0.27948781653439003
Mohamed Hany Gamal Eldemerdash,1,0.7207057717671482,2,0.27929422823285177
Henoc Inonga Baka,1,0.7226510759379576,2,0.27734892406204237
Gedeon Kalulu Kyatengwa,1,0.7230317009154481,2,0.2769682990845519
Kenneth Josiah Omeruo,1,0.7278392175319156,2,0.2721607824680844
Siyanda Xulu,1,0.7360715619915401,2,0.2639284380084599
Frank Magri,1,0.7526730916366394,6,0.24732690836336058
Ambrosini Antonio Cabaça Salvador,1,0.7559492947820421,7,0.2440507052179579
Chancel Mbemba Mangulu,2,1.775266792368913,7,0.22473320763108706
Ahmed Elsayed Ali Elsayed Hegazy,1,0.7917829500459066,3,0.2082170499540934
Aboubakary Koita,1,0.7954063835332011,12,0.20459361646679886
Grady Diangana,1,0.8486613714932658,3,0.15133862850673419
Karl Brillant Toko Ekambi,1,0.8564818351641279,8,0.1435181648358721
Mohamed Konaté,1,0.8950094900048877,8,0.10499050999511228
Yoane Wissa,3,2.911513330228705,21,0.08848666977129493
Samuel Moutoussamy,2,1.915297098049422,9,0.08470290195057806
Nicolas Pépé,1,0.9398883995140664,5,0.06011160048593356
Mohamed Abdel Monem,1,0.9683021474602405,6,0.03169785253975954
Kelechi Promise Iheanacho,1,0.9848962795058961,7,0.015103720494103912
Arthur Masuaku,1,1.0199211614424377,7,-0.019921161442437718
Sofiane Feghouli,0,0.05118172494341672,1,-0.05118172494341672
Juan José Óscar Siafá Etoha,0,0.051201201986675555,1,-0.051201201986675555
Yacoub Aly Abeid,0,0.051451212544114326,1,-0.051451212544114326
Jacob Mendy,0,0.05147511234521621,1,-0.05147511234521621
Morice Michael Abraham,0,0.051521719529985945,1,-0.051521719529985945
Loide António Augusto,0,0.05153074757354381,1,-0.05153074757354381
Boubacar Traore,0,0.051548245331888294,1,-0.051548245331888294
Riyad Mahrez,0,0.05162996126458361,1,-0.05162996126458361
Jérémy Bela,0,0.0517902542035841,1,-0.0517902542035841
Edward Chilufya,0,0.0518389582191362,1,-0.0518389582191362
Jean Thierry Lazare Amani,0,0.05194350728477743,1,-0.05194350728477743
Issa Kabore,0,0.05195835711956121,1,-0.05195835711956121
Ibrahim Diakité,0,0.05200208908530426,1,-0.05200208908530426
Ricardo Martins Guimarães,0,0.05216956199731216,1,-0.05216956199731216
Ebrima Darboe,0,0.05219650214950089,1,-0.05219650214950089
Ismael Bennacer,0,0.05221525776677489,1,-0.05221525776677489
Núrio Domingos Matias Fortuna,0,0.05228960936610939,1,-0.05228960936610939
Darlin Zidane Yongwa Ngameni,0,0.05230739912937151,1,-0.05230739912937151
Basilio Ndong Owono Nchamaaa,0,0.05246696860104269,1,-0.05246696860104269
Valdomiro Tualungo Paulo Lameiras,0,0.05246947992790421,1,-0.05246947992790421
Federico Bikoro Akieme Nchama,0,0.05249683729956098,1,-0.05249683729956098
Lassana Coulibaly,0,0.05250563945385297,1,-0.05250563945385297
Mohamed Hussein Mohamed,0,0.052596301233624375,1,-0.052596301233624375
Infren Da Conceição David Matola,0,0.05262011663307701,1,-0.05262011663307701
Faisal Salum Abdalla,0,0.05285922272084977,1,-0.05285922272084977
Cédric Badolo,0,0.05302083752995509,1,-0.05302083752995509
Amadou Dante,0,0.053139229709867584,1,-0.053139229709867584
François Kamano,0,0.05327059828962465,1,-0.05327059828962465
Bakari Camara,0,0.05332159603587979,1,-0.05332159603587979
Lubambo Musonda,0,0.05332228347488686,1,-0.05332228347488686
Novatus Dismas Miroshi,0,0.053351880666091984,1,-0.053351880666091984
Miguel Changa Chaiwa,0,0.053574622396047634,1,-0.053574622396047634
Cletous Chama,0,0.05369147797617128,1,-0.05369147797617128
Assan Ceesay,0,0.05372295438747665,1,-0.05372295438747665
Jeremie Boga,0,0.054460455624591064,1,-0.054460455624591064
Steven Moreira,0,0.054651558328170126,1,-0.054651558328170126
Ngoran Suiru Fai Collins,0,0.05478094974084505,1,-0.05478094974084505
Joe Aribo,0,0.054893560939342646,1,-0.054893560939342646
Martin Hongla Yma II,0,0.05498034689874919,1,-0.05498034689874919
José Nabil Onva Adjugu,0,0.055109606850525315,1,-0.055109606850525315
Petrus Shitembi,0,0.05513485312298344,1,-0.05513485312298344
Ousmane Diomande,0,0.05604356564995605,1,-0.05604356564995605
Edson André Sitoe,0,0.056118848513168694,1,-0.056118848513168694
Aboubacar Traoré,0,0.056507888642044334,1,-0.056507888642044334
Nabil Bentaleb,0,0.05708847160000119,1,-0.05708847160000119
Khadim Diaw,0,0.05714386076351011,1,-0.05714386076351011
Adama Guira,0,0.057519093504100505,1,-0.057519093504100505
Marcelo Amado Djaló Taritolay,0,0.05761957283751832,1,-0.05761957283751832
Opa Sangante,0,0.058743624222193945,1,-0.058743624222193945
Ibrahim Sissoko,0,0.058796920106300644,1,-0.058796920106300644
Ali Gabr,0,0.05893980493629094,1,-0.05893980493629094
Seko Fofana,1,1.0611989046511827,17,-0.06119890465118272
Willy Boly,0,0.06125036356606386,1,-0.06125036356606386
Issiaga Sylla,0,0.061600655547248445,1,-0.061600655547248445
El-Hadji Ba,0,0.06198099221933318,1,-0.06198099221933318
Ahmed Fathy Abdel Meneim Ibrahim,0,0.06332154151175952,1,-0.06332154151175952
Oluwasemilogo Adesewo Ibidapo Ajayi,0,0.06398114742108797,1,-0.06398114742108797
Roberto Lopes,0,0.06576724001708034,1,-0.06576724001708034
Zinho Gano,0,0.06622804990768034,1,-0.06622804990768034
Naby Deco Keïta,0,0.0664448084202623,1,-0.0664448084202623
Guessouma Fofana,0,0.06836209979782687,1,-0.06836209979782687
