player_name,actual_goals,xg,attempts,overperf
Anderson Luís de Souza,1,0.12291471806219227,2,0.8770852819378078
Carlos Alberto Gomes de Jesus,1,0.4560571727287879,1,0.5439428272712121
Dmitriy Alenichev,1,0.4612712456715586,1,0.5387287543284414
Dirk Wouter Johannes van Dijk,1,0.8339617103991265,4,0.16603828960087352
Johnny Rep,1,1.0368168391565016,5,-0.03681683915650158
Yiannis Tomaras,0,0.0603345336483751,1,-0.0603345336483751
Georgios Vlachos,0,0.061885132971927846,1,-0.061885132971927846
Velibor Vasović,0,0.06193567404875997,1,-0.06193567404875997
Arie Haan,1,1.1113781140935122,11,-0.11137811409351217
Totis Fylakouris,0,0.12221966662030295,2,-0.12221966662030295
Konstantinos Eleftherakis,0,0.12221966662030295,2,-0.12221966662030295
Ruud Krol,0,0.12377026594385569,2,-0.12377026594385569
Wim Suurbier,0,0.18424724131703038,3,-0.18424724131703038
Antonis Antoniadis,0,0.3828484898077299,5,-0.3828484898077299
Piet Keizer,0,0.3945882555743757,5,-0.3945882555743757
Barry Hulshoff,0,0.4616496218478982,3,-0.4616496218478982
Aristidis Kamaras,0,0.561753542017847,3,-0.561753542017847
Sjaak Swart,0,0.7382060690924214,7,-0.7382060690924214
Johan Cruyff,2,2.7688667237502655,13,-0.7688667237502655
Johan Neeskens,0,0.8973548470606602,8,-0.8973548470606602
Gerrie Mühren,0,1.6717504700243293,14,-1.6717504700243293
