player_name,actual_goals,xg,attempts,overperf
Yerry Fernando Mina González,3,0.7937566911929536,3,2.2062433088070463
Jonathan David,4,2.6011231514685544,18,1.3988768485314456
José Salomón Rondón Giménez,4,2.6499854980905093,19,1.3500145019094907
Daniel Muñoz Mejía,2,0.6709136016187954,4,1.3290863983812047
Jhonder Leonel Cádiz Fernández,2,0.7463729107706274,4,1.2536270892293726
Moise Bombito,2,0.9041995132723528,5,1.0958004867276472
Eduard Alexander Bello Gil,2,0.930295102828915,4,1.069704897171085
Juan Guillermo Cuadrado Bello,2,0.99693416297634,7,1.00306583702366
José Fajardo Nelson,2,1.1296152762113634,8,0.8703847237886366
Ismael Koné,2,1.141839706590864,7,0.8581602934091359
César Augusto Yanis Velasco,1,0.164488260089793,1,0.835511739910207
Felipe Abdiel Baloy Ramírez,1,0.17729904459622245,1,0.8227009554037775
Jefferson Andrés Lerma Solís,2,1.2094574880684454,10,0.7905425119315546
Bruno Miranda Villagomez,1,0.21551305493927805,1,0.7844869450607219
Enner Remberto Valencia Lastra,3,2.2157134402999676,13,0.7842865597000324
Luis Fernando Díaz Marulanda,2,1.2296655484608339,9,0.7703344515391661
Radamel Falcao García Zárate,2,1.238058973806917,9,0.761941026193083
Luis Fernando Muriel Fruto,1,0.3117046267350923,2,0.6882953732649078
Omar Federico Alderete Fernández,1,0.3239258897079683,3,0.6760741102920317
Ramón Sosa Acosta,1,0.3425091792320373,3,0.6574908207679627
Eric Kleybel Ramírez Matheus,1,0.39319385311074456,3,0.6068061468892554
Eduardo Antonio Guerrero Lozcano,1,0.39551438300184055,3,0.6044856169981594
Mathieu Choiniere,1,0.39631748966330194,1,0.6036825103366981
Tomás Eduardo Rincón Hernández,1,0.43837284642295277,2,0.5616271535770472
Miguel Ángel Borja Hernández,1,0.47898981935122775,2,0.5210101806487722
Michail Antonio,1,0.49042466462670653,3,0.5095753353732935
Alan Steve Minda García,1,0.5055319443262958,2,0.4944680556737042
César Rodolfo Blackman Camarena,1,0.5201073593311459,4,0.47989264066885406
Jordy Josué Caicedo Medina,1,0.5206169143901846,3,0.47938308560981535
John Yeboah Zamora,1,0.6167420356505232,4,0.3832579643494768
Moisés Isaac Caicedo Corozo,1,0.6393718568234721,6,0.3606281431765279
Michael Amir Murillo Bermudez,1,0.7185969085481478,6,0.28140309145185216
Richard Rios Montoya,1,0.7311959119930155,8,0.2688040880069845
Jhon Andrés Córdoba Copete,2,1.7565186536757176,11,0.24348134632428242
Kevin José Rodríguez Cortez,1,0.7650875376586467,6,0.23491246234135332
Jacob Shaffelburg,1,0.781908972814918,5,0.218091027185082
Jeremy Leonel Sarmiento Morante,1,0.806515020210905,7,0.19348497978909496
Juan Fernando Quintero Paniagua,1,0.8569646032985289,9,0.14303539670147114
Alphonso Davies,2,1.9268760107243628,12,0.07312398927563724
Erick Javier Davis Grajales,0,0.0810548972966247,1,-0.0810548972966247
Matías David Espinoza Acosta,0,0.08113933829420562,1,-0.08113933829420562
Telasco José Segovia Pérez,0,0.08158603512391113,1,-0.08158603512391113
Piero Martín Hincapié Reyna,0,0.08166170372023533,1,-0.08166170372023533
Luis Carlos Ovalle Victoria,0,0.08166170372023533,1,-0.08166170372023533
Ricardo Guardia Avila,0,0.08166170372023533,1,-0.08166170372023533
Fidel Escobar Mendieta,0,0.08168136190553697,1,-0.08168136190553697
Fernando Javier Saucedo Pereyra,0,0.08202404930243222,1,-0.08202404930243222
Ramiro Vaca Ponce,0,0.0821435221236494,1,-0.0821435221236494
Mark Anthony Kaye,0,0.08301753518135166,1,-0.08301753518135166
Luis Fernando Haquín Lopez,0,0.08312468676376435,1,-0.08312468676376435
Jon Mikel Aramburu Mejías,0,0.08319250306757756,1,-0.08319250306757756
Miguel Ángel Almirón Rejala,0,0.08331456880990137,1,-0.08331456880990137
Jackson Gabriel Porozo Vernaza,0,0.0833560216589867,1,-0.0833560216589867
Miguel Ángel Navarro Zárate,0,0.08346481035043087,1,-0.08346481035043087
Darío Esteban Osorio Osorio,0,0.08401967755731954,1,-0.08401967755731954
Michael Hector,0,0.08412059478701613,1,-0.08412059478701613
Damion Lowe,0,0.08421856101623039,1,-0.08421856101623039
Roberto Carlos Fernández Toro,0,0.08493413628803974,1,-0.08493413628803974
César Ignacio Pérez Maldonado,0,0.08535568978509206,1,-0.08535568978509206
Jorge Andrés Carrascal Guardo,0,0.08551001047650612,1,-0.08551001047650612
Ethan Pinnock,0,0.08602293403972759,1,-0.08602293403972759
Luc Rollet De Fougerolles,0,0.08680165378620953,1,-0.08680165378620953
José Ángel Córdoba Chambers,0,0.0880148066459029,1,-0.0880148066459029
Di'Shon Bernard,0,0.08820171887392032,1,-0.08820171887392032
Armando Enrique Cooper Whitaker,0,0.08824548666023391,1,-0.08824548666023391
Rafael Santos Borré Amaury,0,0.0893984128583883,1,-0.0893984128583883
Blas Antonio Miguel Pérez Ortega,0,0.08990573348184104,1,-0.08990573348184104
Víctor Gustavo Velázquez Ramos,0,0.09292816440721667,1,-0.09292816440721667
Derek Cornelius,0,0.09321738800434644,1,-0.09321738800434644
Matías Nicolás Rojas Romero,0,0.09387351825287694,1,-0.09387351825287694
José Adoni Cifuentes Charcopa,0,0.10455944251106469,1,-0.10455944251106469
Alex Marshall,0,0.10680792463629113,1,-0.10680792463629113
Gabriel Arturo Torres Tejada,0,0.10788127824370171,1,-0.10788127824370171
Ali Ahmed,0,0.15490896344842867,1,-0.15490896344842867
Carmelo Algarañaz Añez,0,0.16288723203703936,2,-0.16288723203703936
Adalberto Eliécer Carrasquilla Alcázar,0,0.16335521881443069,2,-0.16335521881443069
Romario Andrés Ibarra Mina,0,0.16407155192023753,2,-0.16407155192023753
Kasey Palmer,0,0.1644691975361825,2,-0.1644691975361825
Santiago Arias Naranjo,0,0.16507764010874576,2,-0.16507764010874576
Johan Andrés Mojica Palacio,0,0.1652511837337775,2,-0.1652511837337775
Yaser Esneider Asprilla Martínez,0,0.16616806629511058,2,-0.16616806629511058
Igor Lichnovsky Osorio,0,0.16663169944866668,2,-0.16663169944866668
Bobby Armani De Cordova-Reid,0,0.16713629748698414,2,-0.16713629748698414
Kaheim Dixon,0,0.16857408953536485,2,-0.16857408953536485
Demarai Gray,0,0.16948496374166824,2,-0.16948496374166824
Oscar Fabián Murillo Murillo,0,0.16967878978158105,2,-0.16967878978158105
Cristian Sleiker Cásseres Yepes,0,0.17102476326710614,2,-0.17102476326710614
Kevin Duvan Castaño Gil,0,0.1721242955617005,2,-0.1721242955617005
Atiba Hutchinson,0,0.17214881191806153,2,-0.17214881191806153
Aníbal Cesis Godoy,0,0.17292512652408804,2,-0.17292512652408804
Pervis Josué Estupiñán Tenorio,0,0.17339018863625927,2,-0.17339018863625927
Wilker José Ángel Romero,0,0.18544381340952198,1,-0.18544381340952198
Gonzalo Jordy Plata Jiménez,0,0.21218905128949364,2,-0.21218905128949364
James David Rodríguez Rubio,1,1.216165284884525,11,-0.21616528488452502
Ray Kendry Páez Andrade,1,1.2442877497534777,11,-0.24428774975347767
Marcelino Ignacio Nuñez Espinoza,0,0.2459370100701263,3,-0.2459370100701263
Jovani Francisco Welch Lopez,0,0.24789951524388154,3,-0.24789951524388154
Alan Steven Franco Palma,0,0.25217033803719147,3,-0.25217033803719147
Roderick Alonso Miller Molina,0,0.2611555765498978,3,-0.2611555765498978
Ángel Rodrigo Romero Villamayor,0,0.27345583632377796,3,-0.27345583632377796
Dexter Lembikisa,0,0.274751461321202,3,-0.274751461321202
Yordan Hernando Osorio Paredes,0,0.2748403935309913,3,-0.2748403935309913
Jonathan Osorio,0,0.27567509790967487,3,-0.27567509790967487
Renaldo Showayne Cephas,0,0.27741068599020735,3,-0.27741068599020735
Christian Jesús Martinez,0,0.28282873313344703,3,-0.28282873313344703
Gabriel Alejandro Villamíl Cortéz,0,0.2844257191040591,3,-0.2844257191040591
Mathías Adalberto Villasanti Rolón,0,0.29233736692012835,3,-0.29233736692012835
Ben Brereton Díaz,0,0.29484610098694325,2,-0.29484610098694325
Michael Steveen Estrada Martínez,0,0.29770481166292523,3,-0.29770481166292523
