player_name,actual_goals,xg,attempts,overperf
Vivianne Miedema,55,36.99468144950711,280,18.005318550492888
Francesca Kirby,23,13.670853763016824,115,9.329146236983176
Kim Little,18,10.406146012271416,58,7.593853987728584
Jordan Nobbs,18,10.771168980980148,96,7.228831019019852
Nikita Parris,20,13.412340655601355,77,6.587659344398645
So-Yun Ji,15,9.315361693141647,113,5.6846383068583535
Georgia Stanway,21,15.46141415994575,161,5.53858584005425
Chloe Kelly,20,14.481326673847441,120,5.518673326152559
Samantha May Kerr,22,16.782157854042094,99,5.217842145957906
Anthony Martial,11,5.930988912502193,57,5.069011087497807
Caitlin Jade Foord,10,4.9521379599555555,37,5.0478620400444445
Caroline Weir,16,11.133566565415254,110,4.866433434584746
Danielle van de Donk,18,13.177894667484567,75,4.822105332515433
Ellen White,22,17.450582656315134,118,4.5494173436848655
Bethany Mead,14,10.13092965146839,104,3.8690703485316096
Lauren Hemp,13,9.20955295665266,74,3.7904470433473403
Pauline Bremer,10,6.398460476940827,53,3.6015395230591727
Marcus Rashford,5,1.735162880284344,16,3.264837119715656
Ebony Salmon,11,8.065866052482544,84,2.9341339475174557
Leah Galton,10,7.2061628907477315,58,2.7938371092522685
Keira Walsh,5,2.2127287752885487,30,2.7872712247114513
Brooke Chaplen,11,8.21607942678663,93,2.7839205732133703
Alisha Lehmann,10,7.222791243452626,66,2.777208756547374
Lauren James,8,5.301008142770303,50,2.6989918572296974
Claire Emslie,7,4.3716237977620125,50,2.6283762022379875
Lucy Hope,16,13.5111346616888,86,2.4888653383112
Emma Mukandi,4,1.5411467357922863,19,2.458853264207714
Geum-Min Lee,4,1.5537386496234507,16,2.4462613503765493
Bethany England,29,26.612958604338186,165,2.3870413956618144
Katie McCabe,9,6.708575563652892,75,2.291424436347108
Isobel Mary Christiansen,6,3.982870379065964,27,2.017129620934036
Lisa Evans,5,2.9969610939453357,25,2.0030389060546643
Courtney Sweetman-Kirk,9,7.100788079282077,47,1.8992119207179234
Adriana Kristina Leon,7,5.177426179110854,53,1.8225738208891462
Kirsty Hanson,8,6.192543585785437,45,1.8074564142145633
Tobin Powell Heath,4,2.300607695454378,26,1.699392304545622
Inessa Kaagman,13,11.347383911133106,97,1.6526160888668944
Siri Worm,3,1.3769357809012366,11,1.6230642190987634
Pernille Mosegaard Harder,9,7.391367474853757,63,1.608632525146243
Katharina Baunach,3,1.4096595293396605,8,1.5903404706603395
Jane Ross,10,8.416549946799122,58,1.5834500532008775
Emma Follis,4,2.4529188552202505,25,1.5470811447797495
Maren Nævdal Mjelde,6,4.454397346503722,25,1.5456026534962781
Wayne Mark Rooney,9,7.503149161350329,74,1.4968508386496708
Jessica Sigsworth,5,3.6559990641181495,24,1.3440009358818505
Rachel Daly,3,1.6569388410448276,7,1.3430611589551724
Lucy Quinn,4,2.70827412699375,28,1.29172587300625
Hayley Emma Raso,5,3.710009400072845,35,1.289990599927155
Rachel Rowe,5,3.721402584818524,36,1.2785974151814758
Katerina Svitková,3,1.7820794567394553,13,1.2179205432605447
Jill Roord,9,7.833535961021491,64,1.1664640389785088
Emily Murphy,2,0.8382354531697225,7,1.1617645468302775
Fara Williams,19,17.887470312065883,164,1.112529687934117
Lauren Bruton,6,4.911500139629739,35,1.088499860370261
Adelina Engman,2,0.9546580801911098,7,1.0453419198088902
Gemma Evans,2,0.9620017038932344,7,1.0379982961067657
Alessia Russo,3,1.98517052877887,14,1.01482947122113
Ruby Mace,2,0.9945490200599081,6,1.005450979940092
Melanie Leupolz,5,4.010192736064764,25,0.9898072639352362
Katie Rood,1,0.10135378115125347,1,0.8986462188487465
Jesse Lingard,4,3.1708050083186734,31,0.8291949916813266
Ellie Mason,3,2.1796948978605717,20,0.8203051021394283
Louis Saha,1,0.18361153619919202,2,0.816388463800808
Ashley Hodson,1,0.21944269262169672,3,0.7805573073783033
Rianna Jarrett,2,1.2196939677304006,13,0.7803060322695994
Esme Beth Morgan,2,1.2198805983229675,10,0.7801194016770325
Julia Simic,2,1.231976070462056,14,0.7680239295379441
Danique Kerkdijk,3,2.2951630402074867,9,0.7048369597925133
Daley Blind,1,0.32630864990212843,4,0.6736913500978716
Adnan Januzaj,1,0.33879121432975434,4,0.6612087856702457
Kerys Harrop,4,3.348373390005272,22,0.6516266099947279
Simone Magill,8,7.360313127949634,41,0.6396868720503663
Anna Filbey,1,0.365353184831509,2,0.634646815168491
Veatriki Sarri,1,0.3932328425177259,1,0.6067671574822742
Megan Alexander,1,0.3939258755191262,4,0.6060741244808738
Angela Addison,3,2.406978232936967,21,0.5930217670630329
Emily Donovan,1,0.4356355321732415,6,0.5643644678267585
Amanda Nildén,1,0.4427794477235079,4,0.5572205522764921
Ella Jade Mastrantonio,1,0.4470657253355859,7,0.5529342746644141
Matteo Darmian,1,0.4653686626373215,7,0.5346313373626785
Rinsola Babajide,5,4.485130976048205,47,0.5148690239517952
Connie Scofield,1,0.48681447814895945,7,0.5131855218510406
Rosie Kmita,1,0.4964945147429696,6,0.5035054852570304
Kirstyn Pearce,1,0.5069485356735022,7,0.4930514643264978
Esmee de Graaf,1,0.5094811981614255,3,0.49051880183857455
Juliette Kemppi,1,0.5278841977817126,7,0.4721158022182874
Faye Bryson,1,0.5336246466982991,8,0.4663753533017009
Janni Arnth-Jensen,1,0.5509948901218883,3,0.4490051098781117
Valérie Gauvin,5,4.5616005436531895,25,0.43839945634681055
Claire Lauren Rafferty,1,0.5705597825495755,4,0.4294402174504245
Nicoline Sørensen,2,1.5758840678662371,17,0.42411593213376286
Amber Gaylor,1,0.5966858688827757,9,0.40331413111722425
Jessica Carter,1,0.598458102748316,3,0.401541897251684
Emily Syme,1,0.609187078271753,7,0.390812921728247
Demi Stokes,1,0.6127618088504947,8,0.3872381911495053
Chloe Logarzo,1,0.6441937557496313,2,0.35580624425036866
Hannah Jayne Blundell,2,1.6599786451188918,20,0.3400213548811082
Alexandra Morgan Carrasco,2,1.668767390060172,6,0.33123260993982795
Maria Thorisdottir,1,0.6756501950674112,7,0.3243498049325888
Ashley Young,1,0.7093096059413164,7,0.2906903940586836
Meaghan Sargeant,3,2.7335924427445204,18,0.2664075572554796
Jemma Elizabeth Purfield,1,0.7509452683807953,11,0.24905473161920466
Katie Zelem,7,6.769730287311846,54,0.23026971268815366
Megan Connolly,4,3.779268387340404,27,0.22073161265959618
Tessa Wullaert,5,4.782298370924737,50,0.21770162907526291
Aoife Mannion,1,0.7853577865631658,3,0.2146422134368342
Emma Bissell,1,0.796943992341366,4,0.20305600765863396
Leanne Kiernan,3,2.80077551523393,28,0.19922448476607002
Ander Herrera Agüera,3,2.8051935850989693,24,0.19480641490103068
Jodie Brett,1,0.8139920440191691,7,0.18600795598083086
Lucia Leon,1,0.8235444568576973,4,0.17645554314230272
Rachel Corsie,1,0.8470042121343235,3,0.15299578786567647
Lucy Whipp,1,0.8764074214032332,10,0.12359257859676676
Guro Reiten,6,5.902201073130186,58,0.09779892686981384
Carlotte Wubben-Moy,2,1.9074219975649989,9,0.09257800243500114
Emma Harries,1,0.9269961120237993,7,0.07300388797620072
Millie Laura Farrow,2,1.9486218095160608,11,0.05137819048393921
Morgan Schneiderlin,1,0.965315209427408,11,0.034684790572591995
Gemma Suzanne Davison,3,2.9709134863199167,37,0.029086513680083304
Mollie Green,1,0.977894998348636,11,0.022105001651363976
Ella Toone,10,10.034043710731114,97,-0.03404371073111356
Charlotte Buxton,0,0.05399818184691896,1,-0.05399818184691896
Wiktoria Kiszkis,0,0.054272731833269444,1,-0.054272731833269444
Erin Simon,0,0.054687705580161665,1,-0.054687705580161665
Maisy Barker,0,0.05540434266256846,1,-0.05540434266256846
Stephanie-Elise Catley,0,0.05815582786622395,1,-0.05815582786622395
Amelia Hazard,0,0.05999745587022287,1,-0.05999745587022287
Kika van Es,0,0.060181002099699926,1,-0.060181002099699926
Phil Jones,0,0.060336028714527985,1,-0.060336028714527985
Juan Manuel Mata García,6,6.060347643187586,58,-0.06034764318758601
Freya Gregory,0,0.06126821340051605,1,-0.06126821340051605
