player_name,actual_goals,xg,attempts,overperf
Jair Ventura Filho,7,3.216062029106485,14,3.783937970893515
Julián Álvarez,7,3.22179512630296,21,3.77820487369704
Cody Mathès Gakpo,6,2.2568964431063505,18,3.7431035568936495
Harry Kane,17,13.548264228886145,62,3.4517357711138548
Édson Arantes do Nascimento,10,6.642901694152063,63,3.357098305847937
Denis Cheryshev,5,2.1125986193188915,14,2.8874013806811085
Kylian Mbappé Lottin,14,11.59646724854199,79,2.4035327514580107
Diego Armando Maradona,4,1.6099491613523824,18,2.3900508386476176
Mohammed Kudus,4,1.6351972074341836,17,2.3648027925658166
Lautaro Javier Martínez,6,3.65717421656612,26,2.34282578343388
Wout Weghorst,5,2.778913518655822,12,2.221086481344178
Bukayo Saka,5,2.8571071729427815,17,2.1428928270572185
Richarlison de Andrade,3,1.1111796730574852,8,1.8888203269425148
Emil Peter Forsberg,5,3.1243470365282375,29,1.8756529634717625
Luka Modrić,7,5.2038777496246995,27,1.7961222503753005
Vinícius José Paixão de Oliveira Júnior,3,1.2099008219114191,13,1.7900991780885809
Jude Bellingham,4,2.2124418041946647,12,1.7875581958053353
Johan Cruyff,3,1.282825819408151,9,1.717174180591849
Lamine Camara,2,0.31381368547058325,3,1.6861863145294167
Karim Benzema,4,2.366192153800857,11,1.6338078461991432
Folarin Balogun,2,0.4060038685448477,5,1.5939961314551523
Marcus Rashford,4,2.413035464225813,18,1.5869645357741868
Romelu Lukaku Menama,8,6.413771017258633,43,1.5862289827413667
Georginio Wijnaldum,3,1.466666485807198,10,1.533333514192802
Denzel Dumfries,3,1.5311803995799718,12,1.4688196004200282
Randal Kolo Muani,3,1.5757193235245053,8,1.4242806764754947
Sergio Leonel Agüero del Castillo,2,0.5853386992415286,6,1.4146613007584714
Ritsu Doan,2,0.5980087531394023,4,1.4019912468605977
Niclas Füllkrug,4,2.6040017734541583,17,1.3959982265458417
Ivan Perišić,6,4.627354896180807,51,1.3726451038191927
Habibou Mouhamadou Diallo,2,0.633329704676105,5,1.366670295323895
