player_name,actual_goals,xg,attempts,overperf
Bartholomew Owogbalor Ogbeche,18,9.522273280288923,66,8.477726719711077
Greg Stewart,11,7.151775082219548,62,3.8482249177804517
Deshorn Brown,7,3.5177269706069434,26,3.4822730293930566
Sahal Abdul Samad,6,3.138774242256528,24,2.861225757743472
Jonathas Cristian de Jesus,8,5.185772773056999,34,2.814227226943001
Daniel Chima Chukwu,9,6.326304834987407,43,2.6736951650125933
Adrián Nicolás Luna Retamar,6,3.4997208000495283,30,2.5002791999504717
Roy Krishna,7,4.567497573836802,37,2.4325024261631976
João Victor de Albuquerque Bruno,6,3.7680029573908413,26,2.2319970426091587
Darren Sidoel,3,0.7689177338595177,7,2.2310822661404823
Hugo Adnan Boumous,5,2.772910691912606,22,2.227089308087394
Bipin Singh Thounajam,6,3.8120146720410997,35,2.1879853279589003
Cleiton Augusto Oliveira Silva,9,6.813979417353831,49,2.1860205826461687
Igor Angulo Albóniga,10,7.821274524592346,51,2.1787254754076537
Kiyan Nassiri Giri,3,1.0153515571237675,8,1.9846484428762325
Udanta Kumam Singh,3,1.1082323398888525,11,1.8917676601111475
Jorge Rolando Pereyra Díaz,8,6.291934409465706,37,1.7080655905342939
Airam López Cabrera,6,4.453687491544329,25,1.5463125084556708
Jorge Ortiz Mendoza,8,6.462726708241911,60,1.5372732917580887
Ariday Cabrera Suárez,5,3.51369470582933,37,1.4863052941706698
Álvaro Vázquez García,8,6.522612772071659,72,1.4773872279283413
Javier Siverio Toro,7,5.589355061284061,38,1.4106449387159392
Serigne Mourtada Fall,3,1.6491104829648515,15,1.3508895170351485
Joel Joseph Chianese,4,2.6858460616970166,15,1.3141539383029834
Thongkhosiem Haokip,2,0.7389251245269594,8,1.2610748754730405
Amir Derviševič,2,0.7784913526716455,8,1.2215086473283545
Vincy Barretto,2,0.8188937936456547,9,1.1811062063543454
Diego Maurício Machado de Brito,3,1.8559886399142316,6,1.1440113600857684
Manvir Singh,6,4.923751041653948,47,1.076248958346052
Peter Hartley,3,1.9432618809668099,13,1.0567381190331901
Francisco Javier Hernández González,6,5.064260896584049,49,0.9357391034159512
Mohammed Irshad,2,1.0650536143966056,12,0.9349463856033944
Laldanmawia Ralte,4,3.1006181303201084,10,0.8993818696798916
Ahmed Jahouh,3,2.1081241029260283,23,0.8918758970739717
Ritwik Kumar Das,4,3.113113700750363,21,0.8868862992496371
Vladimir Koman Jr.,3,2.1488349439019214,20,0.8511650560980786
Danish Farooq Bhat,3,2.208106838154351,15,0.7918931618456488
Enes Sipović,1,0.2207835374719423,2,0.7792164625280578
David Joel Williams,4,3.264041058974321,24,0.7359589410256788
Alberto Noguera Ripoll,3,2.345413296683592,22,0.6545867033164079
Mehtab Singh,1,0.3589099305596589,3,0.6410900694403411
Rahul Kannoly Praveen,1,0.3654107411517125,4,0.6345892588482875
Ygor de Oliveira Ferreira,3,2.3733345838507374,19,0.6266654161492626
Héctor Rodas Ramírez,2,1.3880491712826228,10,0.6119508287173772
Isak Vanlalruatfela,1,0.3959692509906672,4,0.6040307490093328
Jerry Mawihmingthanga,3,2.405460748491182,22,0.5945392515088179
Vikram Pratap Singh,3,2.4135460639300015,16,0.5864539360699985
Nikhil Raj Murugesh Kumar,1,0.4141505946498036,4,0.5858494053501964
Mashoor Shereef Thangalakath,1,0.4357692395508433,5,0.5642307604491568
Tomislav Mrčela,1,0.45443539137932215,4,0.5455646086206778
Daniel Lalhlimpuia,1,0.46812754833675624,3,0.5318724516632438
Akash Mishra,2,1.5584008618943632,12,0.4415991381056368
Pratik Prabhakar Chaudhari,1,0.561498136697779,4,0.43850186330222096
Prasanth Karuthadathkuni,1,0.5968874060889796,7,0.4031125939110204
Paul Ramfangzauva,1,0.6114125374596326,7,0.38858746254036736
Konsham Chinglensana Singh,1,0.6323149248291435,4,0.36768507517085647
Rahul Bheke,2,1.6361586019770848,12,0.36384139802291515
Nerijus Valskis,4,3.679542615858558,32,0.320457384141442
Dylan Fox,1,0.7203023071257736,4,0.2796976928742264
Redeem Tlang,1,0.7279590869908757,8,0.27204091300912425
Jordan Murray,4,3.7562930427965435,33,0.24370695720345648
Khumanthem Ninthoinganba Meetei,1,0.7701171332501691,8,0.22988286674983094
Khassa Camara,2,1.77388747350367,14,0.22611252649632996
Sahil Tavora,1,0.7928850145544489,8,0.20711498544555107
Eduardo García Martín,2,1.7959668305113934,18,0.2040331694886066
Rohit Danu,2,1.7982060320525044,15,0.2017939679474956
Halicharan Narzary,1,0.8543792387773486,5,0.14562076122265144
Iman Basafa,1,0.8620487467092732,6,0.13795125329072677
Komal Thatal,1,0.8764455110603784,10,0.12355448893962162
Rochharzela Rochharzela,1,0.8874451136593484,9,0.11255488634065158
Naorem Roshan Singh,1,0.9661207539463088,13,0.03387924605369119
Franjo Prce,1,0.9815997309407573,8,0.018400269059242746
Makan Winkle Chote,1,0.989992300376981,12,0.01000769962301895
Muhammad Ashique Kuruniyan,1,0.9954535330689965,12,0.004546466931003468
Ishan Pandita,3,3.003090514245365,22,-0.003090514245365217
Harmanjot Singh Khabra,1,1.0252311724324108,9,-0.025231172432410798
Patrick Flottmann,1,1.0254123210628636,8,-0.02541232106286362
Rahim Ali,2,2.045164665356785,20,-0.04516466535678498
Mohammad Yasir,1,1.0458876723184214,13,-0.04588767231842139
Mohammad Sajid Dhot,1,1.0489277211918941,4,-0.04892772119189415
