player_name,actual_goals,xg,attempts,overperf
Lionel Andrés Messi Cuccittini,476,330.4215461830989,2366,145.57845381690112
Luis Alberto Suárez Díaz,136,93.90843611439689,616,42.09156388560311
Samuel Eto''o Fils,66,49.86628800821783,304,16.13371199178217
David Villa Sánchez,33,19.702657771134877,196,13.297342228865123
Pedro Eliezer Rodríguez Ledesma,49,35.8156691152834,258,13.184330884716601
Neymar da Silva Santos Junior,62,49.28568483568688,351,12.71431516431312
Thierry Henry,33,22.78139635885934,173,10.21860364114066
Antoine Griezmann,44,34.07217686944776,237,9.927823130552241
Alexis Alejandro Sánchez Sánchez,29,19.421976208396078,118,9.578023791603922
Gareth Frank Bale,24,14.861873194350927,112,9.138126805649073
Bojan Krkíc Pérez,19,12.60493011514672,102,6.39506988485328
Rubén Castro Martín,26,19.70417408627823,122,6.295825913721771
Francesc Fàbregas i Soler,20,14.393662861328014,113,5.606337138671986
Ivan Rakitić,26,20.46153062378266,212,5.538469376217339
Lucas Pérez Martínez,19,13.590588613310082,108,5.409411386689918
Ousmane Dembélé,16,10.596375367236002,101,5.403624632763998
Xavier Hernández Creus,36,30.921160145963945,316,5.078839854036055
Imanol Agirretxe Arruti,15,9.998684030741716,51,5.001315969258284
Karim Benzema,31,25.998779921587964,157,5.001220078412036
Ronaldo de Assis Moreira,33,28.227284861017537,220,4.772715138982463
Cédric Bakambu,13,8.381706724518066,52,4.618293275481934
Francisco Alcácer García,23,19.058844604240186,99,3.9411553957598144
Anssumane Fati,9,5.093571276341324,41,3.906428723658676
James David Rodríguez Rubio,8,4.208634519009485,48,3.791365480990515
Jozabed Sánchez Ruiz,9,5.355674601101588,46,3.6443253988984123
Fernando José Torres Sanz,13,9.438743008842346,70,3.561256991157654
Cristian Tello Herrera,9,5.616046015790511,66,3.383953984209489
Jesé Rodríguez Ruiz,6,2.860082731122463,26,3.139917268877537
Adalberto Peñaranda Maestre,5,2.129530061680995,23,2.870469938319005
Carlos Castro García,8,5.137685359587644,26,2.8623146404123556
Adrián López Álvarez,6,3.1665281146446587,21,2.8334718853553413
John Guidetti,8,5.282164162005111,34,2.7178358379948886
Iñaki Williams Arthuer,9,6.4757049797179205,64,2.5242950202820795
Iago Aspas Juncal,17,14.536410861947864,102,2.4635891380521358
Joseba Llorente Etxarri,5,2.58907064951255,11,2.41092935048745
Ángel Martín Correa,6,3.7141471348252204,35,2.2858528651747796
Jordi Alba Ramos,12,9.959175317566576,99,2.040824682433424
Roque Luis Santa Cruz Cantero,3,0.9731561570375872,7,2.0268438429624127
Santiago Mina Lorenzo,6,3.9830665383838957,31,2.0169334616161043
Rafael Alcântara do Nascimento,7,5.064809648263236,39,1.9351903517367637
Diego Forlán Corazo,5,3.0872259574096943,16,1.9127740425903057
Hernán Arsenio Pérez González,7,5.089039906273245,50,1.9109600937267546
Pedro Taunausú Domínguez Placeres,5,3.109384664082506,31,1.8906153359174942
Manuel Agudo Durán,12,10.214192478901635,96,1.7858075210983646
Éver Maximiliano David Banega,7,5.214556263644768,56,1.7854437363552318
Markel Susaeta Laskurain,6,4.2149754654391955,46,1.7850245345608045
Daniel Parejo Muñoz,11,9.259461662175843,66,1.740538337824157
Raúl Tamudo Montero,4,2.2874732504620345,19,1.7125267495379655
Juan Manuel Asensi Ripoll,3,1.2959157780040258,6,1.7040842219959742
Juan Isaac Cuenca López,4,2.3619713352655727,24,1.6380286647344273
Gianluca Zambrotta,3,1.3784556734671152,22,1.6215443265328848
Sergio Leonel Agüero del Castillo,5,3.387530390468987,22,1.6124696095310131
Jeffren Isaac Suárez Bermúdez,3,1.41800043439403,10,1.58199956560597
Adrián Colunga Pérez,2,0.4183497718290276,5,1.5816502281709723
Radamel Falcao García Zárate,3,1.419739022549847,11,1.580260977450153
Alejandro Bergantiños García,4,2.42606311796973,21,1.57393688203027
Denis Cheryshev,4,2.4428061782780346,24,1.5571938217219654
Juan Miguel Jiménez López,3,1.4520586231432495,11,1.5479413768567505
Nicola Sansone,2,0.48143644424792076,6,1.5185635557520794
Pablo Hernández Domínguez,6,4.509539622094106,48,1.4904603779058938
David López Silva,2,0.5156083782058055,4,1.4843916217941944
José Salomón Rondón Giménez,2,0.5280335787454067,5,1.4719664212545933
Willian José da Silva,12,10.540933657890829,76,1.4590663421091712
Arturo Erasmo Vidal Pardo,9,7.553902416473469,45,1.446097583526531
Ander Herrera Agüera,2,0.5989655544636632,7,1.4010344455363368
Zlatan Ibrahimović,14,12.60649158783284,83,1.3935084121671597
