player_name,actual_goals,xg,attempts,overperf
Miguel Ángel Brindisi de Marco,2,1.063425266291116,5,0.9365747337088841
Julio César Toresani,1,0.4238825504579553,1,0.5761174495420447
Sergio Ángel Berti Pizzani,1,0.5821888639737844,2,0.41781113602621556
Martín Palermo,1,0.7603222930974197,2,0.23967770690258028
Diego Armando Maradona,1,0.7896225092188467,4,0.2103774907811533
Hugo Perotti,0,0.09187571026631029,1,-0.09187571026631029
Carlos Córdoba,0,0.09352635028433466,1,-0.09352635028433466
Sebastián Pascual Rambert,0,0.09401447188397033,1,-0.09401447188397033
Leonardo Rubén Astrada,0,0.0993085857233576,1,-0.0993085857233576
Jorge Benítez,0,0.0993085857233576,1,-0.0993085857233576
Hernán Edgardo Díaz,0,0.10445668363994708,1,-0.10445668363994708
Roberto Carlos Montserrat,0,0.1127745199005548,1,-0.1127745199005548
Vicente Alberto Pernía,0,0.1127745199005548,1,-0.1127745199005548
Mario Alberto Kempes Chiodi,0,0.11410485338748833,1,-0.11410485338748833
José Luis Pavoni,0,0.11410485338748833,1,-0.11410485338748833
Ramón Ángel Díaz,0,0.15866689178579085,1,-0.15866689178579085
Rodolfo Martín Arruabarrena,0,0.15866689178579085,1,-0.15866689178579085
Nolberto Albino Solano Todco,0,0.1986171714467152,2,-0.1986171714467152
Diego Fernando Latorre,0,0.38261376261813673,2,-0.38261376261813673
Claudio Paul Caniggia,0,0.43599319389186864,2,-0.43599319389186864
Juan José López,0,0.5357795985639865,4,-0.5357795985639865
Martín Alejandro Cardetti,0,0.647547773196865,1,-0.647547773196865
Celso Rafael Ayala Gavilán,0,0.8062146649826558,2,-0.8062146649826558
Daniel Alberto Passarella,0,0.808699404316799,5,-0.808699404316799
Marcelo Daniel Gallardo,0,0.8503493987791838,8,-0.8503493987791838
José Marcelo Salas Melinao,0,0.9286936194503183,4,-0.9286936194503183
