player_name,actual_goals,xg,attempts,overperf
Kylian Mbappé Lottin,50,26.711922712657646,227,23.288077287342354
Zlatan Ibrahimović,36,20.22149017189124,148,15.77850982810876
Neymar da Silva Santos Junior,23,11.956889978038395,76,11.043110021961605
Edinson Roberto Cavani Gómez,19,12.022640627492578,86,6.977359372507422
Hatem Ben Arfa,17,10.062113074376462,93,6.937886925623538
Ousmane Dembélé,12,6.3240886961524225,56,5.6759113038475775
Alexandre Lacazette,21,15.666475476799606,100,5.333524523200394
Sofiane Boufal,11,6.329203888833714,53,4.670796111166286
Gnaly Maxwell Cornet,8,3.5807776193321463,30,4.419222380667854
Valère Germain,14,9.587352788995592,66,4.412647211004408
Kamil Grosicki,9,4.735039839143047,52,4.264960160856953
Abdul Majeed Waris,11,7.167030547761605,55,3.8329694522383946
Rachid Ghezzal,8,4.258580990457293,55,3.7414190095427067
Ángel Fabián Di María Hernández,14,10.422692529051899,112,3.577307470948101
Wissam Ben Yedder,17,13.633726775486112,95,3.366273224513888
Achraf Hakimi Mouh,6,2.8795923422253904,25,3.1204076577746096
Ronny Rodelin,10,6.99105027814711,76,3.00894972185289
Mohamed Larbi,8,5.119022802839794,42,2.880977197160206
Cheick Tidiane Diabaté,9,6.202650479607537,36,2.797349520392463
Rodrigue Casimir Ninga,7,4.324293719455584,43,2.675706280544416
Bernardo Mota Veiga de Carvalho e Silva,7,4.380460663021123,40,2.6195393369788773
Younousse Sankharé,6,3.4132110768297244,30,2.5867889231702756
Zargo Touré,4,1.6523739598546874,11,2.347626040145313
Thomas Lemar,5,2.655006783345878,36,2.344993216654122
Mohamed Saïd Benrahma,3,0.6999070092112951,11,2.3000929907887047
Valentin Eysseric,6,3.759589775912605,39,2.240410224087395
Nabil Fekir,4,1.8187717924193587,20,2.1812282075806415
Maxwell Scherrer Cabelino Andrade,3,0.934431813148276,10,2.065568186851724
Alassane Pléa,6,3.9449797889394365,47,2.0550202110605635
Blaise Matuidi,4,2.0040423117748727,16,1.9959576882251273
Lucas Rodrigues Moura da Silva,9,7.005202938856906,62,1.9947970611430943
Mevlüt Erdinç,4,2.007200707893097,18,1.9927992921069029
Yannis Salibur,7,5.025878222712564,78,1.9741217772874364
Éderzito António Macedo Lopes,6,4.063183600003318,31,1.9368163999966823
Morgan Sanson,3,1.0786991655374905,11,1.9213008344625095
Denis Bouanga,3,1.157598368934161,13,1.842401631065839
Julien Romain,2,0.1606927939955763,2,1.8393072060044238
Gaëtan Charbonnier,4,2.1848848717025273,22,1.8151151282974727
Grégory Pujol,5,3.2561371747579226,28,1.7438628252420774
Nicolas Benezet,4,2.262105001864079,23,1.7378949981359209
Carlos Soler Barragán,3,1.2787108415274828,8,1.7212891584725172
Jérôme Roussillon,3,1.2794066106475384,16,1.7205933893524616
Almamy Touré,3,1.2873253722045361,10,1.7126746277954639
Fallou Diagne,5,3.327129337210398,17,1.672870662789602
Souleymane Camara,7,5.354293750661385,47,1.6457062493386152
Vincent Koziello,3,1.3665802710001844,14,1.6334197289998156
Ellyes Joris Skhiri,2,0.4445128809635869,5,1.555487119036413
Benjamin Moukandjo Bilé,13,11.455546347613723,57,1.5444536523862773
Aldo Kalulu Kyatengwa,2,0.5105687595649473,5,1.4894312404350527
Jimmy Cabot,4,2.5385328333059367,31,1.4614671666940633
Syam Ben Youssef,3,1.545354405874008,6,1.454645594125992
Adam Ounas,5,3.55134200301138,44,1.44865799698862
Yassine Benzia,5,3.572178378518037,37,1.427821621481963
Hamari Traoré,3,1.6188755140636533,24,1.3811244859363467
Mama Samba Baldé,2,0.630833689304745,6,1.369166310695255
Fábio Alexandre da Silva Coentrão,3,1.6657572837644303,10,1.3342427162355697
Gaël Danic,5,3.671119713531458,41,1.328880286468542
Thibault Giresse,4,2.7003378173589545,23,1.2996621826410455
Gregory van der Wiel,2,0.7045556657444028,8,1.2954443342555972
Pierrick Capelle,4,2.7296056027385416,27,1.2703943972614584
Mauricio Aníbal Isla Isla,2,0.730670958098839,8,1.2693290419011611
Wahbi Khazri,6,4.745188257292225,44,1.2548117427077754
Moustapha Bayal Sall,3,1.7484316109347218,14,1.2515683890652782
Jaroslav Plašil,3,1.7549140740989086,20,1.2450859259010914
Yoann Gourcuff,2,0.7823900530862901,10,1.21760994691371
Andrea Raggi,2,0.8681639145006383,8,1.1318360854993617
Michy Batshuayi Tunga,17,15.869161576240428,123,1.130838423759572
Yannick Cahuzac,2,0.8718962847712839,11,1.128103715228716
Robert Berič,3,1.8818748748951943,16,1.1181251251048057
Benjamin Jeannot,7,5.908371548658009,64,1.0916284513419914
Thievy Guivane Bifouma Koulossa,4,2.9334028379328836,18,1.0665971620671164
Diego Armando Valentin Contento,2,0.9393383199277633,13,1.0606616800722368
Ricardo Alberto Silveira de Carvalho,2,0.9567120177593212,8,1.0432879822406789
