player_name,actual_goals,xg,attempts,overperf
Robert Taylor,2,0.737588125181808,5,1.2624118748181918
Facundo Farías,2,0.9438454567148162,10,1.0561545432851838
Kerwin Calderón Vargas,1,0.3552601118493017,3,0.6447398881506983
Benjamin Cremaschi,1,0.44643461599221523,5,0.5535653840077848
Jordi Alba Ramos,1,0.4528075884593367,1,0.5471924115406632
Álvaro Martín Barreal,1,0.5313972809382139,2,0.4686027190617861
Ryan Hollingshead,1,0.5615329789013865,3,0.43846702109861346
Diego Alexander Gómez Amarilla,1,0.7535553391882027,4,0.24644466081179728
Leonardo Campana Romero,1,1.0323221032348924,7,-0.032322103234892374
Júnior Leonardo Moreno Borrero,0,0.06273258701457807,1,-0.06273258701457807
Timothy Tillman,0,0.06274529468532875,1,-0.06274529468532875
Jacob Shaffelburg,0,0.06296861800517702,1,-0.06296861800517702
Yuya Kubo,0,0.06296861800517702,1,-0.06296861800517702
Scott Arfield,0,0.06296861800517702,1,-0.06296861800517702
John Tolkin,0,0.06296861800517702,1,-0.06296861800517702
Frankie Amaya,0,0.06300793396439731,1,-0.06300793396439731
Jack Maher,0,0.06309376424144064,1,-0.06309376424144064
Daniel Edelman,0,0.06315461077574414,1,-0.06315461077574414
Jere Juhani Uronen,0,0.06341465965234257,1,-0.06341465965234257
Justin Meram,0,0.06344450272451047,1,-0.06344450272451047
Brandt Bronico,0,0.06457897890745297,1,-0.06457897890745297
Jean Mota Oliveira de Sousa,0,0.06497420449877088,1,-0.06497420449877088
Santiago Arias Naranjo,0,0.06497420449877088,1,-0.06497420449877088
Sergio Busquets i Burgos,0,0.06583160013284227,1,-0.06583160013284227
Luciano Federico Acosta,0,0.06631877130587437,1,-0.06631877130587437
Filip Yavorov Krastev,0,0.06637871528511918,1,-0.06637871528511918
Alex Muyl,0,0.06637871528511918,1,-0.06637871528511918
Dru Yearwood,0,0.06637871528511918,1,-0.06637871528511918
Andrew Privett,0,0.06637871528511918,1,-0.06637871528511918
Dixon Jair Arroyo Espinoza,0,0.06993318559270535,1,-0.06993318559270535
Robbie Robinson Belmar,0,0.06993318559270535,1,-0.06993318559270535
Aaron Long,0,0.07009684586786916,1,-0.07009684586786916
Enzo Nahuel Copetti,0,0.07055941688349308,1,-0.07055941688349308
Sean Nealis,0,0.0708662894175815,1,-0.0708662894175815
Mario González Gutiérrez,0,0.0726559240269171,1,-0.0726559240269171
Tom Barlow,0,0.10356114042818765,1,-0.10356114042818765
Noah Allen,0,0.12619292641689578,2,-0.12619292641689578
Lucas Lima Linhares,0,0.1265382669659511,2,-0.1265382669659511
Teal Alexander Bunbury,0,0.12688900544902093,2,-0.12688900544902093
Mateusz Bogusz,0,0.1271423392377824,2,-0.1271423392377824
Hany Mukhtar,0,0.12770364832015474,2,-0.12770364832015474
Federico Bernardeschi,0,0.1279428225039479,2,-0.1279428225039479
Sergio Henrique Santos Gomes,0,0.13282943288244722,2,-0.13282943288244722
Karol Świderski,0,0.13622228288742327,2,-0.13622228288742327
Matt Miazga,0,0.1401936917357383,2,-0.1401936917357383
Andrés Felipe Reyes Ambuila,0,0.1411959980952882,2,-0.1411959980952882
David Ruiz,0,0.14367856642609672,2,-0.14367856642609672
Deandre Kerr,0,0.14553857822202157,2,-0.14553857822202157
Brandon Vázquez Toledo,0,0.21338152434441723,2,-0.21338152434441723
Aaron Salem Boupendza Pozzi,0,0.21504408966807032,3,-0.21504408966807032
DeAndre Yedlin,0,0.22541878417108316,1,-0.22541878417108316
Lorenzo Insigne,0,0.25713230669799536,4,-0.25713230669799536
Carlos Alberto Vela Garrido,0,0.262087412804207,4,-0.262087412804207
Omir Guadalupe Fernandez Mosso,0,0.2742261351427027,3,-0.2742261351427027
Jesús David Murillo Largacha,0,0.2993885695477536,2,-0.2993885695477536
Tomás Agustín Avilés Mancilla,0,0.3131572320407421,4,-0.3131572320407421
Josef Alexander Martínez Mencia,0,0.33798330987664316,5,-0.33798330987664316
Denis Bouanga,0,0.6670128628992734,7,-0.6670128628992734
Lionel Andrés Messi Cuccittini,1,1.9649544839165791,20,-0.9649544839165791
