player_name,actual_goals,xg,attempts,overperf
Samantha May Kerr,7,4.352770473054958,46,2.6472295269450417
Lindsey Michelle Horan,5,2.6364567873165363,19,2.3635432126834637
Katie Stengel,4,1.7195128036347778,14,2.2804871963652222
Imani Dorsey,3,1.1992524065824577,12,1.8007475934175423
Yuki Nagasato,3,1.3144293651706573,9,1.6855706348293427
Débora Cristiane de Oliveira,6,4.331903209873791,37,1.6680967901262092
Jodie Taylor,4,2.4747355880527677,19,1.5252644119472323
Diana Matheson,2,0.5570928043649057,5,1.4429071956350943
McCall Zerboni,3,1.5578179988511036,12,1.4421820011488964
Ana-Maria Crnogorčević,3,1.6628496612877681,15,1.3371503387122319
Shea Groom,2,1.0671728625884596,10,0.9328271374115404
Kealia Ohai,2,1.1305737848519768,8,0.8694262151480232
Kristen Edmonds,1,0.19189912251771207,2,0.808100877482288
Lynn Raenie Williams,7,6.240114014757031,51,0.7598859852429687
Veronica Latsko,1,0.24795797556110644,2,0.7520420244388936
Casey Marie Krueger,1,0.2652583518167294,2,0.7347416481832706
Amber Brooks,1,0.2672212827781508,2,0.7327787172218492
Katherine Reynolds,1,0.3262363441494611,2,0.6737636558505389
Frannie Crouse,1,0.3331898450996799,2,0.66681015490032
Kelley Maureen O'Hara,1,0.3458029367485338,3,0.6541970632514662
Rachel Hill,1,0.3967700079582258,3,0.6032299920417742
Emily Ann Sonnett,1,0.44526847709649914,1,0.5547315229035008
Thembi Kgatlana,1,0.46223712208829926,5,0.5377628779117007
Rumi Utsugi,1,0.5039457442074319,6,0.4960542557925681
Merritt Mathias,1,0.5637222708185721,6,0.43627772918142793
Tyler Lussi,1,0.5721531915363368,6,0.4278468084636632
Christen Annemarie Press,2,1.5739184534648742,17,0.42608154653512575
Mallory Pugh,1,0.6466031669195386,7,0.35339683308046144
Carli Anne Hollins,2,1.6562581544691775,15,0.34374184553082254
Francisca Ordega,1,0.6800383058564387,6,0.31996169414356135
Rachel Daly,2,1.6863034870585165,15,0.3136965129414835
Hayley Emma Raso,2,1.7656213393115012,15,0.23437866068849877
Allie Long,1,0.82171051134635,9,0.17828948865365002
Abby Erceg,2,1.8219949368584019,15,0.17800506314159814
Samantha June Mewis,3,2.911051494208875,26,0.08894850579112479
Megan Anna Rapinoe,2,2.0439867901422772,21,-0.04398679014227724
Carson Pickett,0,0.07178727576525173,1,-0.07178727576525173
Desiree Rose Marie Scott,0,0.0720441280840476,1,-0.0720441280840476
Sydney Miramontez,0,0.07232575836869036,1,-0.07232575836869036
Michaela Abam,0,0.07244329572442677,1,-0.07244329572442677
Toni Pressley,0,0.07244329572442677,1,-0.07244329572442677
Christen Westphal,0,0.07311389543503517,1,-0.07311389543503517
Summer Green,0,0.07339624833630677,1,-0.07339624833630677
Danica Evans,0,0.07348972208635625,1,-0.07348972208635625
