player_name,actual_goals,xg,attempts,overperf
Sergio Leonel Agüero del Castillo,24,15.047489538197452,118,8.952510461802548
Thierry Henry,30,21.053415180264135,194,8.946584819735865
Robert Pirès,14,5.614584787602334,56,8.385415212397666
Jamie Vardy,24,16.344137551118322,118,7.6558624488816776
Harry Kane,25,18.317851895126523,159,6.682148104873477
Riyad Mahrez,17,11.792010503149257,87,5.207989496850743
Jermain Defoe,15,10.108701960198696,91,4.891298039801304
André Ayew Pelé,12,7.499064412574477,69,4.500935587425523
Kelechi Promise Iheanacho,8,3.508662540519327,29,4.491337459480674
Roberto Firmino Barbosa de Oliveira,10,5.809617676781023,68,4.190382323218977
Dimitri Payet,9,4.872470935608923,69,4.127529064391077
Georginio Wijnaldum,11,6.996418131876779,55,4.003581868123221
Divock Okoth Origi,6,2.3733457046688216,25,3.6266542953311784
Diego da Silva Costa,12,8.720098215389815,70,3.2799017846101854
Odion Jude Ighalo,15,11.972322898908692,111,3.0276771010913084
Daniel Andre Sturridge,8,4.983363697925201,48,3.016636302074799
Bamidele Alli,10,7.023615154107849,76,2.9763848458921514
Gylfi Þór Sigurðsson,11,8.289285035815455,89,2.710714964184545
Alexis Alejandro Sánchez Sánchez,13,10.338810925687792,111,2.661189074312208
Steven Davis,5,2.371586077594943,20,2.628413922405057
Shane Long,10,7.442239268843018,63,2.557760731156982
Bojan Krkíc Pérez,7,4.446241650270202,37,2.553758349729798
Kevin De Bruyne,7,4.491931122288226,48,2.508068877711774
Mark Noble,7,4.563846718856102,34,2.4361532811438984
Aaron Lennon,5,2.6051429654789278,18,2.3948570345210722
Nathan Redmond,6,3.6121450854632604,53,2.3878549145367396
Dieumerci Mbokani Bezua,7,4.619936753948271,37,2.380063246051729
Graziano Pellè,11,8.692982799680548,82,2.307017200319452
Romelu Lukaku Menama,18,15.766209653901456,116,2.2337903460985444
Pedro Eliezer Rodríguez Ledesma,7,4.788247313995114,59,2.2117526860048864
Olivier Giroud,16,13.807917727812598,103,2.1920822721874025
Andros Townsend,4,1.8740583338998515,29,2.1259416661001485
Ayoze Pérez Gutiérrez,6,3.892792997657866,51,2.107207002342134
Callum Wilson,5,2.926816912916494,18,2.073183087083506
Michail Antonio,8,6.038852191197775,56,1.9611478088022247
Mauro Matías Zárate,4,2.1341218465528597,30,1.8658781534471403
Benik Afobe,4,2.1620210214825626,14,1.8379789785174374
Ramona Petzelberger,3,1.329245120480578,9,1.670754879519422
Daniel Nii Tackie Mensah Welbeck,4,2.4021928334417804,20,1.5978071665582196
Manuel Lanzini,5,3.4284281963157297,48,1.5715718036842703
Tomasz Radziński,2,0.4430251533220121,5,1.556974846677988
Mousa Sidi Yaya Dembélé,3,1.5490599600970718,22,1.4509400399029282
Carl Jenkinson,2,0.5648464667653581,7,1.435153533234642
Joel Nathaniel Campbell Samuels,3,1.5858986881898136,20,1.4141013118101864
Marko Arnautović,11,9.710456109040207,72,1.2895438909597932
Jamaal Lascelles,2,0.7174847608141908,4,1.2825152391858092
Laurent Koscielny,4,2.729506972240772,20,1.270493027759228
Jordan Ayew,7,5.743301143686317,61,1.2566988563136832
Eden Hazard,4,2.777694064386295,36,1.2223059356137052
Fabian Delph,2,0.7785594061088642,13,1.2214405938911357
