player_name,actual_goals,xg,attempts,overperf
Xherdan Shaqiri,7,3.0472434357444356,30,3.9527565642555644
Patrik Schick,6,3.256046018941571,23,2.743953981058429
Ferrán Torres García,5,2.4114316857159492,17,2.5885683142840508
Cristiano Ronaldo dos Santos Aveiro,12,9.566426712643466,73,2.433573287356534
Ivan Schranz,3,0.6015068723328595,5,2.3984931276671406
Mario Gavranović,3,0.8011757101762371,6,2.198824289823763
Yussuf Yurary Poulsen,3,1.0879010770651285,9,1.9120989229348715
Gonçalo Matias Ramos,3,1.2140956890333483,8,1.7859043109666517
Kasper Dolberg,3,1.2511361829249863,11,1.7488638170750137
Breel-Donald Embolo,5,3.293788848639966,29,1.706211151360034
Álvaro Borja Morata Martín,7,5.310487746919898,41,1.6895122530801023
Georges Mikautadze,3,1.3744141454614285,6,1.6255858545385715
Robert Lewandowski,6,4.488514478574773,38,1.511485521425227
Leonardo Bonucci,3,1.5266513228590077,7,1.4733486771409923
Nicolò Barella,2,0.6069007538146407,6,1.3930992461853593
Matteo Pessina,2,0.6501597058824042,4,1.3498402941175958
Bernardo Mota Veiga de Carvalho e Silva,3,1.7517004851705062,12,1.2482995148294938
Manuel Locatelli,2,0.7830378535225793,6,1.2169621464774207
Bruno Miguel Borges Fernandes,4,2.796646396194168,26,1.203353603805832
Răzvan Gabriel Marin,2,0.8063880314010008,6,1.1936119685989992
Haris Seferović,3,1.8243764515679965,15,1.1756235484320035
Mikkel Damsgaard,2,0.8821145635605476,10,1.1178854364394524
Roman Yaremchuk,3,1.8937952740453277,17,1.1062047259546723
Mikel Oyarzabal Ugarte,3,1.9210977692032765,16,1.0789022307967235
Rafael Alexandre Conceição Leão,2,0.9262627983326458,8,1.0737372016673543
Diego da Silva Costa,3,1.9346661807243453,11,1.0653338192756547
Remo Freuler,2,0.9461120958480502,6,1.0538879041519498
Raphaël Adelino José Guerreiro,2,0.9681755032460733,10,1.0318244967539267
Federico Bernardeschi,2,0.9847324292823063,6,1.0152675707176937
Kléper Laveran Lima Ferreira,2,1.0948125163280054,8,0.9051874836719946
José Ignacio Fernández Iglesias,1,0.1073546853591933,1,0.8926453146408067
Pablo Martín Páez Gavira,1,0.12147668244739085,1,0.8785233175526092
Romano Schmid,1,0.14809879188836703,1,0.851901208111633
Merih Demiral,2,1.1561433045750595,6,0.8438566954249405
Attila Fiola,1,0.17010115621871214,2,0.8298988437812879
Gernot Trauner,1,0.18179259138132955,1,0.8182074086186705
Mathias Jattah-Njie Jørgensen,1,0.19713633918710874,1,0.8028636608128913
Florea Dumitrache,1,0.20282893824493103,2,0.7971710617550689
İrfan Can Kahveci,1,0.20813690923902867,2,0.7918630907609714
Michel Aebischer,1,0.2085797071962328,2,0.7914202928037672
Goran Pandev,1,0.21008165502849052,2,0.7899183449715095
Mattia Zaccagni,1,0.21835955319898992,2,0.7816404468010101
Pablo Sarabia García,2,1.2215333620003053,10,0.7784666379996947
Qazim Laçi,1,0.2232404678368872,1,0.7767595321631128
Michael Gregoritsch,2,1.2365187469125243,7,0.7634812530874757
Roberto Boninsegna,1,0.24814977616173356,3,0.7518502238382665
Kevin Csoboth,1,0.2564249570677998,2,0.7435750429322002
Michael Krohn-Dehli,1,0.2672170620321212,1,0.7327829379678787
Lukáš Provod,1,0.2720657949338764,3,0.7279342050661236
Emerich Dembrovschi,1,0.2903302243184068,2,0.7096697756815932
Mikel Merino Zazón,1,0.29597290047455793,3,0.7040270995254421
Joakim Mæhle,2,1.3192066546784322,13,0.6807933453215678
Žan Karničnik,1,0.32321649187721446,3,0.6767835081227855
Christoph Baumgartner,2,1.3291523288194584,11,0.6708476711805416
Klaus Gjasula,1,0.3303866857411669,2,0.6696133142588331
Marko Arnautović,2,1.3497137526550462,12,0.6502862473449538
Connor Roberts,1,0.3541037574705,2,0.6458962425295001
Josip Drmic,1,0.35551678109943274,4,0.6444832189005673
Daniel Carvajal Ramos,1,0.3606192975004811,4,0.6393807024995188
Oleksandr Zinchenko,1,0.3637322813267953,3,0.6362677186732046
Erik Janža,1,0.37159046840352655,3,0.6284095315964735
Ricardo Andrade Quaresma Bernardo,1,0.3747507066212614,5,0.6252492933787386
Samet Akaydin,1,0.3787309609530987,2,0.6212690390469013
Mykola Shaparenko,1,0.3813669842321594,4,0.6186330157678406
Ruben Vargas,2,1.3887537413507431,11,0.6112462586492569
Morten Hjulmand,1,0.3892171363079022,5,0.6107828636920978
Jessica Fishlock,1,0.3901843218914852,4,0.6098156781085148
Adam Buksa,1,0.3914031608639804,3,0.6085968391360196
Nedim Bajrami,1,0.39232607853823265,3,0.6076739214617674
Nicholas Williams Arthuer,2,1.3928103521886324,12,0.6071896478113676
Ricardo Jorge Luz Horta,1,0.39896661844192743,3,0.6010333815580726
Hannah Cain,1,0.4150105126639462,2,0.5849894873360538
Karol Linetty,1,0.42600926547101675,3,0.5739907345289832
Admir Mehmedi,1,0.4265324714277877,3,0.5734675285722123
András Schäfer,1,0.4279970273857947,4,0.5720029726142053
Kwadwo Duah,1,0.4418778048915021,4,0.5581221951084979
Callum McGregor,1,0.4533116274349227,5,0.5466883725650773
Ádám Szalai,1,0.4596804954258625,5,0.5403195045741376
Barnabás Varga,1,0.4820481183130444,4,0.5179518816869556
Cenk Tosun,1,0.49273911638730883,3,0.5072608836126912
Krzysztof Piątek,1,0.5044991821697609,3,0.49550081783023914
Nicolae Claudiu Stanciu,1,0.5091489255507153,5,0.49085107444928466
Ezgjan Alioski,1,0.5196050004828846,3,0.4803949995171154
Mohamed Zeki Amdouni,1,0.5294764076665948,3,0.47052359233340524
Sergio Ramos García,1,0.530476720451523,5,0.46952327954847695
Jan Bednarek,1,0.5376709989199726,4,0.4623290010800274
Milan Škriniar,1,0.5379260269598882,4,0.4620739730401118
Stefan Lainer,1,0.5415222527532173,3,0.4584777472467827
Sasa Kalajdzic,1,0.542112494753837,6,0.45788750524616295
