player_name,actual_goals,xg,attempts,overperf
Alexandra Popp,12,8.007318487339226,46,3.9926815126607735
Ellen White,8,5.158863122619384,33,2.841136877380616
Bethany Mead,7,4.363274310806609,23,2.6367256891933906
Alessia Russo,10,7.480082535551842,50,2.5199174644481577
Lea Schüller,5,2.8611000234570736,19,2.1388999765429264
Aurora Galli,3,1.1691006978113347,5,1.8308993021886653
Francesca Kirby,3,1.1860125261416135,9,1.8139874738583865
Cristiana Girelli,7,5.259999293680432,30,1.7400007063195684
Lauren James,5,3.3122331752165377,24,1.6877668247834623
Lina Magull,5,3.332109745320275,25,1.6678902546797252
Ella Toone,5,3.348959871086809,25,1.6510401289131909
Chloe Kelly,6,4.380724944212854,23,1.6192750557871456
Alex Greenwood,3,1.9523632188315942,11,1.0476367811684058
Janice Cayman,2,0.9615022209045669,10,1.038497779095433
Michelle Agyemang,2,1.0317349795255366,6,0.9682650204744634
Amalie Jørgensen Vangsgaard,2,1.0564855033279998,7,0.9435144966720002
Hlín Eiríksdóttir,1,0.09313617742940188,1,0.9068638225705982
Nicole Anyomi,1,0.10256401955591514,1,0.8974359804440849
Justine Vanhaevermaet,2,1.1094715841728393,6,0.8905284158271607
Martyna Wiankowska,1,0.20345396557628598,2,0.7965460344237141
Diana Catarina Ribeiro Gomes,2,1.2393618577815741,6,0.7606381422184259
Elisabetta Oliviero,1,0.2828220604109053,3,0.7171779395890947
Julie Nelson,1,0.30425980143419745,1,0.6957401985658025
Hannah Eurlings,1,0.3645577950517187,3,0.6354422049482813
Rahel Kiwic,1,0.3707422569185217,2,0.6292577430814783
Tinne De Caigny,1,0.3712542522986702,3,0.6287457477013298
Sanne Troelsgaard-Nielsen,1,0.43333432282407003,4,0.56666567717593
Agnes Beever-Jones,1,0.43841500173612435,2,0.5615849982638756
Melanie Leupolz,1,0.4468908856361764,3,0.5531091143638236
Sophia Kleinherne,1,0.4479957784062149,2,0.552004221593785
Riola Xhemaili,1,0.45247565771486664,4,0.5475243422851334
Lena Lattwein,1,0.47126091102636486,3,0.5287390889736352
Géraldine Reuteler,2,1.4794794927020665,16,0.5205205072979335
Katharina Naschenweng,1,0.49401197316257545,4,0.5059880268374246
Oona Sevenius,1,0.4974473301247834,4,0.5025526698752165
Telma Raquel Velosa Encarnação,2,1.5022003001213413,11,0.4977996998786587
Katharina Schiechtl,1,0.5102095389057301,2,0.48979046109426994
Nadine Riesen,1,0.5142600088668488,4,0.48573999113315125
Sjoeke Nüsken,3,2.5501861323352815,14,0.44981386766471854
Niamh Charles,1,0.5925035290482447,1,0.40749647095175534
Lucy Bronze,4,3.6015380864591346,26,0.39846191354086535
Ann-Katrin Berger,1,0.6308136410236683,1,0.3691863589763317
Alayah Pilgrim,1,0.6897003074354477,7,0.31029969256455225
Janina Minge,1,0.7246839961818683,2,0.2753160038181317
Rebecca Knaak,1,0.7301972262964992,2,0.2698027737035008
Natalia Padilla-Bidas,1,0.7341590573142075,6,0.2658409426857925
Ramona Bachmann,2,1.7406038143823825,13,0.25939618561761746
Stephanie Houghton,1,0.7485461023858154,5,0.2514538976141846
Karólína Lea Vilhjálmsdóttir,1,0.7758757378598491,9,0.2241242621401509
Bethany England,1,0.7918079587193843,3,0.20819204128061575
Saara Katariina Kosola,1,0.855235062033467,9,0.144764937966533
Seraina Piubel,1,0.8694473866278758,5,0.1305526133721242
Jule Brand,2,1.914417617319948,18,0.08558238268005192
Francisca Ramos Ribeiro Nazareth Sousa,1,0.9784590719516708,10,0.02154092804832919
Natalia Kuikka,1,0.9829507936570626,5,0.017049206342937384
Linda Sällström,1,1.0136850699637066,7,-0.013685069963706553
Arianna Caruso,3,3.01570227659906,23,-0.015702276599060205
Berglind Björg Þorvaldsdóttir,1,1.0255731426935575,4,-0.025573142693557482
Jodie Taylor,1,1.029204591998131,6,-0.02920459199813097
Ewa Pajor,1,1.0367609206150084,9,-0.03676092061500835
Martina Piemonte,1,1.0556516341545197,9,-0.05565163415451968
Adriana Achcińska,0,0.07017755398046759,1,-0.07017755398046759
Sara Gama,0,0.07023290544846618,1,-0.07023290544846618
Alia Guagni,0,0.07023630314092766,1,-0.07023630314092766
Sylwia Matysik,0,0.07065720547264254,1,-0.07065720547264254
