player_name,actual_goals,xg,attempts,overperf
Hinata Miyazawa,5,1.2788955558218762,13,3.721104444178124
Stephanie van der Gragt,4,1.228866012732656,11,2.771133987267344
Kosovare Asllani,7,4.239328284271487,38,2.760671715728513
Cristiane Rozeira de Souza Silva,4,1.4342240473118477,9,2.5657759526881523
Jill Roord,6,3.512690436301765,35,2.487309563698235
Guro Reiten,5,2.5499568659876717,21,2.4500431340123283
Onema Grace Geyoro,6,3.6357293708766876,20,2.3642706291233124
Megan Anna Rapinoe,6,3.659656707827562,18,2.340343292172438
Eugénie Le Sommer,6,3.952265629309214,31,2.047734370690786
Fridolina Rolfö,7,5.0321416296640855,43,1.9678583703359145
Victoria Pelova,3,1.0371888225434052,12,1.9628111774565948
Samantha May Kerr,7,5.2197007195591,31,1.7802992804409001
Esmee Brugts,3,1.2988822326878857,11,1.7011177673121143
Ariadina Alves Borges,3,1.351705921141137,7,1.648294078858863
Lindsey Michelle Horan,5,3.388057404696485,23,1.611942595303515
Marie-Antoinette Katoto,3,1.3902143921492778,12,1.6097856078507222
Ajara Nchout,2,0.4569599881862999,5,1.5430400118137002
Rosemary Kathleen Lavelle,3,1.4912079836615881,17,1.5087920163384119
Hanna Ulrika Bennison,2,0.6128162240814738,3,1.3871837759185262
Romée Leuchter,2,0.6280054487375022,2,1.3719945512624978
Wendie Renard,6,4.679075192981915,29,1.320924807018085
Rebecka Blomqvist,3,1.7057362365844548,6,1.2942637634155452
Delphine Cascarino,3,1.7183541786492529,23,1.2816458213507471
Signe Gaupset,2,0.7343500734080346,8,1.2656499265919654
Hayley Emma Raso,3,1.7496488810030233,14,1.2503511189969767
Vivianne Miedema,4,2.765819081651266,29,1.2341809183487338
Hildah Tholakele Magaia,2,0.767447318223076,6,1.232552681776924
Alexandra Morgan Carrasco,6,4.783425183172472,37,1.2165748168275279
Marta Vieira da Silva,2,0.7960234389176646,5,1.2039765610823354
Linda Lizeth Caicedo Alegría,2,0.8252483241089449,8,1.1747516758910552
Sophie Roman Haug,3,1.9226921918124813,13,1.0773078081875187
Isabell Herlovsen,2,0.9431123580212982,7,1.0568876419787019
María Catalina Usme Pineda,2,1.0089122813896454,8,0.9910877186103546
Frida Maanum,3,2.0348552337592514,23,0.9651447662407486
Alba María Redondo Ferrer,3,2.0725355297333783,17,0.9274644702666217
Milagros Menéndez,1,0.07346835118018828,1,0.9265316488198118
Caroline Graham Hansen,5,4.07552322227886,36,0.9244767777211402
Athenea del Castillo Belvide,2,1.089197676025412,15,0.9108023239745879
Sakina Karchaoui,3,2.0943561930344137,12,0.9056438069655863
Julie Blakstad,1,0.09956094250867455,1,0.9004390574913255
Lana Clelland,1,0.12282811548159471,1,0.8771718845184053
Stephanie-Elise Catley,3,2.125624790923946,6,0.8743752090760539
Lushomo Mweemba,1,0.132535256911164,1,0.867464743088836
Romina Stefania Núñez,1,0.1608335335721675,2,0.8391664664278324
Kim Little,1,0.1739065507472156,1,0.8260934492527844
Katja Snoeijs,1,0.1768967560547912,2,0.8231032439452088
Lucía García Córdoba,2,1.1975699809689633,11,0.8024300190310367
Sophie Wais Braun,1,0.22593977535075863,2,0.7740602246492414
Havana Solaun,1,0.24637949424123845,3,0.7536205057587615
Honoka Hayashi,1,0.24839253083296597,3,0.751607469167034
Amandine Henry,2,1.2859629294799941,16,0.7140370705200059
Lina Mona Andréa Hurtig,4,3.2902068266089604,16,0.7097931733910396
Samantha June Mewis,2,1.30252264888677,16,0.69747735111323
Melvine Malard,2,1.3025398712444174,11,0.6974601287555826
Carli Anne Hollins,3,2.3062029438986538,17,0.6937970561013462
Thaysa de Moraes Rosa Moreno,1,0.3179140664489654,4,0.6820859335510345
Léa Le Garrec,1,0.3233677861803933,5,0.6766322138196067
Linda Maserame Motlhalo,1,0.33349526340663727,4,0.6665047365933627
Cristina Martín-Prieto Gutierrez,1,0.33545741098912496,3,0.664542589010875
Aitana Bonmati Conca,5,4.335707912242368,48,0.6642920877576319
Kanjana Sungngoen,1,0.3363296403930644,4,0.6636703596069355
Jun Endo,1,0.3450163702155259,4,0.6549836297844741
Mina Tanaka,2,1.3644675741537018,13,0.6355324258462982
Jonna Ann-Charlotte Andersson,1,0.3723138500785717,4,0.6276861499214283
Ying Li,1,0.38456104849560196,5,0.6154389515043981
Jessie Alexandra Fleming,1,0.3869384544220036,3,0.6130615455779964
Elin Ingrid Johanna Rubensson,3,2.394172864346232,14,0.6058271356537679
Chloe Logarzo,1,0.42126562385042576,5,0.5787343761495742
Sarina Isabel Calpo Bolden,1,0.4213930607582738,1,0.5786069392417261
Allyson Swaby,1,0.42791188113980866,3,0.5720881188601914
Manuela Vanegas Cataño,1,0.44943739144850636,5,0.5505626085514936
Melween Ndongala,1,0.4699772200109747,1,0.5300227799890254
Thembi Kgatlana,3,2.4917937454263925,26,0.5082062545736075
Yomira Tibisay Pinzón Ríos,1,0.5009334089028381,1,0.4990665910971619
Kristie Mewis,1,0.5009334089028381,1,0.4990665910971619
